Year,Value,UNIT_MEASURE
1996,15.2,Stopa nataliteta
1997,14.6,Stopa nataliteta
1998,14.1,Stopa nataliteta
1999,12.3,Stopa nataliteta
2000,11.0,Stopa nataliteta
2001,10.4,Stopa nataliteta
2002,10.0,Stopa nataliteta
2003,10.0,Stopa nataliteta
2004,9.6,Stopa nataliteta
2005,9.4,Stopa nataliteta
2006,9.3,Stopa nataliteta
2007,9.3,Stopa nataliteta
2008,9.8,Stopa nataliteta
2009,9.8,Stopa nataliteta
2010,9.6,Stopa nataliteta
2011,9.1,Stopa nataliteta
2012,9.2,Stopa nataliteta
2013,8.6,Stopa nataliteta
2014,9.0,Stopa nataliteta
2015,8.8,Stopa nataliteta
2016,8.9,Stopa nataliteta
2017,9.0,Stopa nataliteta
2018,8.6,Stopa nataliteta
2019,8.2,Stopa nataliteta
