Year,Value,UNIT_MEASURE
1997,109.9,Broj dječaka na 100 djevojčica
1998,108.0,Broj dječaka na 100 djevojčica
1999,103.8,Broj dječaka na 100 djevojčica
2000,106.5,Broj dječaka na 100 djevojčica
2001,105.8,Broj dječaka na 100 djevojčica
2002,105.4,Broj dječaka na 100 djevojčica
2003,109.0,Broj dječaka na 100 djevojčica
2004,106.5,Broj dječaka na 100 djevojčica
2005,106.0,Broj dječaka na 100 djevojčica
2006,107.8,Broj dječaka na 100 djevojčica
2007,108.4,Broj dječaka na 100 djevojčica
2008,104.8,Broj dječaka na 100 djevojčica
2009,107.6,Broj dječaka na 100 djevojčica
2010,106.8,Broj dječaka na 100 djevojčica
2011,107.9,Broj dječaka na 100 djevojčica
2012,108.1,Broj dječaka na 100 djevojčica
2013,106.5,Broj dječaka na 100 djevojčica
2014,105.1,Broj dječaka na 100 djevojčica
2015,104.4,Broj dječaka na 100 djevojčica
2016,108.2,Broj dječaka na 100 djevojčica
2017,107.0,Broj dječaka na 100 djevojčica
2018,106.4,Broj dječaka na 100 djevojčica
2019,107.7,Broj dječaka na 100 djevojčica
2020,107.1,Broj dječaka na 100 djevojčica
