Year,UNIT_MEASURE,Пол,Старосна доб,Value
2016,% од укупно,Оба пола,15+,41.0
2016,% од укупно,Оба пола,15 - 24,29.6
2016,% од укупно,Оба пола,25 - 49,69.4
2016,% од укупно,Оба пола,50 - 64,39.4
2016,% од укупно,Оба пола,15 - 64,50.87
2016,% од укупно,M,15+,53.4
2016,% од укупно,M,15 - 24,37.8
2016,% од укупно,M,25 - 49,84.3
2016,% од укупно,M,50 - 64,53.2
2016,% од укупно,M,15 - 64,63.91
2016,% од укупно,Ж,15+,29.5
2016,% од укупно,Ж,15 - 24,20.4
2016,% од укупно,Ж,25 - 49,54.5
2016,% од укупно,Ж,50 - 64,26.4
2016,% од укупно,Ж,15 - 64,37.81
2017,% од укупно,Оба пола,15+,40.25
2017,% од укупно,Оба пола,15 - 24,32.3
2017,% од укупно,Оба пола,25 - 49,69.8
2017,% од укупно,Оба пола,50 - 64,39.0
2017,% од укупно,Оба пола,15 - 64,51.03
2017,% од укупно,M,15+,51.58
2017,% од укупно,M,15 - 24,38.4
2017,% од укупно,M,25 - 49,85.4
2017,% од укупно,M,50 - 64,52.4
2017,% од укупно,M,15 - 64,63.54
2017,% од укупно,Ж,15+,29.35
2017,% од укупно,Ж,15 - 24,24.6
2017,% од укупно,Ж,25 - 49,54.5
2017,% од укупно,Ж,50 - 64,26.1
2017,% од укупно,Ж,15 - 64,38.26
2018,% од укупно,Оба пола,15+,39.46
2018,% од укупно,Оба пола,15 - 24,31.37
2018,% од укупно,Оба пола,25 - 49,69.39
2018,% од укупно,Оба пола,50 - 64,39.61
2018,% од укупно,Оба пола,15 - 64,50.49
2018,% од укупно,M,15+,51.08
2018,% од укупно,M,15 - 24,38.44
2018,% од укупно,M,25 - 49,86.19
2018,% од укупно,M,50 - 64,52.72
2018,% од укупно,M,15 - 64,63.58
2018,% од укупно,Ж,15+,28.71
2018,% од укупно,Ж,15 - 24,23.6
2018,% од укупно,Ж,25 - 49,53.47
2018,% од укупно,Ж,50 - 64,27.14
2018,% од укупно,Ж,15 - 64,37.7
