Year,UNIT_MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Sarajevska županija,Ukupno,Srednja škola,186928
2013,Broj,Sarajevska županija,Ukupno,Specijalizacija poslije srednje škole,2385
2013,Broj,Sarajevska županija,Ukupno,Viša škola i prvi stepen fakulteta,14716
2013,Broj,Sarajevska županija,Ukupno,Visoka škola / fakultet / akademija / sveučilište,66914
2013,Broj,Županija 10,Ukupno,Ukupno,72250
2013,Broj,Županija 10,Ukupno,Bez obrazovanja,3686
2013,Broj,Županija 10,Ukupno,Nepotpuno osnovno obrazovanje,7337
2013,Broj,Županija 10,Ukupno,Osnovna škola,13795
2013,Broj,Županija 10,Ukupno,Srednja škola,36328
2013,Broj,Županija 10,Ukupno,Specijalizacija poslije srednje škole,297
2013,Broj,Županija 10,Ukupno,Viša škola i prvi stepen fakulteta,3152
2013,Broj,Županija 10,Ukupno,Visoka škola / fakultet / akademija / sveučilište,7655
2013,Broj,Federacija Bosne i Hercegovine,M,Ukupno,904850
2013,Broj,Federacija Bosne i Hercegovine,M,Bez obrazovanja,13635
2013,Broj,Federacija Bosne i Hercegovine,M,Nepotpuno osnovno obrazovanje,46470
2013,Broj,Federacija Bosne i Hercegovine,M,Osnovna škola,166078
2013,Broj,Federacija Bosne i Hercegovine,M,Srednja škola,547281
2013,Broj,Federacija Bosne i Hercegovine,M,Specijalizacija poslije srednje škole,11005
2013,Broj,Federacija Bosne i Hercegovine,M,Viša škola i prvi stepen fakulteta,30520
2013,Broj,Federacija Bosne i Hercegovine,M,Visoka škola / fakultet / akademija / sveučilište,89861
2013,Broj,Unsko-sanska županija,M,Ukupno,110711
2013,Broj,Unsko-sanska županija,M,Bez obrazovanja,2609
2013,Broj,Unsko-sanska županija,M,Nepotpuno osnovno obrazovanje,8511
2013,Broj,Unsko-sanska županija,M,Osnovna škola,29553
2013,Broj,Unsko-sanska županija,M,Srednja škola,59686
2013,Broj,Unsko-sanska županija,M,Specijalizacija poslije srednje škole,583
2013,Broj,Unsko-sanska županija,M,Viša škola i prvi stepen fakulteta,3294
2013,Broj,Unsko-sanska županija,M,Visoka škola / fakultet / akademija / sveučilište,6475
2013,Broj,Posavska županija,M,Ukupno,18656
2013,Broj,Posavska županija,M,Bez obrazovanja,367
2013,Broj,Posavska županija,M,Nepotpuno osnovno obrazovanje,2125
2013,Broj,Posavska županija,M,Osnovna škola,4316
2013,Broj,Posavska županija,M,Srednja škola,9831
2013,Broj,Posavska županija,M,Specijalizacija poslije srednje škole,146
2013,Broj,Posavska županija,M,Viša škola i prvi stepen fakulteta,572
2013,Broj,Posavska županija,M,Visoka škola / fakultet / akademija / sveučilište,1299
2013,Broj,Tuzlanska županija,M,Ukupno,181535
2013,Broj,Tuzlanska županija,M,Bez obrazovanja,3089
2013,Broj,Tuzlanska županija,M,Nepotpuno osnovno obrazovanje,10230
2013,Broj,Tuzlanska županija,M,Osnovna škola,34890
2013,Broj,Tuzlanska županija,M,Srednja škola,112695
2013,Broj,Tuzlanska županija,M,Specijalizacija poslije srednje škole,2325
2013,Broj,Tuzlanska županija,M,Viša škola i prvi stepen fakulteta,4293
2013,Broj,Tuzlanska županija,M,Visoka škola / fakultet / akademija / sveučilište,14013
2013,Broj,Zeničko-dobojska županija,M,Ukupno,149837
2013,Broj,Zeničko-dobojska županija,M,Bez obrazovanja,1936
2013,Broj,Zeničko-dobojska županija,M,Nepotpuno osnovno obrazovanje,7908
2013,Broj,Zeničko-dobojska županija,M,Osnovna škola,28285
2013,Broj,Zeničko-dobojska županija,M,Srednja škola,94181
2013,Broj,Zeničko-dobojska županija,M,Specijalizacija poslije srednje škole,3153
2013,Broj,Zeničko-dobojska županija,M,Viša škola i prvi stepen fakulteta,3909
2013,Broj,Zeničko-dobojska županija,M,Visoka škola / fakultet / akademija / sveučilište,10465
2013,Broj,Bosansko-podrinjska županija,M,Ukupno,9881
2013,Broj,Bosansko-podrinjska županija,M,Bez obrazovanja,159
2013,Broj,Bosansko-podrinjska županija,M,Nepotpuno osnovno obrazovanje,405
2013,Broj,Bosansko-podrinjska županija,M,Osnovna škola,1839
2013,Broj,Bosansko-podrinjska županija,M,Srednja škola,5960
2013,Broj,Bosansko-podrinjska županija,M,Specijalizacija poslije srednje škole,175
2013,Broj,Bosansko-podrinjska županija,M,Viša škola i prvi stepen fakulteta,352
2013,Broj,Bosansko-podrinjska županija,M,Visoka škola / fakultet / akademija / sveučilište,991
2013,Broj,Srednjobosanska županija,M,Ukupno,105017
2013,Broj,Srednjobosanska županija,M,Bez obrazovanja,1981
2013,Broj,Srednjobosanska županija,M,Nepotpuno osnovno obrazovanje,6423
2013,Broj,Srednjobosanska županija,M,Osnovna škola,21391
2013,Broj,Srednjobosanska županija,M,Srednja škola,64191
2013,Broj,Srednjobosanska županija,M,Specijalizacija poslije srednje škole,1132
2013,Broj,Srednjobosanska županija,M,Viša škola i prvi stepen fakulteta,2919
2013,Broj,Srednjobosanska županija,M,Visoka škola / fakultet / akademija / sveučilište,6980
2013,Broj,Hercegovačko-neretvanska županija,M,Ukupno,91629
2013,Broj,Hercegovačko-neretvanska županija,M,Bez obrazovanja,1047
2013,Broj,Hercegovačko-neretvanska županija,M,Nepotpuno osnovno obrazovanje,3657
2013,Broj,Hercegovačko-neretvanska županija,M,Osnovna škola,13686
2013,Broj,Hercegovačko-neretvanska županija,M,Srednja škola,57185
2013,Broj,Hercegovačko-neretvanska županija,M,Specijalizacija poslije srednje škole,1098
2013,Broj,Hercegovačko-neretvanska županija,M,Viša škola i prvi stepen fakulteta,3975
2013,Broj,Hercegovačko-neretvanska županija,M,Visoka škola / fakultet / akademija / sveučilište,10981
2013,Broj,Zapadno-hercegovačka županija,M,Ukupno,38677
2013,Broj,Zapadno-hercegovačka županija,M,Bez obrazovanja,450
2013,Broj,Zapadno-hercegovačka županija,M,Nepotpuno osnovno obrazovanje,2072
2013,Broj,Zapadno-hercegovačka županija,M,Osnovna škola,6057
2013,Broj,Zapadno-hercegovačka županija,M,Srednja škola,23646
2013,Broj,Zapadno-hercegovačka županija,M,Specijalizacija poslije srednje škole,257
2013,Broj,Zapadno-hercegovačka županija,M,Viša škola i prvi stepen fakulteta,1629
2013,Broj,Zapadno-hercegovačka županija,M,Visoka škola / fakultet / akademija / sveučilište,4566
2013,Broj,Sarajevska županija,M,Ukupno,162698
2013,Broj,Sarajevska županija,M,Bez obrazovanja,1417
