Year,Spol,UNIT_MEASURE,Value
1997,M,Starosna dob,61.6
1998,M,Starosna dob,61.3
1999,M,Starosna dob,63.2
2000,M,Starosna dob,64.1
2001,M,Starosna dob,64.5
2002,M,Starosna dob,64.6
2003,M,Starosna dob,65.5
2004,M,Starosna dob,66.0
2005,M,Starosna dob,66.4
2006,M,Starosna dob,66.5
2007,M,Starosna dob,66.8
2008,M,Starosna dob,66.7
2009,M,Starosna dob,67.5
2010,M,Starosna dob,67.7
2011,M,Starosna dob,68.2
2012,M,Starosna dob,68.9
2013,M,Starosna dob,69.0
2014,M,Starosna dob,69.4
2015,M,Starosna dob,69.6
2016,M,Starosna dob,69.7
2017,M,Starosna dob,70.1
2018,M,Starosna dob,70.5
2019,M,Starosna dob,70.5
1997,Ž,Starosna dob,67.5
1998,Ž,Starosna dob,66.8
1999,Ž,Starosna dob,68.5
2000,Ž,Starosna dob,69.3
2001,Ž,Starosna dob,69.9
2002,Ž,Starosna dob,70.3
2003,Ž,Starosna dob,71.1
2004,Ž,Starosna dob,71.3
2005,Ž,Starosna dob,72.0
2006,Ž,Starosna dob,71.7
2007,Ž,Starosna dob,72.0
2008,Ž,Starosna dob,72.5
2009,Ž,Starosna dob,73.0
2010,Ž,Starosna dob,73.3
2011,Ž,Starosna dob,73.7
2012,Ž,Starosna dob,74.1
2013,Ž,Starosna dob,74.3
2014,Ž,Starosna dob,74.7
2015,Ž,Starosna dob,75.0
2016,Ž,Starosna dob,74.9
2017,Ž,Starosna dob,75.0
2018,Ž,Starosna dob,75.5
2019,Ž,Starosna dob,75.6
