Year,UNIT_MEASURE,Općina,Spol,Vrsta poteškoće,Value
2013,Broj,Kiseljak,M,Ukupno,748
2013,Broj,Kladanj,M,Ukupno,456
2013,Broj,Ključ,M,Ukupno,477
2013,Broj,Konjic,M,Ukupno,927
2013,Broj,Kreševo,M,Ukupno,189
2013,Broj,Kupres-FBiH,M,Ukupno,138
2013,Broj,Livno,M,Ukupno,821
2013,Broj,Lukavac,M,Ukupno,2125
2013,Broj,Ljubuški,M,Ukupno,782
2013,Broj,Maglaj,M,Ukupno,938
2013,Broj,Mostar,M,Ukupno,3314
2013,Broj,Neum,M,Ukupno,120
2013,Broj,Sarajevo-Novi Grad,M,Ukupno,4283
2013,Broj,Novi Travnik,M,Ukupno,858
2013,Broj,Sarajevo-Novo Sarajevo,M,Ukupno,2076
2013,Broj,Odžak,M,Ukupno,528
2013,Broj,Olovo,M,Ukupno,475
2013,Broj,Orašje,M,Ukupno,844
2013,Broj,Pale-FBiH,M,Ukupno,60
2013,Broj,Posušje,M,Ukupno,619
2013,Broj,Prozor,M,Ukupno,308
2013,Broj,Ravno,M,Ukupno,57
2013,Broj,Sanski Most,M,Ukupno,1053
2013,Broj,Sapna,M,Ukupno,326
2013,Broj,Srebrenik,M,Ukupno,1605
2013,Broj,Sarajevo-Stari Grad,M,Ukupno,1582
2013,Broj,Stolac,M,Ukupno,468
2013,Broj,Široki Brijeg,M,Ukupno,604
2013,Broj,Teočak,M,Ukupno,255
2013,Broj,Tešanj,M,Ukupno,1526
2013,Broj,Tomislavgrad,M,Ukupno,553
2013,Broj,Travnik,M,Ukupno,1859
2013,Broj,Trnovo-FBiH,M,Ukupno,82
2013,Broj,Tuzla,M,Ukupno,5302
2013,Broj,Usora,M,Ukupno,217
2013,Broj,Vareš,M,Ukupno,516
2013,Broj,Velika Kladuša,M,Ukupno,1802
2013,Broj,Visoko,M,Ukupno,1400
2013,Broj,Vitez,M,Ukupno,1047
2013,Broj,Sarajevo-Vogošća,M,Ukupno,1036
2013,Broj,Zavidovići,M,Ukupno,1706
2013,Broj,Zenica,M,Ukupno,4045
2013,Broj,Žepče,M,Ukupno,1127
2013,Broj,Živinice,M,Ukupno,2550
2013,Broj,Banovići,Ž,Ukupno,1077
2013,Broj,Bihać,Ž,Ukupno,2639
2013,Broj,Bosanska Krupa,Ž,Ukupno,1197
2013,Broj,Bosanski Petrovac,Ž,Ukupno,356
2013,Broj,Bosansko Grahovo,Ž,Ukupno,183
2013,Broj,Breza,Ž,Ukupno,703
2013,Broj,Bugojno,Ž,Ukupno,1306
2013,Broj,Busovača,Ž,Ukupno,652
2013,Broj,Bužim,Ž,Ukupno,468
2013,Broj,Cazin,Ž,Ukupno,2223
2013,Broj,Sarajevo-Centar,Ž,Ukupno,2886
2013,Broj,Čapljina,Ž,Ukupno,873
2013,Broj,Čelić,Ž,Ukupno,633
2013,Broj,Čitluk,Ž,Ukupno,585
2013,Broj,Doboj-Istok,Ž,Ukupno,579
2013,Broj,Doboj-Jug,Ž,Ukupno,164
2013,Broj,Dobretići,Ž,Ukupno,79
2013,Broj,Domaljevac-Šamac,Ž,Ukupno,239
2013,Broj,Donji Vakuf,Ž,Ukupno,620
2013,Broj,Drvar,Ž,Ukupno,583
2013,Broj,Foča-FBiH,Ž,Ukupno,114
2013,Broj,Fojnica,Ž,Ukupno,863
2013,Broj,Glamoč,Ž,Ukupno,281
2013,Broj,Goražde,Ž,Ukupno,1286
2013,Broj,Gornji Vakuf-Uskoplje,Ž,Ukupno,733
2013,Broj,Gračanica,Ž,Ukupno,2018
2013,Broj,Gradačac,Ž,Ukupno,1715
2013,Broj,Grude,Ž,Ukupno,499
2013,Broj,Sarajevo-Hadžići,Ž,Ukupno,1209
2013,Broj,Sarajevo-Ilidža,Ž,Ukupno,2885
2013,Broj,Sarajevo-Ilijaš,Ž,Ukupno,977
2013,Broj,Jablanica,Ž,Ukupno,408
2013,Broj,Jajce,Ž,Ukupno,1143
2013,Broj,Kakanj,Ž,Ukupno,1430
2013,Broj,Kalesija,Ž,Ukupno,1654
2013,Broj,Kiseljak,Ž,Ukupno,854
2013,Broj,Kladanj,Ž,Ukupno,551
2013,Broj,Ključ,Ž,Ukupno,602
2013,Broj,Konjic,Ž,Ukupno,1144
2013,Broj,Kreševo,Ž,Ukupno,274
2013,Broj,Kupres-FBiH,Ž,Ukupno,167
2013,Broj,Livno,Ž,Ukupno,955
2013,Broj,Lukavac,Ž,Ukupno,2931
2013,Broj,Ljubuški,Ž,Ukupno,958
2013,Broj,Maglaj,Ž,Ukupno,1200
2013,Broj,Mostar,Ž,Ukupno,3925
2013,Broj,Neum,Ž,Ukupno,152
2013,Broj,Sarajevo-Novi Grad,Ž,Ukupno,5900
2013,Broj,Novi Travnik,Ž,Ukupno,961
2013,Broj,Sarajevo-Novo Sarajevo,Ž,Ukupno,3154
2013,Broj,Odžak,Ž,Ukupno,636
2013,Broj,Olovo,Ž,Ukupno,644
2013,Broj,Orašje,Ž,Ukupno,927
2013,Broj,Pale-FBiH,Ž,Ukupno,69
2013,Broj,Posušje,Ž,Ukupno,512
2013,Broj,Prozor,Ž,Ukupno,358
2013,Broj,Ravno,Ž,Ukupno,78
2013,Broj,Sanski Most,Ž,Ukupno,1183
2013,Broj,Sapna,Ž,Ukupno,316
2013,Broj,Srebrenik,Ž,Ukupno,2163
2013,Broj,Sarajevo-Stari Grad,Ž,Ukupno,2203
2013,Broj,Stolac,Ž,Ukupno,548
2013,Broj,Široki Brijeg,Ž,Ukupno,752
2013,Broj,Teočak,Ž,Ukupno,276
2013,Broj,Tešanj,Ž,Ukupno,1728
2013,Broj,Tomislavgrad,Ž,Ukupno,576
2013,Broj,Travnik,Ž,Ukupno,2222
2013,Broj,Trnovo-FBiH,Ž,Ukupno,113
2013,Broj,Tuzla,Ž,Ukupno,7478
2013,Broj,Usora,Ž,Ukupno,251
2013,Broj,Vareš,Ž,Ukupno,664
2013,Broj,Velika Kladuša,Ž,Ukupno,1983
2013,Broj,Visoko,Ž,Ukupno,1673
2013,Broj,Vitez,Ž,Ukupno,1141
2013,Broj,Sarajevo-Vogošća,Ž,Ukupno,1361
2013,Broj,Zavidovići,Ž,Ukupno,1937
2013,Broj,Zenica,Ž,Ukupno,4879
2013,Broj,Žepče,Ž,Ukupno,1240
2013,Broj,Živinice,Ž,Ukupno,3333
2013,Broj,Banovići,Oba spola,"Vid, iako nosi naočare",750
2013,Broj,Bihać,Oba spola,"Vid, iako nosi naočare",2073
2013,Broj,Bosanska Krupa,Oba spola,"Vid, iako nosi naočare",1158
2013,Broj,Bosanski Petrovac,Oba spola,"Vid, iako nosi naočare",254
2013,Broj,Bosansko Grahovo,Oba spola,"Vid, iako nosi naočare",156
2013,Broj,Breza,Oba spola,"Vid, iako nosi naočare",493
2013,Broj,Bugojno,Oba spola,"Vid, iako nosi naočare",950
2013,Broj,Busovača,Oba spola,"Vid, iako nosi naočare",538
2013,Broj,Bužim,Oba spola,"Vid, iako nosi naočare",465
2013,Broj,Cazin,Oba spola,"Vid, iako nosi naočare",1906
2013,Broj,Sarajevo-Centar,Oba spola,"Vid, iako nosi naočare",1787
2013,Broj,Čapljina,Oba spola,"Vid, iako nosi naočare",736
2013,Broj,Čelić,Oba spola,"Vid, iako nosi naočare",553
2013,Broj,Čitluk,Oba spola,"Vid, iako nosi naočare",406
2013,Broj,Doboj-Istok,Oba spola,"Vid, iako nosi naočare",372
2013,Broj,Doboj-Jug,Oba spola,"Vid, iako nosi naočare",145
2013,Broj,Dobretići,Oba spola,"Vid, iako nosi naočare",62
2013,Broj,Domaljevac-Šamac,Oba spola,"Vid, iako nosi naočare",223
2013,Broj,Donji Vakuf,Oba spola,"Vid, iako nosi naočare",503
2013,Broj,Drvar,Oba spola,"Vid, iako nosi naočare",497
2013,Broj,Foča-FBiH,Oba spola,"Vid, iako nosi naočare",81
2013,Broj,Fojnica,Oba spola,"Vid, iako nosi naočare",555
2013,Broj,Glamoč,Oba spola,"Vid, iako nosi naočare",241
2013,Broj,Goražde,Oba spola,"Vid, iako nosi naočare",959
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,"Vid, iako nosi naočare",567
2013,Broj,Gračanica,Oba spola,"Vid, iako nosi naočare",1400
2013,Broj,Gradačac,Oba spola,"Vid, iako nosi naočare",1192
2013,Broj,Grude,Oba spola,"Vid, iako nosi naočare",346
2013,Broj,Sarajevo-Hadžići,Oba spola,"Vid, iako nosi naočare",917
2013,Broj,Sarajevo-Ilidža,Oba spola,"Vid, iako nosi naočare",2009
2013,Broj,Sarajevo-Ilijaš,Oba spola,"Vid, iako nosi naočare",724
2013,Broj,Jablanica,Oba spola,"Vid, iako nosi naočare",271
2013,Broj,Jajce,Oba spola,"Vid, iako nosi naočare",912
2013,Broj,Kakanj,Oba spola,"Vid, iako nosi naočare",994
2013,Broj,Kalesija,Oba spola,"Vid, iako nosi naočare",1405
2013,Broj,Kiseljak,Oba spola,"Vid, iako nosi naočare",624
2013,Broj,Kladanj,Oba spola,"Vid, iako nosi naočare",426
2013,Broj,Ključ,Oba spola,"Vid, iako nosi naočare",388
2013,Broj,Konjic,Oba spola,"Vid, iako nosi naočare",838
2013,Broj,Kreševo,Oba spola,"Vid, iako nosi naočare",176
2013,Broj,Kupres-FBiH,Oba spola,"Vid, iako nosi naočare",151
2013,Broj,Livno,Oba spola,"Vid, iako nosi naočare",622
2013,Broj,Lukavac,Oba spola,"Vid, iako nosi naočare",2247
2013,Broj,Ljubuški,Oba spola,"Vid, iako nosi naočare",652
2013,Broj,Maglaj,Oba spola,"Vid, iako nosi naočare",936
2013,Broj,Mostar,Oba spola,"Vid, iako nosi naočare",2733
2013,Broj,Neum,Oba spola,"Vid, iako nosi naočare",113
2013,Broj,Sarajevo-Novi Grad,Oba spola,"Vid, iako nosi naočare",4078
2013,Broj,Novi Travnik,Oba spola,"Vid, iako nosi naočare",804
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,"Vid, iako nosi naočare",1803
2013,Broj,Odžak,Oba spola,"Vid, iako nosi naočare",466
2013,Broj,Olovo,Oba spola,"Vid, iako nosi naočare",439
2013,Broj,Orašje,Oba spola,"Vid, iako nosi naočare",697
2013,Broj,Pale-FBiH,Oba spola,"Vid, iako nosi naočare",56
2013,Broj,Posušje,Oba spola,"Vid, iako nosi naočare",356
2013,Broj,Prozor,Oba spola,"Vid, iako nosi naočare",258
2013,Broj,Ravno,Oba spola,"Vid, iako nosi naočare",42
2013,Broj,Sanski Most,Oba spola,"Vid, iako nosi naočare",880
2013,Broj,Sapna,Oba spola,"Vid, iako nosi naočare",226
2013,Broj,Srebrenik,Oba spola,"Vid, iako nosi naočare",1779
2013,Broj,Sarajevo-Stari Grad,Oba spola,"Vid, iako nosi naočare",1538
2013,Broj,Stolac,Oba spola,"Vid, iako nosi naočare",367
2013,Broj,Široki Brijeg,Oba spola,"Vid, iako nosi naočare",458
2013,Broj,Teočak,Oba spola,"Vid, iako nosi naočare",211
2013,Broj,Tešanj,Oba spola,"Vid, iako nosi naočare",1318
2013,Broj,Tomislavgrad,Oba spola,"Vid, iako nosi naočare",365
2013,Broj,Travnik,Oba spola,"Vid, iako nosi naočare",1696
2013,Broj,Trnovo-FBiH,Oba spola,"Vid, iako nosi naočare",74
2013,Broj,Tuzla,Oba spola,"Vid, iako nosi naočare",5508
2013,Broj,Usora,Oba spola,"Vid, iako nosi naočare",149
2013,Broj,Vareš,Oba spola,"Vid, iako nosi naočare",532
2013,Broj,Velika Kladuša,Oba spola,"Vid, iako nosi naočare",1787
2013,Broj,Visoko,Oba spola,"Vid, iako nosi naočare",1089
