Year,UNIT_MEASURE,Value
1997,Broj dječaka na 100 djevojčica,109.9
1998,Broj dječaka na 100 djevojčica,108.0
1999,Broj dječaka na 100 djevojčica,103.8
2000,Broj dječaka na 100 djevojčica,106.5
2001,Broj dječaka na 100 djevojčica,105.8
2002,Broj dječaka na 100 djevojčica,105.4
2003,Broj dječaka na 100 djevojčica,109.0
2004,Broj dječaka na 100 djevojčica,106.5
2005,Broj dječaka na 100 djevojčica,106.0
2006,Broj dječaka na 100 djevojčica,107.8
2007,Broj dječaka na 100 djevojčica,108.4
2008,Broj dječaka na 100 djevojčica,104.8
2009,Broj dječaka na 100 djevojčica,107.6
2010,Broj dječaka na 100 djevojčica,106.8
2011,Broj dječaka na 100 djevojčica,107.9
2012,Broj dječaka na 100 djevojčica,108.1
2013,Broj dječaka na 100 djevojčica,106.5
2014,Broj dječaka na 100 djevojčica,105.1
2015,Broj dječaka na 100 djevojčica,104.4
2016,Broj dječaka na 100 djevojčica,108.2
2017,Broj dječaka na 100 djevojčica,107.0
2018,Broj dječaka na 100 djevojčica,106.4
2019,Broj dječaka na 100 djevojčica,107.7
2020,Broj dječaka na 100 djevojčica,107.1
