Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Banovići,Ukupno,7636
2023,Broj,Čelić,Ukupno,3203
2023,Broj,Doboj-Istok,Ukupno,3167
2023,Broj,Gračanica,Ukupno,15082
2023,Broj,Gradačac,Ukupno,11881
2023,Broj,Kalesija,Ukupno,9780
2023,Broj,Kladanj,Ukupno,3847
2023,Broj,Lukavac,Ukupno,16654
2023,Broj,Sapna,Ukupno,3085
2023,Broj,Srebrenik,Ukupno,13187
2023,Broj,Teočak,Ukupno,2020
2023,Broj,Tuzla,Ukupno,42625
2023,Broj,Živinice,Ukupno,18431
2023,Broj,Zeničko-dobojska županija,Ukupno,121139
2023,Broj,Breza,Ukupno,5058
2023,Broj,Doboj-Jug,Ukupno,1307
2023,Broj,Kakanj,Ukupno,12237
2023,Broj,Maglaj,Ukupno,7687
2023,Broj,Olovo,Ukupno,3492
2023,Broj,Tešanj,Ukupno,13425
2023,Broj,Usora,Ukupno,1936
2023,Broj,Vareš,Ukupno,3580
2023,Broj,Visoko,Ukupno,12900
2023,Broj,Zavidovići,Ukupno,12088
2023,Broj,Zenica,Ukupno,38601
2023,Broj,Žepče,Ukupno,8828
2023,Broj,Bosansko-podrinjska županija,Ukupno,8670
2023,Broj,Foča-FBiH,Ukupno,747
2023,Broj,Goražde,Ukupno,7573
2023,Broj,Pale-FBiH,Ukupno,350
2023,Broj,Srednjobosanska županija,Ukupno,77881
2023,Broj,Bugojno,Ukupno,9429
2023,Broj,Busovača,Ukupno,5620
2023,Broj,Dobretići,Ukupno,473
2023,Broj,Donji Vakuf,Ukupno,4182
2023,Broj,Fojnica,Ukupno,3908
2023,Broj,Gornji Vakuf-Uskoplje,Ukupno,5685
2023,Broj,Jajce,Ukupno,8040
2023,Broj,Kiseljak,Ukupno,6800
2023,Broj,Kreševo,Ukupno,1845
2023,Broj,Novi Travnik,Ukupno,7265
2023,Broj,Travnik,Ukupno,16444
2023,Broj,Vitez,Ukupno,8190
2023,Broj,Hercegovačko-neretvanska županija,Ukupno,68117
2023,Broj,Čapljina,Ukupno,7916
2023,Broj,Čitluk,Ukupno,4666
2023,Broj,Mostar,Ukupno,34128
2023,Broj,Jablanica,Ukupno,3167
2023,Broj,Konjic,Ukupno,8380
