Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Maglaj,6,304
2023,Broj,Olovo,6,84
2023,Broj,Tešanj,6,576
2023,Broj,Usora,6,105
2023,Broj,Vareš,6,54
2023,Broj,Visoko,6,449
2023,Broj,Zavidovići,6,318
2023,Broj,Zenica,6,868
2023,Broj,Žepče,6,496
2023,Broj,Bosansko-podrinjska županija,6,206
2023,Broj,Foča-FBiH,6,16
2023,Broj,Goražde,6,177
2023,Broj,Pale-FBiH,6,13
2023,Broj,Srednjobosanska županija,6,4056
2023,Broj,Bugojno,6,519
2023,Broj,Busovača,6,231
2023,Broj,Dobretići,6,30
2023,Broj,Donji Vakuf,6,251
2023,Broj,Fojnica,6,117
2023,Broj,Gornji Vakuf-Uskoplje,6,484
2023,Broj,Jajce,6,471
2023,Broj,Kiseljak,6,281
2023,Broj,Kreševo,6,64
2023,Broj,Novi Travnik,6,382
2023,Broj,Travnik,6,890
2023,Broj,Vitez,6,336
2023,Broj,Hercegovačko-neretvanska županija,6,3792
2023,Broj,Čapljina,6,542
2023,Broj,Čitluk,6,456
2023,Broj,Mostar,6,1494
2023,Broj,Jablanica,6,129
2023,Broj,Konjic,6,302
2023,Broj,Neum,6,96
2023,Broj,Prozor,6,366
2023,Broj,Ravno,6,75
2023,Broj,Stolac,6,332
2023,Broj,Zapadno-hercegovačka županija,6,2375
2023,Broj,Grude,6,431
2023,Broj,Ljubuški,6,682
2023,Broj,Posušje,6,570
2023,Broj,Široki Brijeg,6,692
2023,Broj,Sarajevska županija,6,3254
2023,Broj,Sarajevo-Centar,6,318
2023,Broj,Sarajevo-Hadžići,6,311
2023,Broj,Sarajevo-Ilidža,6,684
2023,Broj,Sarajevo-Ilijaš,6,240
2023,Broj,Sarajevo-Novi Grad,6,856
2023,Broj,Sarajevo-Novo Sarajevo,6,322
2023,Broj,Sarajevo-Stari Grad,6,277
2023,Broj,Trnovo-FBiH,6,13
2023,Broj,Sarajevo-Vogošća,6,233
2023,Broj,Županija 10,6,1797
2023,Broj,Bosansko Grahovo,6,27
2023,Broj,Drvar,6,55
2023,Broj,Glamoč,6,61
2023,Broj,kupres,6,103
2023,Broj,Livno,6,749
2023,Broj,Tomislavgrad,6,802
2023,Broj,Federacija Bosne i Hercegovine,7,11533
2023,Broj,Unsko-sanska županija,7,2332
2023,Broj,Bihać,7,266
2023,Broj,Bosanska Krupa,7,204
2023,Broj,Bosanski Petrovac,7,20
2023,Broj,Bužim,7,268
2023,Broj,Cazin,7,766
2023,Broj,Ključ,7,123
2023,Broj,Sanski Most,7,347
2023,Broj,Velika Kladuša,7,338
2023,Broj,Posavska županija,7,321
2023,Broj,Domaljevac-Šamac,7,36
2023,Broj,Odžak,7,137
2023,Broj,Orašje,7,148
2023,Broj,Tuzlanska županija,7,1427
2023,Broj,Banovići,7,51
2023,Broj,Čelić,7,61
2023,Broj,Doboj-Istok,7,37
2023,Broj,Gračanica,7,135
2023,Broj,Gradačac,7,250
2023,Broj,Kalesija,7,163
2023,Broj,Kladanj,7,37
2023,Broj,Lukavac,7,59
2023,Broj,Sapna,7,91
2023,Broj,Srebrenik,7,152
2023,Broj,Teočak,7,57
2023,Broj,Tuzla,7,142
2023,Broj,Živinice,7,192
2023,Broj,Zeničko-dobojska županija,7,1245
2023,Broj,Breza,7,24
2023,Broj,Doboj-Jug,7,15
2023,Broj,Kakanj,7,119
2023,Broj,Maglaj,7,82
2023,Broj,Olovo,7,27
2023,Broj,Tešanj,7,194
2023,Broj,Usora,7,50
2023,Broj,Vareš,7,7
2023,Broj,Visoko,7,135
2023,Broj,Zavidovići,7,102
2023,Broj,Zenica,7,275
2023,Broj,Žepče,7,215
2023,Broj,Bosansko-podrinjska županija,7,71
2023,Broj,Foča-FBiH,7,9
2023,Broj,Goražde,7,56
2023,Broj,Pale-FBiH,7,6
2023,Broj,Srednjobosanska županija,7,1496
2023,Broj,Bugojno,7,226
2023,Broj,Busovača,7,78
2023,Broj,Dobretići,7,19
2023,Broj,Donji Vakuf,7,74
2023,Broj,Fojnica,7,43
2023,Broj,Gornji Vakuf-Uskoplje,7,177
2023,Broj,Jajce,7,219
2023,Broj,Kiseljak,7,77
2023,Broj,Kreševo,7,18
2023,Broj,Novi Travnik,7,127
2023,Broj,Travnik,7,337
2023,Broj,Vitez,7,101
2023,Broj,Hercegovačko-neretvanska županija,7,1576
2023,Broj,Čapljina,7,225
2023,Broj,Čitluk,7,260
2023,Broj,Mostar,7,547
2023,Broj,Jablanica,7,43
2023,Broj,Konjic,7,101
2023,Broj,Neum,7,28
2023,Broj,Prozor,7,182
2023,Broj,Ravno,7,28
2023,Broj,Stolac,7,162
2023,Broj,Zapadno-hercegovačka županija,7,1193
2023,Broj,Grude,7,237
2023,Broj,Ljubuški,7,377
2023,Broj,Posušje,7,248
2023,Broj,Široki Brijeg,7,331
2023,Broj,Sarajevska županija,7,988
2023,Broj,Sarajevo-Centar,7,99
2023,Broj,Sarajevo-Hadžići,7,79
2023,Broj,Sarajevo-Ilidža,7,222
2023,Broj,Sarajevo-Ilijaš,7,69
2023,Broj,Sarajevo-Novi Grad,7,281
2023,Broj,Sarajevo-Novo Sarajevo,7,79
2023,Broj,Sarajevo-Stari Grad,7,88
2023,Broj,Trnovo-FBiH,7,2
2023,Broj,Sarajevo-Vogošća,7,69
2023,Broj,Županija 10,7,884
2023,Broj,Bosansko Grahovo,7,10
2023,Broj,Drvar,7,14
2023,Broj,Glamoč,7,22
2023,Broj,kupres,7,44
2023,Broj,Livno,7,368
2023,Broj,Tomislavgrad,7,426
2023,Broj,Federacija Bosne i Hercegovine,8+,9278
2023,Broj,Unsko-sanska županija,8+,2253
2023,Broj,Bihać,8+,181
2023,Broj,Bosanska Krupa,8+,136
2023,Broj,Bosanski Petrovac,8+,15
2023,Broj,Bužim,8+,317
2023,Broj,Cazin,8+,780
2023,Broj,Ključ,8+,120
2023,Broj,Sanski Most,8+,407
2023,Broj,Velika Kladuša,8+,297
2023,Broj,Posavska županija,8+,283
2023,Broj,Domaljevac-Šamac,8+,48
2023,Broj,Odžak,8+,140
2023,Broj,Orašje,8+,95
2023,Broj,Tuzlanska županija,8+,872
2023,Broj,Banovići,8+,20
2023,Broj,Čelić,8+,59
2023,Broj,Doboj-Istok,8+,13
2023,Broj,Gračanica,8+,56
2023,Broj,Gradačac,8+,129
2023,Broj,Kalesija,8+,108
2023,Broj,Kladanj,8+,30
2023,Broj,Lukavac,8+,42
2023,Broj,Sapna,8+,76
2023,Broj,Srebrenik,8+,86
2023,Broj,Teočak,8+,49
2023,Broj,Tuzla,8+,97
2023,Broj,Živinice,8+,107
2023,Broj,Zeničko-dobojska županija,8+,769
2023,Broj,Breza,8+,9
2023,Broj,Doboj-Jug,8+,5
2023,Broj,Kakanj,8+,61
2023,Broj,Maglaj,8+,74
2023,Broj,Olovo,8+,8
2023,Broj,Tešanj,8+,75
2023,Broj,Usora,8+,49
2023,Broj,Vareš,8+,7
2023,Broj,Visoko,8+,84
2023,Broj,Zavidovići,8+,60
2023,Broj,Zenica,8+,165
2023,Broj,Žepče,8+,172
2023,Broj,Bosansko-podrinjska županija,8+,27
2023,Broj,Foča-FBiH,8+,3
2023,Broj,Goražde,8+,22
2023,Broj,Pale-FBiH,8+,2
2023,Broj,Srednjobosanska županija,8+,1074
2023,Broj,Bugojno,8+,194
2023,Broj,Busovača,8+,38
2023,Broj,Dobretići,8+,16
2023,Broj,Donji Vakuf,8+,46
2023,Broj,Fojnica,8+,12
2023,Broj,Gornji Vakuf-Uskoplje,8+,179
2023,Broj,Jajce,8+,206
2023,Broj,Kiseljak,8+,36
2023,Broj,Kreševo,8+,4
2023,Broj,Novi Travnik,8+,93
2023,Broj,Travnik,8+,202
2023,Broj,Vitez,8+,48
2023,Broj,Hercegovačko-neretvanska županija,8+,1150
2023,Broj,Čapljina,8+,132
2023,Broj,Čitluk,8+,199
2023,Broj,Mostar,8+,342
2023,Broj,Jablanica,8+,29
2023,Broj,Konjic,8+,45
2023,Broj,Neum,8+,38
2023,Broj,Prozor,8+,188
2023,Broj,Ravno,8+,23
2023,Broj,Stolac,8+,154
2023,Broj,Zapadno-hercegovačka županija,8+,1138
2023,Broj,Grude,8+,262
2023,Broj,Ljubuški,8+,363
2023,Broj,Posušje,8+,266
2023,Broj,Široki Brijeg,8+,247
2023,Broj,Sarajevska županija,8+,752
2023,Broj,Sarajevo-Centar,8+,69
2023,Broj,Sarajevo-Hadžići,8+,53
2023,Broj,Sarajevo-Ilidža,8+,186
2023,Broj,Sarajevo-Ilijaš,8+,50
2023,Broj,Sarajevo-Novi Grad,8+,215
2023,Broj,Sarajevo-Novo Sarajevo,8+,72
2023,Broj,Sarajevo-Stari Grad,8+,55
2023,Broj,Trnovo-FBiH,8+,4
2023,Broj,Sarajevo-Vogošća,8+,48
2023,Broj,Županija 10,8+,960
2023,Broj,Bosansko Grahovo,8+,8
2023,Broj,Drvar,8+,3
2023,Broj,Glamoč,8+,18
2023,Broj,kupres,8+,24
2023,Broj,Livno,8+,468
2023,Broj,Tomislavgrad,8+,439
