Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Pale-FBiH,Nisu rađale,97
2013,Broj,Posušje,Nisu rađale,3376
2013,Broj,Prozor,Nisu rađale,2099
2013,Broj,Ravno,Nisu rađale,500
2013,Broj,Sanski Most,Nisu rađale,5169
2013,Broj,Sapna,Nisu rađale,1194
2013,Broj,Srebrenik,Nisu rađale,3923
2013,Broj,Sarajevo-Stari Grad,Nisu rađale,5243
2013,Broj,Stolac,Nisu rađale,2124
2013,Broj,Široki Brijeg,Nisu rađale,4262
2013,Broj,Teočak,Nisu rađale,809
2013,Broj,Tešanj,Nisu rađale,4310
2013,Broj,Tomislavgrad,Nisu rađale,5173
2013,Broj,Travnik,Nisu rađale,6601
2013,Broj,Trnovo-FBiH,Nisu rađale,158
2013,Broj,Tuzla,Nisu rađale,13710
2013,Broj,Usora,Nisu rađale,916
2013,Broj,Vareš,Nisu rađale,997
2013,Broj,Velika Kladuša,Nisu rađale,4112
2013,Broj,Visoko,Nisu rađale,4297
2013,Broj,Vitez,Nisu rađale,3087
2013,Broj,Sarajevo-Vogošća,Nisu rađale,3232
2013,Broj,Zavidovići,Nisu rađale,3646
2013,Broj,Zenica,Nisu rađale,12327
2013,Broj,Žepče,Nisu rađale,3672
2013,Broj,Živinice,Nisu rađale,5806
2013,Broj,Banovići,Jedno dijete,1581
2013,Broj,Bihać,Jedno dijete,3677
2013,Broj,Bosanska Krupa,Jedno dijete,1438
2013,Broj,Bosanski Petrovac,Jedno dijete,434
2013,Broj,Bosansko Grahovo,Jedno dijete,124
2013,Broj,Breza,Jedno dijete,1122
2013,Broj,Bugojno,Jedno dijete,1555
2013,Broj,Busovača,Jedno dijete,809
2013,Broj,Bužim,Jedno dijete,955
2013,Broj,Cazin,Jedno dijete,4067
2013,Broj,Sarajevo-Centar,Jedno dijete,5078
2013,Broj,Čapljina,Jedno dijete,1049
2013,Broj,Čelić,Jedno dijete,454
2013,Broj,Čitluk,Jedno dijete,650
2013,Broj,Doboj-Istok,Jedno dijete,532
2013,Broj,Doboj-Jug,Jedno dijete,239
2013,Broj,Dobretići,Jedno dijete,32
2013,Broj,Domaljevac-Šamac,Jedno dijete,242
2013,Broj,Donji Vakuf,Jedno dijete,644
2013,Broj,Drvar,Jedno dijete,431
2013,Broj,Foča-FBiH,Jedno dijete,73
2013,Broj,Fojnica,Jedno dijete,579
2013,Broj,Glamoč,Jedno dijete,135
2013,Broj,Goražde,Jedno dijete,1198
2013,Broj,Gornji Vakuf-Uskoplje,Jedno dijete,807
2013,Broj,Gračanica,Jedno dijete,2947
2013,Broj,Gradačac,Jedno dijete,2256
2013,Broj,Grude,Jedno dijete,543
2013,Broj,Sarajevo-Hadžići,Jedno dijete,1429
2013,Broj,Sarajevo-Ilidža,Jedno dijete,4309
2013,Broj,Sarajevo-Ilijaš,Jedno dijete,1196
2013,Broj,Jablanica,Jedno dijete,508
2013,Broj,Jajce,Jedno dijete,1109
2013,Broj,Kakanj,Jedno dijete,1964
2013,Broj,Kalesija,Jedno dijete,1684
2013,Broj,Kiseljak,Jedno dijete,1078
2013,Broj,Kladanj,Jedno dijete,665
2013,Broj,Ključ,Jedno dijete,732
2013,Broj,Konjic,Jedno dijete,1285
2013,Broj,Kreševo,Jedno dijete,244
2013,Broj,Kupres-FBiH,Jedno dijete,169
2013,Broj,Livno,Jedno dijete,1226
2013,Broj,Lukavac,Jedno dijete,3691
2013,Broj,Ljubuški,Jedno dijete,1040
2013,Broj,Maglaj,Jedno dijete,1424
2013,Broj,Mostar,Jedno dijete,5896
2013,Broj,Neum,Jedno dijete,168
2013,Broj,Sarajevo-Novi Grad,Jedno dijete,9593
2013,Broj,Novi Travnik,Jedno dijete,1255
2013,Broj,Sarajevo-Novo Sarajevo,Jedno dijete,6222
2013,Broj,Odžak,Jedno dijete,982
2013,Broj,Olovo,Jedno dijete,502
2013,Broj,Orašje,Jedno dijete,1055
2013,Broj,Pale-FBiH,Jedno dijete,31
2013,Broj,Posušje,Jedno dijete,624
2013,Broj,Prozor,Jedno dijete,442
2013,Broj,Ravno,Jedno dijete,142
2013,Broj,Sanski Most,Jedno dijete,2179
2013,Broj,Sapna,Jedno dijete,384
2013,Broj,Srebrenik,Jedno dijete,2307
2013,Broj,Sarajevo-Stari Grad,Jedno dijete,2934
2013,Broj,Stolac,Jedno dijete,530
2013,Broj,Široki Brijeg,Jedno dijete,1014
2013,Broj,Teočak,Jedno dijete,343
2013,Broj,Tešanj,Jedno dijete,2357
2013,Broj,Tomislavgrad,Jedno dijete,958
2013,Broj,Travnik,Jedno dijete,2740
2013,Broj,Trnovo-FBiH,Jedno dijete,46
2013,Broj,Tuzla,Jedno dijete,9432
2013,Broj,Usora,Jedno dijete,262
2013,Broj,Vareš,Jedno dijete,583
2013,Broj,Velika Kladuša,Jedno dijete,2536
2013,Broj,Visoko,Jedno dijete,2463
2013,Broj,Vitez,Jedno dijete,1216
2013,Broj,Sarajevo-Vogošća,Jedno dijete,1875
2013,Broj,Zavidovići,Jedno dijete,1989
2013,Broj,Zenica,Jedno dijete,7711
2013,Broj,Žepče,Jedno dijete,1297
2013,Broj,Živinice,Jedno dijete,3423
2013,Broj,Banovići,Dvoje djece,3796
2013,Broj,Bihać,Dvoje djece,7800
2013,Broj,Bosanska Krupa,Dvoje djece,3162
2013,Broj,Bosanski Petrovac,Dvoje djece,1240
2013,Broj,Bosansko Grahovo,Dvoje djece,393
2013,Broj,Breza,Dvoje djece,2555
2013,Broj,Bugojno,Dvoje djece,3747
2013,Broj,Busovača,Dvoje djece,1928
2013,Broj,Bužim,Dvoje djece,1620
2013,Broj,Cazin,Dvoje djece,7242
2013,Broj,Sarajevo-Centar,Dvoje djece,9471
2013,Broj,Čapljina,Dvoje djece,3066
2013,Broj,Čelić,Dvoje djece,1396
2013,Broj,Čitluk,Dvoje djece,1475
2013,Broj,Doboj-Istok,Dvoje djece,1632
2013,Broj,Doboj-Jug,Dvoje djece,611
2013,Broj,Dobretići,Dvoje djece,83
2013,Broj,Domaljevac-Šamac,Dvoje djece,565
2013,Broj,Donji Vakuf,Dvoje djece,1613
2013,Broj,Drvar,Dvoje djece,1399
2013,Broj,Foča-FBiH,Dvoje djece,262
2013,Broj,Fojnica,Dvoje djece,1407
2013,Broj,Glamoč,Dvoje djece,504
2013,Broj,Goražde,Dvoje djece,3406
2013,Broj,Gornji Vakuf-Uskoplje,Dvoje djece,1882
2013,Broj,Gračanica,Dvoje djece,7975
2013,Broj,Gradačac,Dvoje djece,6590
2013,Broj,Grude,Dvoje djece,1418
2013,Broj,Sarajevo-Hadžići,Dvoje djece,3632
2013,Broj,Sarajevo-Ilidža,Dvoje djece,10263
2013,Broj,Sarajevo-Ilijaš,Dvoje djece,2935
2013,Broj,Jablanica,Dvoje djece,1359
2013,Broj,Jajce,Dvoje djece,2867
2013,Broj,Kakanj,Dvoje djece,4863
2013,Broj,Kalesija,Dvoje djece,4778
2013,Broj,Kiseljak,Dvoje djece,2656
2013,Broj,Kladanj,Dvoje djece,1870
2013,Broj,Ključ,Dvoje djece,2122
2013,Broj,Konjic,Dvoje djece,3411
2013,Broj,Kreševo,Dvoje djece,662
2013,Broj,Kupres-FBiH,Dvoje djece,422
2013,Broj,Livno,Dvoje djece,3551
2013,Broj,Lukavac,Dvoje djece,8198
2013,Broj,Ljubuški,Dvoje djece,2573
2013,Broj,Maglaj,Dvoje djece,3455
2013,Broj,Mostar,Dvoje djece,15128
