Year,UNIT_MEASURE,Spol,Value
2016,Broj,Oba spola,2291
2016,Broj,M,1213
2016,Broj,Ž,1078
2017,Broj,Oba spola,2710
2017,Broj,M,1413
2017,Broj,Ž,1297
2018,Broj,Oba spola,3111
2018,Broj,M,1633
2018,Broj,Ž,1478
2019,Broj,Oba spola,3249
2019,Broj,M,1685
2019,Broj,Ž,1564
2020,Broj,Oba spola,3039
2020,Broj,M,1579
2020,Broj,Ž,1460
2021,Broj,Oba spola,4419
2021,Broj,M,2318
2021,Broj,Ž,2101
2022,Broj,Oba spola,5423
2022,Broj,M,2886
2022,Broj,Ž,2537
