Year,UNIT_MEASURE,Value
1996,Broj na 1000 brakova,25.7
1997,Broj na 1000 brakova,68.4
1998,Broj na 1000 brakova,77.9
1999,Broj na 1000 brakova,84.1
2000,Broj na 1000 brakova,84.9
2001,Broj na 1000 brakova,100.8
2002,Broj na 1000 brakova,110.5
2003,Broj na 1000 brakova,89.6
2004,Broj na 1000 brakova,62.6
2005,Broj na 1000 brakova,70.9
2006,Broj na 1000 brakova,71.7
2007,Broj na 1000 brakova,69.6
2008,Broj na 1000 brakova,62.9
2009,Broj na 1000 brakova,58.9
2010,Broj na 1000 brakova,76.5
2011,Broj na 1000 brakova,97.0
2012,Broj na 1000 brakova,97.5
2013,Broj na 1000 brakova,119.8
2014,Broj na 1000 brakova,110.2
2015,Broj na 1000 brakova,115.8
2016,Broj na 1000 brakova,113.0
2017,Broj na 1000 brakova,132.8
2018,Broj na 1000 brakova,139.6
2019,Broj na 1000 brakova,136.4
