Year,UNIT_MEASURE,Općina,Spol,Starosna dob,Value
2013,Broj,Sarajevo-Ilijaš,Oba spola,0-4,1085
2013,Broj,Jablanica,Oba spola,0-4,440
2013,Broj,Jajce,Oba spola,0-4,1311
2013,Broj,Kakanj,Oba spola,0-4,2102
2013,Broj,Kalesija,Oba spola,0-4,1841
2013,Broj,Kiseljak,Oba spola,0-4,1082
2013,Broj,Kladanj,Oba spola,0-4,606
2013,Broj,Ključ,Oba spola,0-4,699
2013,Broj,Konjic,Oba spola,0-4,1046
2013,Broj,Kreševo,Oba spola,0-4,240
2013,Broj,Krupa Na Uni,Oba spola,0-4,49
2013,Broj,Kupres-FBiH,Oba spola,0-4,164
2013,Broj,Livno,Oba spola,0-4,1334
2013,Broj,Lukavac,Oba spola,0-4,1968
2013,Broj,Ljubuški,Oba spola,0-4,1352
2013,Broj,Maglaj,Oba spola,0-4,1215
2013,Broj,Mostar,Oba spola,0-4,5335
2013,Broj,Neum,Oba spola,0-4,206
2013,Broj,Sarajevo-Novi Grad,Oba spola,0-4,6754
2013,Broj,Novi Travnik,Oba spola,0-4,1318
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,0-4,3295
2013,Broj,Odžak,Oba spola,0-4,693
2013,Broj,Olovo,Oba spola,0-4,417
2013,Broj,Orašje,Oba spola,0-4,726
2013,Broj,Pale-FBiH,Oba spola,0-4,35
2013,Broj,Posušje,Oba spola,0-4,1237
2013,Broj,Prozor,Oba spola,0-4,687
2013,Broj,Ravno,Oba spola,0-4,118
2013,Broj,Sanski Most,Oba spola,0-4,1681
2013,Broj,Sapna,Oba spola,0-4,651
2013,Broj,Srebrenik,Oba spola,0-4,2214
2013,Broj,Sarajevo-Stari Grad,Oba spola,0-4,1623
2013,Broj,Stolac,Oba spola,0-4,650
2013,Broj,Široki Brijeg,Oba spola,0-4,1623
2013,Broj,Teočak,Oba spola,0-4,351
2013,Broj,Tešanj,Oba spola,0-4,2689
2013,Broj,Tomislavgrad,Oba spola,0-4,1490
2013,Broj,Travnik,Oba spola,0-4,2797
2013,Broj,Trnovo-FBiH,Oba spola,0-4,40
2013,Broj,Tuzla,Oba spola,0-4,5105
2013,Broj,Usora,Oba spola,0-4,251
2013,Broj,Vareš,Oba spola,0-4,256
2013,Broj,Velika Kladuša,Oba spola,0-4,2756
2013,Broj,Visoko,Oba spola,0-4,2309
2013,Broj,Vitez,Oba spola,0-4,1447
2013,Broj,Sarajevo-Vogošća,Oba spola,0-4,1600
2013,Broj,Zavidovići,Oba spola,0-4,2005
2013,Broj,Zenica,Oba spola,0-4,6072
2013,Broj,Žepče,Oba spola,0-4,1657
2013,Broj,Živinice,Oba spola,0-4,3389
2013,Broj,Banovići,Oba spola, 5-9,1212
2013,Broj,Bihać,Oba spola, 5-9,2806
2013,Broj,Bosanska Krupa,Oba spola, 5-9,1495
2013,Broj,Bosanski Petrovac,Oba spola, 5-9,324
2013,Broj,Bosansko Grahovo,Oba spola, 5-9,49
2013,Broj,Breza,Oba spola, 5-9,661
2013,Broj,Bugojno,Oba spola, 5-9,1681
2013,Broj,Busovača,Oba spola, 5-9,1079
2013,Broj,Bužim,Oba spola, 5-9,1345
2013,Broj,Cazin,Oba spola, 5-9,4192
2013,Broj,Sarajevo-Centar,Oba spola, 5-9,2432
2013,Broj,Čapljina,Oba spola, 5-9,1359
2013,Broj,Čelić,Oba spola, 5-9,573
2013,Broj,Čitluk,Oba spola, 5-9,1090
2013,Broj,Doboj-Istok,Oba spola, 5-9,570
2013,Broj,Doboj-Jug,Oba spola, 5-9,288
2013,Broj,Dobretići,Oba spola, 5-9,54
2013,Broj,Domaljevac-Šamac,Oba spola, 5-9,237
2013,Broj,Donji Vakuf,Oba spola, 5-9,861
2013,Broj,Drvar,Oba spola, 5-9,250
2013,Broj,Foča-FBiH,Oba spola, 5-9,71
2013,Broj,Fojnica,Oba spola, 5-9,635
2013,Broj,Glamoč,Oba spola, 5-9,181
2013,Broj,Goražde,Oba spola, 5-9,845
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola, 5-9,1231
2013,Broj,Gračanica,Oba spola, 5-9,2518
2013,Broj,Gradačac,Oba spola, 5-9,2243
