Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,58
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,66
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,134
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,380
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,571
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,597
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,599
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,627
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,603
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,898
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,909
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,753
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,783
2023,Broj,Federacija Bosne i Hercegovine,Oba spola,741
2010,Broj,Federacija Bosne i Hercegovine,M,18
2011,Broj,Federacija Bosne i Hercegovine,M,22
2012,Broj,Federacija Bosne i Hercegovine,M,44
2013,Broj,Federacija Bosne i Hercegovine,M,121
2014,Broj,Federacija Bosne i Hercegovine,M,190
2015,Broj,Federacija Bosne i Hercegovine,M,155
2016,Broj,Federacija Bosne i Hercegovine,M,160
2017,Broj,Federacija Bosne i Hercegovine,M,206
2018,Broj,Federacija Bosne i Hercegovine,M,191
2019,Broj,Federacija Bosne i Hercegovine,M,319
2020,Broj,Federacija Bosne i Hercegovine,M,333
2021,Broj,Federacija Bosne i Hercegovine,M,218
2022,Broj,Federacija Bosne i Hercegovine,M,217
2023,Broj,Federacija Bosne i Hercegovine,M,203
2010,Broj,Federacija Bosne i Hercegovine,Ž,40
2011,Broj,Federacija Bosne i Hercegovine,Ž,44
2012,Broj,Federacija Bosne i Hercegovine,Ž,90
2013,Broj,Federacija Bosne i Hercegovine,Ž,259
2014,Broj,Federacija Bosne i Hercegovine,Ž,381
2015,Broj,Federacija Bosne i Hercegovine,Ž,442
2016,Broj,Federacija Bosne i Hercegovine,Ž,439
2017,Broj,Federacija Bosne i Hercegovine,Ž,421
2018,Broj,Federacija Bosne i Hercegovine,Ž,412
2019,Broj,Federacija Bosne i Hercegovine,Ž,579
2020,Broj,Federacija Bosne i Hercegovine,Ž,576
2021,Broj,Federacija Bosne i Hercegovine,Ž,535
2022,Broj,Federacija Bosne i Hercegovine,Ž,566
2023,Broj,Federacija Bosne i Hercegovine,Ž,538
2013,Broj,Tuzlanska županija,Oba spola,202
2014,Broj,Tuzlanska županija,Oba spola,154
2015,Broj,Tuzlanska županija,Oba spola,198
2016,Broj,Tuzlanska županija,Oba spola,215
2017,Broj,Tuzlanska županija,Oba spola,187
2018,Broj,Tuzlanska županija,Oba spola,151
2019,Broj,Tuzlanska županija,Oba spola,268
2020,Broj,Tuzlanska županija,Oba spola,223
2021,Broj,Tuzlanska županija,Oba spola,174
2022,Broj,Tuzlanska županija,Oba spola,247
2023,Broj,Tuzlanska županija,Oba spola,181
2013,Broj,Tuzlanska županija,M,67
2014,Broj,Tuzlanska županija,M,37
2015,Broj,Tuzlanska županija,M,55
2016,Broj,Tuzlanska županija,M,55
2017,Broj,Tuzlanska županija,M,50
2018,Broj,Tuzlanska županija,M,40
2019,Broj,Tuzlanska županija,M,65
2020,Broj,Tuzlanska županija,M,67
2021,Broj,Tuzlanska županija,M,38
2022,Broj,Tuzlanska županija,M,63
2023,Broj,Tuzlanska županija,M,55
2013,Broj,Tuzlanska županija,Ž,135
2014,Broj,Tuzlanska županija,Ž,117
2015,Broj,Tuzlanska županija,Ž,143
2016,Broj,Tuzlanska županija,Ž,160
2017,Broj,Tuzlanska županija,Ž,137
2018,Broj,Tuzlanska županija,Ž,111
2019,Broj,Tuzlanska županija,Ž,203
2020,Broj,Tuzlanska županija,Ž,156
2021,Broj,Tuzlanska županija,Ž,136
2022,Broj,Tuzlanska županija,Ž,184
2023,Broj,Tuzlanska županija,Ž,126
2022,Broj,Zeničko-dobojska županija,Oba spola,4
2023,Broj,Zeničko-dobojska županija,Oba spola,18
2022,Broj,Zeničko-dobojska županija,M,3
2023,Broj,Zeničko-dobojska županija,M,4
2022,Broj,Zeničko-dobojska županija,Ž,1
2023,Broj,Zeničko-dobojska županija,Ž,14
2021,Broj,Bosansko-podrinjska županija,Oba spola,15
2021,Broj,Bosansko-podrinjska županija,M,6
2021,Broj,Bosansko-podrinjska županija,Ž,9
2014,Broj,Srednjobosanska županija,Oba spola,12
2015,Broj,Srednjobosanska županija,Oba spola,46
2016,Broj,Srednjobosanska županija,Oba spola,23
2017,Broj,Srednjobosanska županija,Oba spola,19
2018,Broj,Srednjobosanska županija,Oba spola,13
2019,Broj,Srednjobosanska županija,Oba spola,145
2020,Broj,Srednjobosanska županija,Oba spola,73
2021,Broj,Srednjobosanska županija,Oba spola,43
2022,Broj,Srednjobosanska županija,Oba spola,43
2023,Broj,Srednjobosanska županija,Oba spola,56
2015,Broj,Srednjobosanska županija,M,5
2016,Broj,Srednjobosanska županija,M,3
2017,Broj,Srednjobosanska županija,M,10
2018,Broj,Srednjobosanska županija,M,5
2019,Broj,Srednjobosanska županija,M,91
2020,Broj,Srednjobosanska županija,M,28
2021,Broj,Srednjobosanska županija,M,14
2022,Broj,Srednjobosanska županija,M,18
2023,Broj,Srednjobosanska županija,M,21
2014,Broj,Srednjobosanska županija,Ž,12
2015,Broj,Srednjobosanska županija,Ž,41
2016,Broj,Srednjobosanska županija,Ž,20
2017,Broj,Srednjobosanska županija,Ž,9
2018,Broj,Srednjobosanska županija,Ž,8
2019,Broj,Srednjobosanska županija,Ž,54
2020,Broj,Srednjobosanska županija,Ž,45
2021,Broj,Srednjobosanska županija,Ž,29
2022,Broj,Srednjobosanska županija,Ž,25
2023,Broj,Srednjobosanska županija,Ž,35
2010,Broj,Hercegovačko-neretvanska županija,Oba spola,40
2011,Broj,Hercegovačko-neretvanska županija,Oba spola,53
2012,Broj,Hercegovačko-neretvanska županija,Oba spola,115
2013,Broj,Hercegovačko-neretvanska županija,Oba spola,137
2014,Broj,Hercegovačko-neretvanska županija,Oba spola,178
2015,Broj,Hercegovačko-neretvanska županija,Oba spola,184
2016,Broj,Hercegovačko-neretvanska županija,Oba spola,168
2017,Broj,Hercegovačko-neretvanska županija,Oba spola,74
2018,Broj,Hercegovačko-neretvanska županija,Oba spola,99
2019,Broj,Hercegovačko-neretvanska županija,Oba spola,124
2020,Broj,Hercegovačko-neretvanska županija,Oba spola,142
2021,Broj,Hercegovačko-neretvanska županija,Oba spola,76
2022,Broj,Hercegovačko-neretvanska županija,Oba spola,108
2023,Broj,Hercegovačko-neretvanska županija,Oba spola,114
2010,Broj,Hercegovačko-neretvanska županija,M,10
2011,Broj,Hercegovačko-neretvanska županija,M,16
2012,Broj,Hercegovačko-neretvanska županija,M,36
2013,Broj,Hercegovačko-neretvanska županija,M,38
2014,Broj,Hercegovačko-neretvanska županija,M,54
2015,Broj,Hercegovačko-neretvanska županija,M,59
2016,Broj,Hercegovačko-neretvanska županija,M,54
2017,Broj,Hercegovačko-neretvanska županija,M,21
2018,Broj,Hercegovačko-neretvanska županija,M,28
2019,Broj,Hercegovačko-neretvanska županija,M,43
2020,Broj,Hercegovačko-neretvanska županija,M,57
2021,Broj,Hercegovačko-neretvanska županija,M,22
2022,Broj,Hercegovačko-neretvanska županija,M,37
2023,Broj,Hercegovačko-neretvanska županija,M,22
2010,Broj,Hercegovačko-neretvanska županija,Ž,30
2011,Broj,Hercegovačko-neretvanska županija,Ž,37
2012,Broj,Hercegovačko-neretvanska županija,Ž,79
2013,Broj,Hercegovačko-neretvanska županija,Ž,99
2014,Broj,Hercegovačko-neretvanska županija,Ž,124
2015,Broj,Hercegovačko-neretvanska županija,Ž,125
2016,Broj,Hercegovačko-neretvanska županija,Ž,114
2017,Broj,Hercegovačko-neretvanska županija,Ž,53
2018,Broj,Hercegovačko-neretvanska županija,Ž,71
2019,Broj,Hercegovačko-neretvanska županija,Ž,81
2020,Broj,Hercegovačko-neretvanska županija,Ž,85
2021,Broj,Hercegovačko-neretvanska županija,Ž,54
2022,Broj,Hercegovačko-neretvanska županija,Ž,71
2023,Broj,Hercegovačko-neretvanska županija,Ž,92
2010,Broj,Zapadno-hercegovačka županija,Oba spola,16
2011,Broj,Zapadno-hercegovačka županija,Oba spola,13
2012,Broj,Zapadno-hercegovačka županija,Oba spola,19
2013,Broj,Zapadno-hercegovačka županija,Oba spola,14
2014,Broj,Zapadno-hercegovačka županija,Oba spola,9
2015,Broj,Zapadno-hercegovačka županija,Oba spola,16
2016,Broj,Zapadno-hercegovačka županija,Oba spola,15
2017,Broj,Zapadno-hercegovačka županija,Oba spola,25
2018,Broj,Zapadno-hercegovačka županija,Oba spola,16
2019,Broj,Zapadno-hercegovačka županija,Oba spola,6
2020,Broj,Zapadno-hercegovačka županija,Oba spola,17
2021,Broj,Zapadno-hercegovačka županija,Oba spola,16
2022,Broj,Zapadno-hercegovačka županija,Oba spola,13
2023,Broj,Zapadno-hercegovačka županija,Oba spola,0
2010,Broj,Zapadno-hercegovačka županija,M,6
2011,Broj,Zapadno-hercegovačka županija,M,6
2012,Broj,Zapadno-hercegovačka županija,M,8
2013,Broj,Zapadno-hercegovačka županija,M,7
2014,Broj,Zapadno-hercegovačka županija,M,4
2015,Broj,Zapadno-hercegovačka županija,M,5
2016,Broj,Zapadno-hercegovačka županija,M,7
2017,Broj,Zapadno-hercegovačka županija,M,6
2018,Broj,Zapadno-hercegovačka županija,M,6
2019,Broj,Zapadno-hercegovačka županija,M,2
2020,Broj,Zapadno-hercegovačka županija,M,7
2021,Broj,Zapadno-hercegovačka županija,M,7
2022,Broj,Zapadno-hercegovačka županija,M,2
2023,Broj,Zapadno-hercegovačka županija,M,0
2010,Broj,Zapadno-hercegovačka županija,Ž,10
2011,Broj,Zapadno-hercegovačka županija,Ž,7
2012,Broj,Zapadno-hercegovačka županija,Ž,11
2013,Broj,Zapadno-hercegovačka županija,Ž,7
2014,Broj,Zapadno-hercegovačka županija,Ž,5
2015,Broj,Zapadno-hercegovačka županija,Ž,11
2016,Broj,Zapadno-hercegovačka županija,Ž,8
2017,Broj,Zapadno-hercegovačka županija,Ž,19
2018,Broj,Zapadno-hercegovačka županija,Ž,10
2019,Broj,Zapadno-hercegovačka županija,Ž,4
2020,Broj,Zapadno-hercegovačka županija,Ž,10
2021,Broj,Zapadno-hercegovačka županija,Ž,9
2022,Broj,Zapadno-hercegovačka županija,Ž,11
2023,Broj,Zapadno-hercegovačka županija,Ž,0
2010,Broj,Sarajevska županija,Oba spola,2
2013,Broj,Sarajevska županija,Oba spola,27
2014,Broj,Sarajevska županija,Oba spola,218
2015,Broj,Sarajevska županija,Oba spola,153
2016,Broj,Sarajevska županija,Oba spola,178
2017,Broj,Sarajevska županija,Oba spola,322
2018,Broj,Sarajevska županija,Oba spola,324
2019,Broj,Sarajevska županija,Oba spola,351
2020,Broj,Sarajevska županija,Oba spola,454
2021,Broj,Sarajevska županija,Oba spola,429
2022,Broj,Sarajevska županija,Oba spola,368
2023,Broj,Sarajevska županija,M,101
2010,Broj,Sarajevska županija,M,2
2013,Broj,Sarajevska županija,M,9
2014,Broj,Sarajevska županija,M,95
2015,Broj,Sarajevska županija,M,31
2016,Broj,Sarajevska županija,M,41
2017,Broj,Sarajevska županija,M,119
2018,Broj,Sarajevska županija,M,112
2019,Broj,Sarajevska županija,M,116
2020,Broj,Sarajevska županija,M,174
2021,Broj,Sarajevska županija,M,131
2022,Broj,Sarajevska županija,M,94
2023,Broj,Sarajevska županija,M,101
2013,Broj,Sarajevska županija,Ž,18
2014,Broj,Sarajevska županija,Ž,123
2015,Broj,Sarajevska županija,Ž,122
2016,Broj,Sarajevska županija,Ž,137
2017,Broj,Sarajevska županija,Ž,203
2018,Broj,Sarajevska županija,Ž,212
2019,Broj,Sarajevska županija,Ž,235
2020,Broj,Sarajevska županija,Ž,280
2021,Broj,Sarajevska županija,Ž,298
2022,Broj,Sarajevska županija,Ž,274
2023,Broj,Sarajevska županija,Ž,271
