Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2020,Broj,Posavska županija,Vjerske škole,Oba spola,
2020,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2016,Broj,Tuzlanska županija,Tehničke škole,Oba spola,
2016,Broj,Tuzlanska županija,Stručne škole,Oba spola,
2016,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2016,Broj,Tuzlanska županija,Vjerske škole,Oba spola,
2016,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2017,Broj,Tuzlanska županija,Tehničke škole,Oba spola,
2017,Broj,Tuzlanska županija,Stručne škole,Oba spola,
2017,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2017,Broj,Tuzlanska županija,Vjerske škole,Oba spola,
2017,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2018,Broj,Tuzlanska županija,Tehničke škole,Oba spola,
2018,Broj,Tuzlanska županija,Stručne škole,Oba spola,
2018,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2018,Broj,Tuzlanska županija,Vjerske škole,Oba spola,
2018,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2019,Broj,Tuzlanska županija,Tehničke škole,Oba spola,
2019,Broj,Tuzlanska županija,Stručne škole,Oba spola,
2019,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2019,Broj,Tuzlanska županija,Vjerske škole,Oba spola,
2019,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2020,Broj,Tuzlanska županija,Tehničke škole,Oba spola,
2020,Broj,Tuzlanska županija,Stručne škole,Oba spola,
2020,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2020,Broj,Tuzlanska županija,Vjerske škole,Oba spola,
2020,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Zeničko-dobojska županija,Gimnazija,Oba spola,
2016,Broj,Zeničko-dobojska županija,Tehničke škole,Oba spola,
2016,Broj,Zeničko-dobojska županija,Stručne škole,Oba spola,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,Oba spola,
2016,Broj,Zeničko-dobojska županija,Vjerske škole,Oba spola,
2016,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Zeničko-dobojska županija,Gimnazija,Oba spola,
2017,Broj,Zeničko-dobojska županija,Tehničke škole,Oba spola,
2017,Broj,Zeničko-dobojska županija,Stručne škole,Oba spola,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,Oba spola,
2017,Broj,Zeničko-dobojska županija,Vjerske škole,Oba spola,
2017,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Zeničko-dobojska županija,Gimnazija,Oba spola,
2018,Broj,Zeničko-dobojska županija,Tehničke škole,Oba spola,
2018,Broj,Zeničko-dobojska županija,Stručne škole,Oba spola,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,Oba spola,
2018,Broj,Zeničko-dobojska županija,Vjerske škole,Oba spola,
2018,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Zeničko-dobojska županija,Gimnazija,Oba spola,
2019,Broj,Zeničko-dobojska županija,Tehničke škole,Oba spola,
2019,Broj,Zeničko-dobojska županija,Stručne škole,Oba spola,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,Oba spola,
2019,Broj,Zeničko-dobojska županija,Vjerske škole,Oba spola,
2019,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Zeničko-dobojska županija,Gimnazija,Oba spola,
2020,Broj,Zeničko-dobojska županija,Tehničke škole,Oba spola,
2020,Broj,Zeničko-dobojska županija,Stručne škole,Oba spola,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,Oba spola,
2020,Broj,Zeničko-dobojska županija,Vjerske škole,Oba spola,
2020,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Tehničke škole,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Stručne škole,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Vjerske škole,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Gimnazija,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Tehničke škole,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Stručne škole,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Vjerske škole,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Tehničke škole,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Stručne škole,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Vjerske škole,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Tehničke škole,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Stručne škole,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Vjerske škole,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Tehničke škole,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Stručne škole,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Vjerske škole,Oba spola,
2020,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Srednjobosanska županija,Gimnazija,Oba spola,
2016,Broj,Srednjobosanska županija,Tehničke škole,Oba spola,
2016,Broj,Srednjobosanska županija,Stručne škole,Oba spola,
2016,Broj,Srednjobosanska županija,Umjetničke škole,Oba spola,
2016,Broj,Srednjobosanska županija,Vjerske škole,Oba spola,
2016,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Srednjobosanska županija,Gimnazija,Oba spola,
2017,Broj,Srednjobosanska županija,Tehničke škole,Oba spola,
2017,Broj,Srednjobosanska županija,Stručne škole,Oba spola,
2017,Broj,Srednjobosanska županija,Umjetničke škole,Oba spola,
2017,Broj,Srednjobosanska županija,Vjerske škole,Oba spola,
