Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2020,Broj,Unsko-sanska županija,Tehničke škole,M,
2020,Broj,Unsko-sanska županija,Stručne škole,M,
2020,Broj,Unsko-sanska županija,Umjetničke škole,M,
2020,Broj,Unsko-sanska županija,Vjerske škole,M,
2020,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Posavska županija,Gimnazija,M,
2016,Broj,Posavska županija,Tehničke škole,M,
2016,Broj,Posavska županija,Stručne škole,M,
2016,Broj,Posavska županija,Umjetničke škole,M,
2016,Broj,Posavska županija,Vjerske škole,M,
2016,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Posavska županija,Gimnazija,M,
2017,Broj,Posavska županija,Tehničke škole,M,
2017,Broj,Posavska županija,Stručne škole,M,
2017,Broj,Posavska županija,Umjetničke škole,M,
2017,Broj,Posavska županija,Vjerske škole,M,
2017,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Posavska županija,Gimnazija,M,
2018,Broj,Posavska županija,Tehničke škole,M,
2018,Broj,Posavska županija,Stručne škole,M,
2018,Broj,Posavska županija,Umjetničke škole,M,
2018,Broj,Posavska županija,Vjerske škole,M,
2018,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Posavska županija,Gimnazija,M,
2019,Broj,Posavska županija,Tehničke škole,M,
2019,Broj,Posavska županija,Stručne škole,M,
2019,Broj,Posavska županija,Umjetničke škole,M,
2019,Broj,Posavska županija,Vjerske škole,M,
2019,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Posavska županija,Gimnazija,M,
2020,Broj,Posavska županija,Tehničke škole,M,
2020,Broj,Posavska županija,Stručne škole,M,
2020,Broj,Posavska županija,Umjetničke škole,M,
2020,Broj,Posavska županija,Vjerske škole,M,
2020,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Tuzlanska županija,Gimnazija,M,
2016,Broj,Tuzlanska županija,Tehničke škole,M,
2016,Broj,Tuzlanska županija,Stručne škole,M,
2016,Broj,Tuzlanska županija,Umjetničke škole,M,
2016,Broj,Tuzlanska županija,Vjerske škole,M,
2016,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Tuzlanska županija,Gimnazija,M,
2017,Broj,Tuzlanska županija,Tehničke škole,M,
2017,Broj,Tuzlanska županija,Stručne škole,M,
2017,Broj,Tuzlanska županija,Umjetničke škole,M,
2017,Broj,Tuzlanska županija,Vjerske škole,M,
2017,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Tuzlanska županija,Gimnazija,M,
2018,Broj,Tuzlanska županija,Tehničke škole,M,
2018,Broj,Tuzlanska županija,Stručne škole,M,
2018,Broj,Tuzlanska županija,Umjetničke škole,M,
2018,Broj,Tuzlanska županija,Vjerske škole,M,
2018,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Tuzlanska županija,Gimnazija,M,
2019,Broj,Tuzlanska županija,Tehničke škole,M,
2019,Broj,Tuzlanska županija,Stručne škole,M,
2019,Broj,Tuzlanska županija,Umjetničke škole,M,
2019,Broj,Tuzlanska županija,Vjerske škole,M,
2019,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Tuzlanska županija,Gimnazija,M,
2020,Broj,Tuzlanska županija,Tehničke škole,M,
2020,Broj,Tuzlanska županija,Stručne škole,M,
2020,Broj,Tuzlanska županija,Umjetničke škole,M,
2020,Broj,Tuzlanska županija,Vjerske škole,M,
2020,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Zeničko-dobojska županija,Gimnazija,M,
2016,Broj,Zeničko-dobojska županija,Tehničke škole,M,
2016,Broj,Zeničko-dobojska županija,Stručne škole,M,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2016,Broj,Zeničko-dobojska županija,Vjerske škole,M,
2016,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Zeničko-dobojska županija,Gimnazija,M,
2017,Broj,Zeničko-dobojska županija,Tehničke škole,M,
2017,Broj,Zeničko-dobojska županija,Stručne škole,M,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2017,Broj,Zeničko-dobojska županija,Vjerske škole,M,
2017,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Zeničko-dobojska županija,Gimnazija,M,
2018,Broj,Zeničko-dobojska županija,Tehničke škole,M,
2018,Broj,Zeničko-dobojska županija,Stručne škole,M,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2018,Broj,Zeničko-dobojska županija,Vjerske škole,M,
2018,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Zeničko-dobojska županija,Gimnazija,M,
2019,Broj,Zeničko-dobojska županija,Tehničke škole,M,
2019,Broj,Zeničko-dobojska županija,Stručne škole,M,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2019,Broj,Zeničko-dobojska županija,Vjerske škole,M,
2019,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Zeničko-dobojska županija,Gimnazija,M,
2020,Broj,Zeničko-dobojska županija,Tehničke škole,M,
2020,Broj,Zeničko-dobojska županija,Stručne škole,M,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,M,
2020,Broj,Zeničko-dobojska županija,Vjerske škole,M,
2020,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2016,Broj,Bosansko-podrinjska županija,Tehničke škole,M,
2016,Broj,Bosansko-podrinjska županija,Stručne škole,M,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2016,Broj,Bosansko-podrinjska županija,Vjerske škole,M,
2016,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2017,Broj,Bosansko-podrinjska županija,Tehničke škole,M,
2017,Broj,Bosansko-podrinjska županija,Stručne škole,M,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2017,Broj,Bosansko-podrinjska županija,Vjerske škole,M,
2017,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2018,Broj,Bosansko-podrinjska županija,Tehničke škole,M,
2018,Broj,Bosansko-podrinjska županija,Stručne škole,M,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2018,Broj,Bosansko-podrinjska županija,Vjerske škole,M,
2018,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2019,Broj,Bosansko-podrinjska županija,Tehničke škole,M,
2019,Broj,Bosansko-podrinjska županija,Stručne škole,M,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2019,Broj,Bosansko-podrinjska županija,Vjerske škole,M,
2019,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,M,
2020,Broj,Bosansko-podrinjska županija,Tehničke škole,M,
2020,Broj,Bosansko-podrinjska županija,Stručne škole,M,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,M,
2020,Broj,Bosansko-podrinjska županija,Vjerske škole,M,
2020,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Srednjobosanska županija,Gimnazija,M,
2016,Broj,Srednjobosanska županija,Tehničke škole,M,
2016,Broj,Srednjobosanska županija,Stručne škole,M,
2016,Broj,Srednjobosanska županija,Umjetničke škole,M,
2016,Broj,Srednjobosanska županija,Vjerske škole,M,
2016,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Srednjobosanska županija,Gimnazija,M,
2017,Broj,Srednjobosanska županija,Tehničke škole,M,
2017,Broj,Srednjobosanska županija,Stručne škole,M,
2017,Broj,Srednjobosanska županija,Umjetničke škole,M,
2017,Broj,Srednjobosanska županija,Vjerske škole,M,
2017,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Srednjobosanska županija,Gimnazija,M,
2018,Broj,Srednjobosanska županija,Tehničke škole,M,
2018,Broj,Srednjobosanska županija,Stručne škole,M,
2018,Broj,Srednjobosanska županija,Umjetničke škole,M,
2018,Broj,Srednjobosanska županija,Vjerske škole,M,
2018,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Srednjobosanska županija,Gimnazija,M,
2019,Broj,Srednjobosanska županija,Tehničke škole,M,
2019,Broj,Srednjobosanska županija,Stručne škole,M,
2019,Broj,Srednjobosanska županija,Umjetničke škole,M,
2019,Broj,Srednjobosanska županija,Vjerske škole,M,
2019,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Srednjobosanska županija,Gimnazija,M,
2020,Broj,Srednjobosanska županija,Tehničke škole,M,
2020,Broj,Srednjobosanska županija,Stručne škole,M,
2020,Broj,Srednjobosanska županija,Umjetničke škole,M,
2020,Broj,Srednjobosanska županija,Vjerske škole,M,
2020,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2016,Broj,Hercegovačko-neretvanska županija,Tehničke škole,M,
2016,Broj,Hercegovačko-neretvanska županija,Stručne škole,M,
2016,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2016,Broj,Hercegovačko-neretvanska županija,Vjerske škole,M,
2016,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2017,Broj,Hercegovačko-neretvanska županija,Tehničke škole,M,
2017,Broj,Hercegovačko-neretvanska županija,Stručne škole,M,
2017,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2017,Broj,Hercegovačko-neretvanska županija,Vjerske škole,M,
2017,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2018,Broj,Hercegovačko-neretvanska županija,Tehničke škole,M,
2018,Broj,Hercegovačko-neretvanska županija,Stručne škole,M,
2018,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2018,Broj,Hercegovačko-neretvanska županija,Vjerske škole,M,
2018,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2019,Broj,Hercegovačko-neretvanska županija,Tehničke škole,M,
2019,Broj,Hercegovačko-neretvanska županija,Stručne škole,M,
2019,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2019,Broj,Hercegovačko-neretvanska županija,Vjerske škole,M,
2019,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Hercegovačko-neretvanska županija,Gimnazija,M,
2020,Broj,Hercegovačko-neretvanska županija,Tehničke škole,M,
2020,Broj,Hercegovačko-neretvanska županija,Stručne škole,M,
2020,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,M,
2020,Broj,Hercegovačko-neretvanska županija,Vjerske škole,M,
2020,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2016,Broj,Zapadno-hercegovačka županija,Tehničke škole,M,
2016,Broj,Zapadno-hercegovačka županija,Stručne škole,M,
2016,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2016,Broj,Zapadno-hercegovačka županija,Vjerske škole,M,
2016,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2017,Broj,Zapadno-hercegovačka županija,Tehničke škole,M,
2017,Broj,Zapadno-hercegovačka županija,Stručne škole,M,
2017,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2017,Broj,Zapadno-hercegovačka županija,Vjerske škole,M,
2017,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2018,Broj,Zapadno-hercegovačka županija,Tehničke škole,M,
2018,Broj,Zapadno-hercegovačka županija,Stručne škole,M,
2018,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2018,Broj,Zapadno-hercegovačka županija,Vjerske škole,M,
2018,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2019,Broj,Zapadno-hercegovačka županija,Tehničke škole,M,
2019,Broj,Zapadno-hercegovačka županija,Stručne škole,M,
2019,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2019,Broj,Zapadno-hercegovačka županija,Vjerske škole,M,
2019,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Zapadno-hercegovačka županija,Gimnazija,M,
2020,Broj,Zapadno-hercegovačka županija,Tehničke škole,M,
2020,Broj,Zapadno-hercegovačka županija,Stručne škole,M,
2020,Broj,Zapadno-hercegovačka županija,Umjetničke škole,M,
2020,Broj,Zapadno-hercegovačka županija,Vjerske škole,M,
2020,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Sarajevska županija,Gimnazija,M,
2016,Broj,Sarajevska županija,Tehničke škole,M,
2016,Broj,Sarajevska županija,Stručne škole,M,
2016,Broj,Sarajevska županija,Umjetničke škole,M,
2016,Broj,Sarajevska županija,Vjerske škole,M,
2016,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Sarajevska županija,Gimnazija,M,
2017,Broj,Sarajevska županija,Tehničke škole,M,
2017,Broj,Sarajevska županija,Stručne škole,M,
2017,Broj,Sarajevska županija,Umjetničke škole,M,
2017,Broj,Sarajevska županija,Vjerske škole,M,
2017,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Sarajevska županija,Gimnazija,M,
2018,Broj,Sarajevska županija,Tehničke škole,M,
2018,Broj,Sarajevska županija,Stručne škole,M,
2018,Broj,Sarajevska županija,Umjetničke škole,M,
2018,Broj,Sarajevska županija,Vjerske škole,M,
2018,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Sarajevska županija,Gimnazija,M,
2019,Broj,Sarajevska županija,Tehničke škole,M,
2019,Broj,Sarajevska županija,Stručne škole,M,
2019,Broj,Sarajevska županija,Umjetničke škole,M,
2019,Broj,Sarajevska županija,Vjerske škole,M,
2019,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Sarajevska županija,Gimnazija,M,
2020,Broj,Sarajevska županija,Tehničke škole,M,
2020,Broj,Sarajevska županija,Stručne škole,M,
2020,Broj,Sarajevska županija,Umjetničke škole,M,
2020,Broj,Sarajevska županija,Vjerske škole,M,
2020,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Županija 10,Gimnazija,M,
2016,Broj,Županija 10,Tehničke škole,M,
2016,Broj,Županija 10,Stručne škole,M,
2016,Broj,Županija 10,Umjetničke škole,M,
2016,Broj,Županija 10,Vjerske škole,M,
2016,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,M,
2017,Broj,Županija 10,Gimnazija,M,
2017,Broj,Županija 10,Tehničke škole,M,
2017,Broj,Županija 10,Stručne škole,M,
2017,Broj,Županija 10,Umjetničke škole,M,
2017,Broj,Županija 10,Vjerske škole,M,
2017,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,M,
2018,Broj,Županija 10,Gimnazija,M,
2018,Broj,Županija 10,Tehničke škole,M,
2018,Broj,Županija 10,Stručne škole,M,
2018,Broj,Županija 10,Umjetničke škole,M,
2018,Broj,Županija 10,Vjerske škole,M,
2018,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,M,
2019,Broj,Županija 10,Gimnazija,M,
2019,Broj,Županija 10,Tehničke škole,M,
2019,Broj,Županija 10,Stručne škole,M,
2019,Broj,Županija 10,Umjetničke škole,M,
2019,Broj,Županija 10,Vjerske škole,M,
2019,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,M,
2020,Broj,Županija 10,Gimnazija,M,
2020,Broj,Županija 10,Tehničke škole,M,
2020,Broj,Županija 10,Stručne škole,M,
2020,Broj,Županija 10,Umjetničke škole,M,
2020,Broj,Županija 10,Vjerske škole,M,
2020,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,M,
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Ž,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Unsko-sanska županija,Gimnazija,Ž,
2016,Broj,Unsko-sanska županija,Tehničke škole,Ž,
2016,Broj,Unsko-sanska županija,Stručne škole,Ž,
2016,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2016,Broj,Unsko-sanska županija,Vjerske škole,Ž,
2016,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Unsko-sanska županija,Gimnazija,Ž,
2017,Broj,Unsko-sanska županija,Tehničke škole,Ž,
2017,Broj,Unsko-sanska županija,Stručne škole,Ž,
2017,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2017,Broj,Unsko-sanska županija,Vjerske škole,Ž,
2017,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Unsko-sanska županija,Gimnazija,Ž,
2018,Broj,Unsko-sanska županija,Tehničke škole,Ž,
2018,Broj,Unsko-sanska županija,Stručne škole,Ž,
2018,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2018,Broj,Unsko-sanska županija,Vjerske škole,Ž,
2018,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Unsko-sanska županija,Gimnazija,Ž,
2019,Broj,Unsko-sanska županija,Tehničke škole,Ž,
2019,Broj,Unsko-sanska županija,Stručne škole,Ž,
2019,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2019,Broj,Unsko-sanska županija,Vjerske škole,Ž,
2019,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Unsko-sanska županija,Gimnazija,Ž,
2020,Broj,Unsko-sanska županija,Tehničke škole,Ž,
2020,Broj,Unsko-sanska županija,Stručne škole,Ž,
2020,Broj,Unsko-sanska županija,Umjetničke škole,Ž,
2020,Broj,Unsko-sanska županija,Vjerske škole,Ž,
2020,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Posavska županija,Gimnazija,Ž,
2016,Broj,Posavska županija,Tehničke škole,Ž,
2016,Broj,Posavska županija,Stručne škole,Ž,
2016,Broj,Posavska županija,Umjetničke škole,Ž,
2016,Broj,Posavska županija,Vjerske škole,Ž,
2016,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Posavska županija,Gimnazija,Ž,
2017,Broj,Posavska županija,Tehničke škole,Ž,
2017,Broj,Posavska županija,Stručne škole,Ž,
2017,Broj,Posavska županija,Umjetničke škole,Ž,
2017,Broj,Posavska županija,Vjerske škole,Ž,
2017,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Posavska županija,Gimnazija,Ž,
2018,Broj,Posavska županija,Tehničke škole,Ž,
2018,Broj,Posavska županija,Stručne škole,Ž,
2018,Broj,Posavska županija,Umjetničke škole,Ž,
2018,Broj,Posavska županija,Vjerske škole,Ž,
2018,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Posavska županija,Gimnazija,Ž,
2019,Broj,Posavska županija,Tehničke škole,Ž,
2019,Broj,Posavska županija,Stručne škole,Ž,
2019,Broj,Posavska županija,Umjetničke škole,Ž,
2019,Broj,Posavska županija,Vjerske škole,Ž,
2019,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Posavska županija,Gimnazija,Ž,
2020,Broj,Posavska županija,Tehničke škole,Ž,
2020,Broj,Posavska županija,Stručne škole,Ž,
2020,Broj,Posavska županija,Umjetničke škole,Ž,
2020,Broj,Posavska županija,Vjerske škole,Ž,
2020,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Tuzlanska županija,Gimnazija,Ž,
2016,Broj,Tuzlanska županija,Tehničke škole,Ž,
2016,Broj,Tuzlanska županija,Stručne škole,Ž,
2016,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2016,Broj,Tuzlanska županija,Vjerske škole,Ž,
2016,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Tuzlanska županija,Gimnazija,Ž,
2017,Broj,Tuzlanska županija,Tehničke škole,Ž,
2017,Broj,Tuzlanska županija,Stručne škole,Ž,
2017,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2017,Broj,Tuzlanska županija,Vjerske škole,Ž,
2017,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Tuzlanska županija,Gimnazija,Ž,
2018,Broj,Tuzlanska županija,Tehničke škole,Ž,
2018,Broj,Tuzlanska županija,Stručne škole,Ž,
2018,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2018,Broj,Tuzlanska županija,Vjerske škole,Ž,
2018,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Tuzlanska županija,Gimnazija,Ž,
2019,Broj,Tuzlanska županija,Tehničke škole,Ž,
2019,Broj,Tuzlanska županija,Stručne škole,Ž,
2019,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2019,Broj,Tuzlanska županija,Vjerske škole,Ž,
2019,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Tuzlanska županija,Gimnazija,Ž,
2020,Broj,Tuzlanska županija,Tehničke škole,Ž,
2020,Broj,Tuzlanska županija,Stručne škole,Ž,
2020,Broj,Tuzlanska županija,Umjetničke škole,Ž,
2020,Broj,Tuzlanska županija,Vjerske škole,Ž,
2020,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2016,Broj,Zeničko-dobojska županija,Tehničke škole,Ž,
2016,Broj,Zeničko-dobojska županija,Stručne škole,Ž,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2016,Broj,Zeničko-dobojska županija,Vjerske škole,Ž,
2016,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2017,Broj,Zeničko-dobojska županija,Tehničke škole,Ž,
2017,Broj,Zeničko-dobojska županija,Stručne škole,Ž,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2017,Broj,Zeničko-dobojska županija,Vjerske škole,Ž,
2017,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2018,Broj,Zeničko-dobojska županija,Tehničke škole,Ž,
2018,Broj,Zeničko-dobojska županija,Stručne škole,Ž,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2018,Broj,Zeničko-dobojska županija,Vjerske škole,Ž,
2018,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2019,Broj,Zeničko-dobojska županija,Tehničke škole,Ž,
2019,Broj,Zeničko-dobojska županija,Stručne škole,Ž,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2019,Broj,Zeničko-dobojska županija,Vjerske škole,Ž,
2019,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Zeničko-dobojska županija,Gimnazija,Ž,
2020,Broj,Zeničko-dobojska županija,Tehničke škole,Ž,
2020,Broj,Zeničko-dobojska županija,Stručne škole,Ž,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,Ž,
2020,Broj,Zeničko-dobojska županija,Vjerske škole,Ž,
2020,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2016,Broj,Bosansko-podrinjska županija,Tehničke škole,Ž,
2016,Broj,Bosansko-podrinjska županija,Stručne škole,Ž,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2016,Broj,Bosansko-podrinjska županija,Vjerske škole,Ž,
2016,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
