Year,UNIT_MEASURE,Admin_Area,Пол,Value
2002,Број,una-sana_canton,Оба пола,13413.0
2002,Број,posavina_canton,Оба пола,445.0
2002,Број,tuzla_canton,Оба пола,27426.0
2002,Број,zenica-doboj_canton,Оба пола,90861.0
2002,Број,bosnian-podrinje_canton,Оба пола,
2002,Број,central_bosnia_canton,Оба пола,25509.0
2002,Број,herzegovina-neretva_canton,Оба пола,33238.0
2002,Број,west_herzegovina_canton,Оба пола,1435.0
2002,Број,sarajevo_canton,Оба пола,84101.0
2002,Број,canton_10,Оба пола,2341.0
2002,Број,federation_of_bih,M,149039.0
2002,Број,una-sana_canton,M,6158.0
2002,Број,posavina_canton,M,209.0
2002,Број,tuzla_canton,M,11177.0
2002,Број,zenica-doboj_canton,M,47241.0
2002,Број,bosnian-podrinje_canton,M,
2002,Број,central_bosnia_canton,M,12470.0
2002,Број,herzegovina-neretva_canton,M,14442.0
2002,Број,west_herzegovina_canton,M,799.0
2002,Број,sarajevo_canton,M,55462.0
2002,Број,canton_10,M,1081.0
2002,Број,federation_of_bih,Ж,129730.0
2002,Број,una-sana_canton,Ж,7255.0
2002,Број,posavina_canton,Ж,236.0
2002,Број,tuzla_canton,Ж,16249.0
2002,Број,zenica-doboj_canton,Ж,43620.0
2002,Број,bosnian-podrinje_canton,Ж,
2002,Број,central_bosnia_canton,Ж,13039.0
2002,Број,herzegovina-neretva_canton,Ж,18796.0
2002,Број,west_herzegovina_canton,Ж,636.0
2002,Број,sarajevo_canton,Ж,28639.0
2002,Број,canton_10,Ж,1260.0
2003,Број,federation_of_bih,Оба пола,289167.0
2003,Број,una-sana_canton,Оба пола,31374.0
2003,Број,posavina_canton,Оба пола,63.0
2003,Број,tuzla_canton,Оба пола,28411.0
2003,Број,zenica-doboj_canton,Оба пола,94539.0
2003,Број,bosnian-podrinje_canton,Оба пола,
2003,Број,central_bosnia_canton,Оба пола,17320.0
2003,Број,herzegovina-neretva_canton,Оба пола,31978.0
2003,Број,west_herzegovina_canton,Оба пола,1733.0
2003,Број,sarajevo_canton,Оба пола,81448.0
2003,Број,canton_10,Оба пола,2301.0
2003,Број,federation_of_bih,M,156012.0
2003,Број,una-sana_canton,M,21833.0
2003,Број,posavina_canton,M,26.0
2003,Број,tuzla_canton,M,11375.0
2003,Број,zenica-doboj_canton,M,49827.0
2003,Број,bosnian-podrinje_canton,M,
2003,Број,central_bosnia_canton,M,8597.0
2003,Број,herzegovina-neretva_canton,M,14707.0
2003,Број,west_herzegovina_canton,M,1020.0
2003,Број,sarajevo_canton,M,47683.0
2003,Број,canton_10,M,944.0
2003,Број,federation_of_bih,Ж,133155.0
2003,Број,una-sana_canton,Ж,9541.0
2003,Број,posavina_canton,Ж,37.0
2003,Број,tuzla_canton,Ж,17036.0
2003,Број,zenica-doboj_canton,Ж,44712.0
2003,Број,bosnian-podrinje_canton,Ж,
2003,Број,central_bosnia_canton,Ж,8723.0
2003,Број,herzegovina-neretva_canton,Ж,17271.0
2003,Број,west_herzegovina_canton,Ж,713.0
2003,Број,sarajevo_canton,Ж,33765.0
2003,Број,canton_10,Ж,1357.0
2004,Број,federation_of_bih,Оба пола,270507.0
2004,Број,una-sana_canton,Оба пола,15996.0
2004,Број,posavina_canton,Оба пола,94.0
2004,Број,tuzla_canton,Оба пола,29152.0
2004,Број,zenica-doboj_canton,Оба пола,86461.0
2004,Број,bosnian-podrinje_canton,Оба пола,
2004,Број,central_bosnia_canton,Оба пола,15487.0
2004,Број,herzegovina-neretva_canton,Оба пола,26784.0
2004,Број,west_herzegovina_canton,Оба пола,1826.0
2004,Број,sarajevo_canton,Оба пола,92390.0
2004,Број,canton_10,Оба пола,2317.0
2004,Број,federation_of_bih,M,140214.0
2004,Број,una-sana_canton,M,4970.0
2004,Број,posavina_canton,M,35.0
2004,Број,tuzla_canton,M,13090.0
2004,Број,zenica-doboj_canton,M,43327.0
2004,Број,bosnian-podrinje_canton,M,
2004,Број,central_bosnia_canton,M,7645.0
2004,Број,herzegovina-neretva_canton,M,13121.0
2004,Број,west_herzegovina_canton,M,1053.0
2004,Број,sarajevo_canton,M,56016.0
2004,Број,canton_10,M,957.0
2004,Број,federation_of_bih,Ж,130293.0
2004,Број,una-sana_canton,Ж,11026.0
2004,Број,posavina_canton,Ж,59.0
2004,Број,tuzla_canton,Ж,16062.0
2004,Број,zenica-doboj_canton,Ж,43134.0
2004,Број,bosnian-podrinje_canton,Ж,
2004,Број,central_bosnia_canton,Ж,7842.0
2004,Број,herzegovina-neretva_canton,Ж,13663.0
2004,Број,west_herzegovina_canton,Ж,773.0
2004,Број,sarajevo_canton,Ж,36374.0
2004,Број,canton_10,Ж,1360.0
2005,Број,federation_of_bih,Оба пола,249848.0
2005,Број,una-sana_canton,Оба пола,17657.0
2005,Број,posavina_canton,Оба пола,120.0
2005,Број,tuzla_canton,Оба пола,31339.0
2005,Број,zenica-doboj_canton,Оба пола,71895.0
2005,Број,bosnian-podrinje_canton,Оба пола,
2005,Број,central_bosnia_canton,Оба пола,16422.0
2005,Број,herzegovina-neretva_canton,Оба пола,19460.0
2005,Број,west_herzegovina_canton,Оба пола,1894.0
2005,Број,sarajevo_canton,Оба пола,88769.0
2005,Број,canton_10,Оба пола,2292.0
2005,Број,federation_of_bih,M,126173.0
2005,Број,una-sana_canton,M,5530.0
2005,Број,posavina_canton,M,51.0
2005,Број,tuzla_canton,M,13199.0
2005,Број,zenica-doboj_canton,M,36270.0
2005,Број,bosnian-podrinje_canton,M,
2005,Број,central_bosnia_canton,M,7964.0
2005,Број,herzegovina-neretva_canton,M,8200.0
2005,Број,west_herzegovina_canton,M,1097.0
2005,Број,sarajevo_canton,M,52885.0
2005,Број,canton_10,M,977.0
2005,Број,federation_of_bih,Ж,123675.0
2005,Број,una-sana_canton,Ж,12127.0
2005,Број,posavina_canton,Ж,69.0
2005,Број,tuzla_canton,Ж,18140.0
2005,Број,zenica-doboj_canton,Ж,35625.0
2005,Број,bosnian-podrinje_canton,Ж,
2005,Број,central_bosnia_canton,Ж,8458.0
2005,Број,herzegovina-neretva_canton,Ж,11260.0
2005,Број,west_herzegovina_canton,Ж,797.0
2005,Број,sarajevo_canton,Ж,35884.0
2005,Број,canton_10,Ж,1315.0
2006,Број,federation_of_bih,Оба пола,333918.0
2006,Број,una-sana_canton,Оба пола,21373.0
2006,Број,posavina_canton,Оба пола,136.0
2006,Број,tuzla_canton,Оба пола,48970.0
2006,Број,zenica-doboj_canton,Оба пола,100693.0
2006,Број,bosnian-podrinje_canton,Оба пола,
2006,Број,central_bosnia_canton,Оба пола,18658.0
2006,Број,herzegovina-neretva_canton,Оба пола,21145.0
2006,Број,west_herzegovina_canton,Оба пола,2345.0
2006,Број,sarajevo_canton,Оба пола,117743.0
2006,Број,canton_10,Оба пола,2855.0
2006,Број,federation_of_bih,M,188431.0
2006,Број,una-sana_canton,M,8672.0
2006,Број,posavina_canton,M,136.0
2006,Број,tuzla_canton,M,26081.0
2006,Број,zenica-doboj_canton,M,57897.0
2006,Број,bosnian-podrinje_canton,M,
2006,Број,central_bosnia_canton,M,8419.0
2006,Број,herzegovina-neretva_canton,M,10559.0
2006,Број,west_herzegovina_canton,M,1460.0
2006,Број,sarajevo_canton,M,73991.0
2006,Број,canton_10,M,1219.0
2006,Број,federation_of_bih,Ж,145487.0
2006,Број,una-sana_canton,Ж,12701.0
2006,Број,posavina_canton,Ж,0.0
2006,Број,tuzla_canton,Ж,22889.0
2006,Број,zenica-doboj_canton,Ж,42796.0
2006,Број,bosnian-podrinje_canton,Ж,
