Year,UNIT_MEASURE,Value
2020,Stopa nataliteta,8.8
2025,Stopa nataliteta,8.2
2030,Stopa nataliteta,7.6
2035,Stopa nataliteta,7.0
2040,Stopa nataliteta,6.7
2045,Stopa nataliteta,6.5
2050,Stopa nataliteta,6.4
2055,Stopa nataliteta,6.3
2060,Stopa nataliteta,6.2
2065,Stopa nataliteta,6.1
2070,Stopa nataliteta,6.1
