Year,UNIT_MEASURE,Administrative Area,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2001,Number,Federation of Bosnia and Herzegovina,M,,,,174528.0
2001,Number,Una-Sana Canton,M,,,,6205.0
2001,Number,Posavina Canton,M,,,,481.0
2001,Number,Tuzla Canton,M,,,,11941.0
2001,Number,Zenica-Doboj Canton,M,,,,51720.0
2001,Number,Bosnian-Podrinje Canton,M,,,,
2001,Number,Central Bosnia Canton,M,,,,9183.0
2001,Number,Herzegovina-Neretva Canton,M,,,,12154.0
2001,Number,West Herzegovina Canton,M,,,,304.0
2001,Number,Sarajevo Canton,M,,,,81369.0
2001,Number,Canton 10,M,,,,1171.0
2001,Number,Federation of Bosnia and Herzegovina,F,,,,116084.0
2001,Number,Una-Sana Canton,F,,,,5707.0
2001,Number,Posavina Canton,F,,,,675.0
2001,Number,Tuzla Canton,F,,,,16424.0
2001,Number,Zenica-Doboj Canton,F,,,,42785.0
2001,Number,Bosnian-Podrinje Canton,F,,,,
2001,Number,Central Bosnia Canton,F,,,,12038.0
2001,Number,Herzegovina-Neretva Canton,F,,,,14937.0
2001,Number,West Herzegovina Canton,F,,,,323.0
2001,Number,Sarajevo Canton,F,,,,21857.0
2001,Number,Canton 10,F,,,,1338.0
2002,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,278769.0
2002,Number,Una-Sana Canton,Both sexes,,,,13413.0
2002,Number,Posavina Canton,Both sexes,,,,445.0
2002,Number,Tuzla Canton,Both sexes,,,,27426.0
2002,Number,Zenica-Doboj Canton,Both sexes,,,,90861.0
2002,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2002,Number,Central Bosnia Canton,Both sexes,,,,25509.0
2002,Number,Herzegovina-Neretva Canton,Both sexes,,,,33238.0
2002,Number,West Herzegovina Canton,Both sexes,,,,1435.0
2002,Number,Sarajevo Canton,Both sexes,,,,84101.0
2002,Number,Canton 10,Both sexes,,,,2341.0
2002,Number,Federation of Bosnia and Herzegovina,M,,,,149039.0
2002,Number,Una-Sana Canton,M,,,,6158.0
2002,Number,Posavina Canton,M,,,,209.0
2002,Number,Tuzla Canton,M,,,,11177.0
2002,Number,Zenica-Doboj Canton,M,,,,47241.0
2002,Number,Bosnian-Podrinje Canton,M,,,,
2002,Number,Central Bosnia Canton,M,,,,12470.0
2002,Number,Herzegovina-Neretva Canton,M,,,,14442.0
2002,Number,West Herzegovina Canton,M,,,,799.0
2002,Number,Sarajevo Canton,M,,,,55462.0
2002,Number,Canton 10,M,,,,1081.0
2002,Number,Federation of Bosnia and Herzegovina,F,,,,129730.0
2002,Number,Una-Sana Canton,F,,,,7255.0
2002,Number,Posavina Canton,F,,,,236.0
2002,Number,Tuzla Canton,F,,,,16249.0
2002,Number,Zenica-Doboj Canton,F,,,,43620.0
2002,Number,Bosnian-Podrinje Canton,F,,,,
2002,Number,Central Bosnia Canton,F,,,,13039.0
2002,Number,Herzegovina-Neretva Canton,F,,,,18796.0
2002,Number,West Herzegovina Canton,F,,,,636.0
2002,Number,Sarajevo Canton,F,,,,28639.0
2002,Number,Canton 10,F,,,,1260.0
2003,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,289167.0
2003,Number,Una-Sana Canton,Both sexes,,,,31374.0
2003,Number,Posavina Canton,Both sexes,,,,63.0
2003,Number,Tuzla Canton,Both sexes,,,,28411.0
2003,Number,Zenica-Doboj Canton,Both sexes,,,,94539.0
2003,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2003,Number,Central Bosnia Canton,Both sexes,,,,17320.0
2003,Number,Herzegovina-Neretva Canton,Both sexes,,,,31978.0
2003,Number,West Herzegovina Canton,Both sexes,,,,1733.0
2003,Number,Sarajevo Canton,Both sexes,,,,81448.0
2003,Number,Canton 10,Both sexes,,,,2301.0
2003,Number,Federation of Bosnia and Herzegovina,M,,,,156012.0
2003,Number,Una-Sana Canton,M,,,,21833.0
2003,Number,Posavina Canton,M,,,,26.0
2003,Number,Tuzla Canton,M,,,,11375.0
2003,Number,Zenica-Doboj Canton,M,,,,49827.0
2003,Number,Bosnian-Podrinje Canton,M,,,,
2003,Number,Central Bosnia Canton,M,,,,8597.0
2003,Number,Herzegovina-Neretva Canton,M,,,,14707.0
2003,Number,West Herzegovina Canton,M,,,,1020.0
2003,Number,Sarajevo Canton,M,,,,47683.0
2003,Number,Canton 10,M,,,,944.0
2003,Number,Federation of Bosnia and Herzegovina,F,,,,133155.0
2003,Number,Una-Sana Canton,F,,,,9541.0
2003,Number,Posavina Canton,F,,,,37.0
2003,Number,Tuzla Canton,F,,,,17036.0
2003,Number,Zenica-Doboj Canton,F,,,,44712.0
2003,Number,Bosnian-Podrinje Canton,F,,,,
2003,Number,Central Bosnia Canton,F,,,,8723.0
2003,Number,Herzegovina-Neretva Canton,F,,,,17271.0
2003,Number,West Herzegovina Canton,F,,,,713.0
2003,Number,Sarajevo Canton,F,,,,33765.0
2003,Number,Canton 10,F,,,,1357.0
2004,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,270507.0
2004,Number,Una-Sana Canton,Both sexes,,,,15996.0
2004,Number,Posavina Canton,Both sexes,,,,94.0
2004,Number,Tuzla Canton,Both sexes,,,,29152.0
2004,Number,Zenica-Doboj Canton,Both sexes,,,,86461.0
2004,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2004,Number,Central Bosnia Canton,Both sexes,,,,15487.0
2004,Number,Herzegovina-Neretva Canton,Both sexes,,,,26784.0
2004,Number,West Herzegovina Canton,Both sexes,,,,1826.0
2004,Number,Sarajevo Canton,Both sexes,,,,92390.0
2004,Number,Canton 10,Both sexes,,,,2317.0
2004,Number,Federation of Bosnia and Herzegovina,M,,,,140214.0
2004,Number,Una-Sana Canton,M,,,,4970.0
2004,Number,Posavina Canton,M,,,,35.0
2004,Number,Tuzla Canton,M,,,,13090.0
2004,Number,Zenica-Doboj Canton,M,,,,43327.0
2004,Number,Bosnian-Podrinje Canton,M,,,,
2004,Number,Central Bosnia Canton,M,,,,7645.0
2004,Number,Herzegovina-Neretva Canton,M,,,,13121.0
2004,Number,West Herzegovina Canton,M,,,,1053.0
2004,Number,Sarajevo Canton,M,,,,56016.0
2004,Number,Canton 10,M,,,,957.0
2004,Number,Federation of Bosnia and Herzegovina,F,,,,130293.0
2004,Number,Una-Sana Canton,F,,,,11026.0
2004,Number,Posavina Canton,F,,,,59.0
2004,Number,Tuzla Canton,F,,,,16062.0
2004,Number,Zenica-Doboj Canton,F,,,,43134.0
2004,Number,Bosnian-Podrinje Canton,F,,,,
2004,Number,Central Bosnia Canton,F,,,,7842.0
2004,Number,Herzegovina-Neretva Canton,F,,,,13663.0
2004,Number,West Herzegovina Canton,F,,,,773.0
2004,Number,Sarajevo Canton,F,,,,36374.0
2004,Number,Canton 10,F,,,,1360.0
2005,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,249848.0
2005,Number,Una-Sana Canton,Both sexes,,,,17657.0
2005,Number,Posavina Canton,Both sexes,,,,120.0
2005,Number,Tuzla Canton,Both sexes,,,,31339.0
2005,Number,Zenica-Doboj Canton,Both sexes,,,,71895.0
2005,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2005,Number,Central Bosnia Canton,Both sexes,,,,16422.0
2005,Number,Herzegovina-Neretva Canton,Both sexes,,,,19460.0
2005,Number,West Herzegovina Canton,Both sexes,,,,1894.0
2005,Number,Sarajevo Canton,Both sexes,,,,88769.0
2005,Number,Canton 10,Both sexes,,,,2292.0
2005,Number,Federation of Bosnia and Herzegovina,M,,,,126173.0
2005,Number,Una-Sana Canton,M,,,,5530.0
2005,Number,Posavina Canton,M,,,,51.0
2005,Number,Tuzla Canton,M,,,,13199.0
2005,Number,Zenica-Doboj Canton,M,,,,36270.0
2005,Number,Bosnian-Podrinje Canton,M,,,,
2005,Number,Central Bosnia Canton,M,,,,7964.0
2005,Number,Herzegovina-Neretva Canton,M,,,,8200.0
2005,Number,West Herzegovina Canton,M,,,,1097.0
2005,Number,Sarajevo Canton,M,,,,52885.0
2005,Number,Canton 10,M,,,,977.0
2005,Number,Federation of Bosnia and Herzegovina,F,,,,123675.0
2005,Number,Una-Sana Canton,F,,,,12127.0
2005,Number,Posavina Canton,F,,,,69.0
2005,Number,Tuzla Canton,F,,,,18140.0
2005,Number,Zenica-Doboj Canton,F,,,,35625.0
2005,Number,Bosnian-Podrinje Canton,F,,,,
2005,Number,Central Bosnia Canton,F,,,,8458.0
2005,Number,Herzegovina-Neretva Canton,F,,,,11260.0
2005,Number,West Herzegovina Canton,F,,,,797.0
2005,Number,Sarajevo Canton,F,,,,35884.0
2005,Number,Canton 10,F,,,,1315.0
2006,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,333918.0
2006,Number,Una-Sana Canton,Both sexes,,,,21373.0
2006,Number,Posavina Canton,Both sexes,,,,136.0
2006,Number,Tuzla Canton,Both sexes,,,,48970.0
2006,Number,Zenica-Doboj Canton,Both sexes,,,,100693.0
2006,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2006,Number,Central Bosnia Canton,Both sexes,,,,18658.0
2006,Number,Herzegovina-Neretva Canton,Both sexes,,,,21145.0
2006,Number,West Herzegovina Canton,Both sexes,,,,2345.0
2006,Number,Sarajevo Canton,Both sexes,,,,117743.0
2006,Number,Canton 10,Both sexes,,,,2855.0
2006,Number,Federation of Bosnia and Herzegovina,M,,,,188431.0
2006,Number,Una-Sana Canton,M,,,,8672.0
2006,Number,Posavina Canton,M,,,,136.0
2006,Number,Tuzla Canton,M,,,,26081.0
2006,Number,Zenica-Doboj Canton,M,,,,57897.0
2006,Number,Bosnian-Podrinje Canton,M,,,,
2006,Number,Central Bosnia Canton,M,,,,8419.0
2006,Number,Herzegovina-Neretva Canton,M,,,,10559.0
2006,Number,West Herzegovina Canton,M,,,,1460.0
2006,Number,Sarajevo Canton,M,,,,73991.0
2006,Number,Canton 10,M,,,,1219.0
2006,Number,Federation of Bosnia and Herzegovina,F,,,,145487.0
2006,Number,Una-Sana Canton,F,,,,12701.0
2006,Number,Posavina Canton,F,,,,0.0
2006,Number,Tuzla Canton,F,,,,22889.0
2006,Number,Zenica-Doboj Canton,F,,,,42796.0
2006,Number,Bosnian-Podrinje Canton,F,,,,
2006,Number,Central Bosnia Canton,F,,,,10239.0
2006,Number,Herzegovina-Neretva Canton,F,,,,10586.0
2006,Number,West Herzegovina Canton,F,,,,885.0
2006,Number,Sarajevo Canton,F,,,,43752.0
2006,Number,Canton 10,F,,,,1636.0
2007,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,334660.0
2007,Number,Una-Sana Canton,Both sexes,,,,17226.0
2007,Number,Posavina Canton,Both sexes,,,,1287.0
2007,Number,Tuzla Canton,Both sexes,,,,46851.0
2007,Number,Zenica-Doboj Canton,Both sexes,,,,77762.0
2007,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2007,Number,Central Bosnia Canton,Both sexes,,,,19464.0
2007,Number,Herzegovina-Neretva Canton,Both sexes,,,,21708.0
2007,Number,West Herzegovina Canton,Both sexes,,,,2560.0
2007,Number,Sarajevo Canton,Both sexes,,,,144940.0
2007,Number,Canton 10,Both sexes,,,,2862.0
2007,Number,Federation of Bosnia and Herzegovina,M,,,,183592.0
2007,Number,Una-Sana Canton,M,,,,7586.0
2007,Number,Posavina Canton,M,,,,481.0
2007,Number,Tuzla Canton,M,,,,21048.0
2007,Number,Zenica-Doboj Canton,M,,,,39940.0
2007,Number,Bosnian-Podrinje Canton,M,,,,
2007,Number,Central Bosnia Canton,M,,,,8681.0
2007,Number,Herzegovina-Neretva Canton,M,,,,9489.0
2007,Number,West Herzegovina Canton,M,,,,1579.0
2007,Number,Sarajevo Canton,M,,,,93705.0
2007,Number,Canton 10,M,,,,1083.0
2007,Number,Federation of Bosnia and Herzegovina,F,,,,151068.0
2007,Number,Una-Sana Canton,F,,,,9640.0
2007,Number,Posavina Canton,F,,,,806.0
2007,Number,Tuzla Canton,F,,,,25803.0
2007,Number,Zenica-Doboj Canton,F,,,,37822.0
2007,Number,Bosnian-Podrinje Canton,F,,,,
2007,Number,Central Bosnia Canton,F,,,,10783.0
2007,Number,Herzegovina-Neretva Canton,F,,,,12219.0
2007,Number,West Herzegovina Canton,F,,,,981.0
2007,Number,Sarajevo Canton,F,,,,51235.0
2007,Number,Canton 10,F,,,,1779.0
2008,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,340152.0
2008,Number,Una-Sana Canton,Both sexes,,,,17453.0
2008,Number,Posavina Canton,Both sexes,,,,892.0
2008,Number,Tuzla Canton,Both sexes,,,,55890.0
2008,Number,Zenica-Doboj Canton,Both sexes,,,,70513.0
2008,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2008,Number,Central Bosnia Canton,Both sexes,,,,22556.0
2008,Number,Herzegovina-Neretva Canton,Both sexes,,,,15078.0
2008,Number,West Herzegovina Canton,Both sexes,,,,2765.0
2008,Number,Sarajevo Canton,Both sexes,,,,152336.0
2008,Number,Canton 10,Both sexes,,,,2669.0
2008,Number,Federation of Bosnia and Herzegovina,M,,,,182103.0
2008,Number,Una-Sana Canton,M,,,,8106.0
2008,Number,Posavina Canton,M,,,,371.0
2008,Number,Tuzla Canton,M,,,,23290.0
2008,Number,Zenica-Doboj Canton,M,,,,35712.0
2008,Number,Bosnian-Podrinje Canton,M,,,,
2008,Number,Central Bosnia Canton,M,,,,9089.0
2008,Number,Herzegovina-Neretva Canton,M,,,,6274.0
2008,Number,West Herzegovina Canton,M,,,,1620.0
2008,Number,Sarajevo Canton,M,,,,96671.0
