Year,UNIT_MEASURE,Старосна доб,Value
2022,‰,40-44,6.0
2023,‰,40-44,6.8
1996,‰,45-49,0.4
1997,‰,45-49,0.5
1998,‰,45-49,0.5
1999,‰,45-49,0.3
2000,‰,45-49,0.3
2001,‰,45-49,0.4
2002,‰,45-49,0.2
2003,‰,45-49,0.2
2004,‰,45-49,0.2
2005,‰,45-49,0.2
2006,‰,45-49,0.2
2007,‰,45-49,0.3
2008,‰,45-49,0.2
2009,‰,45-49,0.2
2010,‰,45-49,0.2
2011,‰,45-49,0.2
2012,‰,45-49,0.1
2013,‰,45-49,0.3
2014,‰,45-49,0.2
2015,‰,45-49,0.2
2016,‰,45-49,0.2
2017,‰,45-49,0.4
2018,‰,45-49,0.4
2019,‰,45-49,0.2
2020,‰,45-49,0.5
2021,‰,45-49,0.3
2022,‰,45-49,0.2
2023,‰,45-49,0.3
