Year,UNIT_MEASURE,Value
1997,Број дјечака на 100 дјевојчица,109.9
1998,Број дјечака на 100 дјевојчица,108.0
1999,Број дјечака на 100 дјевојчица,103.8
2000,Број дјечака на 100 дјевојчица,106.5
2001,Број дјечака на 100 дјевојчица,105.8
2002,Број дјечака на 100 дјевојчица,105.4
2003,Број дјечака на 100 дјевојчица,109.0
2004,Број дјечака на 100 дјевојчица,106.5
2005,Број дјечака на 100 дјевојчица,106.0
2006,Број дјечака на 100 дјевојчица,107.8
2007,Број дјечака на 100 дјевојчица,108.4
2008,Број дјечака на 100 дјевојчица,104.8
2009,Број дјечака на 100 дјевојчица,107.6
2010,Број дјечака на 100 дјевојчица,106.8
2011,Број дјечака на 100 дјевојчица,107.9
2012,Број дјечака на 100 дјевојчица,108.1
2013,Број дјечака на 100 дјевојчица,106.5
2014,Број дјечака на 100 дјевојчица,105.1
2015,Број дјечака на 100 дјевојчица,104.4
2016,Број дјечака на 100 дјевојчица,108.2
2017,Број дјечака на 100 дјевојчица,107.0
2018,Број дјечака на 100 дјевојчица,106.4
2019,Број дјечака на 100 дјевојчица,107.7
2020,Број дјечака на 100 дјевојчица,107.1
