Year,UNIT_MEASURE,Value
1996,Број на 1.000 бракова,25.7
1997,Број на 1.000 бракова,68.4
1998,Број на 1.000 бракова,77.9
1999,Број на 1.000 бракова,84.1
2000,Број на 1.000 бракова,84.9
2001,Број на 1.000 бракова,100.8
2002,Број на 1.000 бракова,110.5
2003,Број на 1.000 бракова,89.6
2004,Број на 1.000 бракова,62.6
2005,Број на 1.000 бракова,70.9
2006,Број на 1.000 бракова,71.7
2007,Број на 1.000 бракова,69.6
2008,Број на 1.000 бракова,62.9
2009,Број на 1.000 бракова,58.9
2010,Број на 1.000 бракова,76.5
2011,Број на 1.000 бракова,97.0
2012,Број на 1.000 бракова,97.5
2013,Број на 1.000 бракова,119.8
2014,Број на 1.000 бракова,110.2
2015,Број на 1.000 бракова,115.8
2016,Број на 1.000 бракова,113.0
2017,Број на 1.000 бракова,132.8
2018,Број на 1.000 бракова,139.6
2019,Број на 1.000 бракова,136.4
