Year,UNIT_MEASURE,Пол,Value
1997,Број,Оба пола,445
1998,Број,Оба пола,382
1999,Број,Оба пола,312
2000,Број,Оба пола,280
2001,Број,Оба пола,214
2002,Број,Оба пола,245
2003,Број,Оба пола,202
2004,Број,Оба пола,190
2005,Број,Оба пола,194
2006,Број,Оба пола,205
2007,Број,Оба пола,193
2008,Број,Оба пола,194
2009,Број,Оба пола,173
2010,Број,Оба пола,172
2011,Број,Оба пола,141
2012,Број,Оба пола,139
2013,Број,Оба пола,148
2014,Број,Оба пола,127
2015,Број,Оба пола,154
2016,Број,Оба пола,147
2017,Број,Оба пола,162
2018,Број,Оба пола,158
2019,Број,Оба пола,167
1997,Број,M,276
1998,Број,M,235
1999,Број,M,174
2000,Број,M,163
2001,Број,M,118
2002,Број,M,138
2003,Број,M,122
2004,Број,M,107
2005,Број,M,113
2006,Број,M,127
2007,Број,M,114
2008,Број,M,110
2009,Број,M,87
2010,Број,M,105
2011,Број,M,85
2012,Број,M,85
2013,Број,M,88
2014,Број,M,63
2015,Број,M,84
2016,Број,M,87
2017,Број,M,87
2018,Број,M,81
2019,Број,M,89
1997,Број,Ж,169
1998,Број,Ж,147
1999,Број,Ж,138
2000,Број,Ж,117
2001,Број,Ж,96
2002,Број,Ж,107
2003,Број,Ж,80
2004,Број,Ж,83
2005,Број,Ж,81
2006,Број,Ж,78
2007,Број,Ж,79
2008,Број,Ж,84
2009,Број,Ж,86
2010,Број,Ж,67
2011,Број,Ж,56
2012,Број,Ж,54
2013,Број,Ж,60
2014,Број,Ж,64
2015,Број,Ж,70
2016,Број,Ж,60
2017,Број,Ж,75
2018,Број,Ж,77
2019,Број,Ж,78
