Year,UNIT_MEASURE,Value
2003,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2004,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2005,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2006,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2007,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2008,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2009,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2010,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2011,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2012,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2013,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2014,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2015,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2016,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2017,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2018,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2019,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
2020,Број живорођене дјеце по једној жени у фертилном периоду (15-49),
