Year,UNIT_MEASURE,Municipality,Пол,AGE,Value
2013,Број,prozor,Оба пола,0-4,687
2013,Број,ravno,Оба пола,0-4,118
2013,Број,sanski_most,Оба пола,0-4,1681
2013,Број,sapna,Оба пола,0-4,651
2013,Број,srebrenik,Оба пола,0-4,2214
2013,Број,stari_grad_sarajevo,Оба пола,0-4,1623
2013,Број,stolac,Оба пола,0-4,650
2013,Број,siroki_brijeg,Оба пола,0-4,1623
2013,Број,teocak,Оба пола,0-4,351
2013,Број,tesanj,Оба пола,0-4,2689
2013,Број,tomislavgrad,Оба пола,0-4,1490
2013,Број,travnik,Оба пола,0-4,2797
2013,Број,trnovo-fbih,Оба пола,0-4,40
2013,Број,tuzla,Оба пола,0-4,5105
2013,Број,usora,Оба пола,0-4,251
2013,Број,vares,Оба пола,0-4,256
2013,Број,velika_kladusa,Оба пола,0-4,2756
2013,Број,visoko,Оба пола,0-4,2309
2013,Број,vitez,Оба пола,0-4,1447
2013,Број,vogosca,Оба пола,0-4,1600
2013,Број,zavidovici,Оба пола,0-4,2005
2013,Број,zenica,Оба пола,0-4,6072
2013,Број,zepce,Оба пола,0-4,1657
2013,Број,zivinice,Оба пола,0-4,3389
2013,Број,banovici,Оба пола, 5-9,1212
2013,Број,bihac,Оба пола, 5-9,2806
2013,Број,bosanska_krupa,Оба пола, 5-9,1495
2013,Број,bosanski_petrovac,Оба пола, 5-9,324
2013,Број,bosansko_grahovo,Оба пола, 5-9,49
2013,Број,breza,Оба пола, 5-9,661
2013,Број,bugojno,Оба пола, 5-9,1681
2013,Број,busovaca,Оба пола, 5-9,1079
2013,Број,buzim,Оба пола, 5-9,1345
2013,Број,cazin,Оба пола, 5-9,4192
2013,Број,centar_sarajevo,Оба пола, 5-9,2432
2013,Број,capljina,Оба пола, 5-9,1359
2013,Број,celic,Оба пола, 5-9,573
2013,Број,citluk,Оба пола, 5-9,1090
2013,Број,doboj-istok,Оба пола, 5-9,570
2013,Број,doboj-jug,Оба пола, 5-9,288
2013,Број,dobretici,Оба пола, 5-9,54
2013,Број,domaljevac-samac,Оба пола, 5-9,237
2013,Број,donji_vakuf,Оба пола, 5-9,861
2013,Број,drvar,Оба пола, 5-9,250
2013,Број,foca-fbih,Оба пола, 5-9,71
2013,Број,fojnica,Оба пола, 5-9,635
2013,Број,glamoc,Оба пола, 5-9,181
2013,Број,gorazde,Оба пола, 5-9,845
2013,Број,gornji_vakuf-uskoplje,Оба пола, 5-9,1231
2013,Број,gracanica,Оба пола, 5-9,2518
2013,Број,gradacac,Оба пола, 5-9,2243
2013,Број,grude,Оба пола, 5-9,952
2013,Број,hadzici,Оба пола, 5-9,1339
2013,Број,ilidza,Оба пола, 5-9,3664
2013,Број,ilijas,Оба пола, 5-9,1128
2013,Број,jablanica,Оба пола, 5-9,421
2013,Број,jajce,Оба пола, 5-9,1534
2013,Број,kakanj,Оба пола, 5-9,2134
2013,Број,kalesija,Оба пола, 5-9,1900
2013,Број,kiseljak,Оба пола, 5-9,1147
2013,Број,kladanj,Оба пола, 5-9,602
2013,Број,kljuc,Оба пола, 5-9,809
2013,Број,konjic,Оба пола, 5-9,1237
2013,Број,kresevo,Оба пола, 5-9,270
2013,Број,krupa_na_uni,Оба пола, 5-9,57
2013,Број,kupres-fbih,Оба пола, 5-9,216
2013,Број,livno,Оба пола, 5-9,1465
2013,Број,lukavac,Оба пола, 5-9,1892
2013,Број,ljubuski,Оба пола, 5-9,1573
2013,Број,maglaj,Оба пола, 5-9,1178
2013,Број,mostar,Оба пола, 5-9,4889
2013,Број,neum,Оба пола, 5-9,237
2013,Број,novi_grad_sarajevo,Оба пола, 5-9,6046
2013,Број,novi_travnik,Оба пола, 5-9,1345
2013,Број,novo_sarajevo,Оба пола, 5-9,2736
2013,Број,odzak,Оба пола, 5-9,823
2013,Број,olovo,Оба пола, 5-9,446
2013,Број,orasje,Оба пола, 5-9,927
2013,Број,pale-fbih,Оба пола, 5-9,42
2013,Број,posusje,Оба пола, 5-9,1332
2013,Број,prozor,Оба пола, 5-9,821
2013,Број,ravno,Оба пола, 5-9,136
2013,Број,sanski_most,Оба пола, 5-9,1975
2013,Број,sapna,Оба пола, 5-9,729
2013,Број,srebrenik,Оба пола, 5-9,2201
2013,Број,stari_grad_sarajevo,Оба пола, 5-9,1593
2013,Број,stolac,Оба пола, 5-9,676
2013,Број,siroki_brijeg,Оба пола, 5-9,1662
2013,Број,teocak,Оба пола, 5-9,403
2013,Број,tesanj,Оба пола, 5-9,2610
2013,Број,tomislavgrad,Оба пола, 5-9,1719
2013,Број,travnik,Оба пола, 5-9,2975
2013,Број,trnovo-fbih,Оба пола, 5-9,41
2013,Број,tuzla,Оба пола, 5-9,4709
2013,Број,usora,Оба пола, 5-9,271
2013,Број,vares,Оба пола, 5-9,310
2013,Број,velika_kladusa,Оба пола, 5-9,2831
2013,Број,visoko,Оба пола, 5-9,2331
2013,Број,vitez,Оба пола, 5-9,1479
2013,Број,vogosca,Оба пола, 5-9,1455
2013,Број,zavidovici,Оба пола, 5-9,1997
2013,Број,zenica,Оба пола, 5-9,5641
2013,Број,zepce,Оба пола, 5-9,1743
2013,Број,zivinice,Оба пола, 5-9,3178
2013,Број,banovici,Оба пола, 10-14,1221
2013,Број,bihac,Оба пола, 10-14,3393
2013,Број,bosanska_krupa,Оба пола, 10-14,1612
2013,Број,bosanski_petrovac,Оба пола, 10-14,388
2013,Број,bosansko_grahovo,Оба пола, 10-14,67
2013,Број,breza,Оба пола, 10-14,700
2013,Број,bugojno,Оба пола, 10-14,1874
2013,Број,busovaca,Оба пола, 10-14,1137
2013,Број,buzim,Оба пола, 10-14,1469
2013,Број,cazin,Оба пола, 10-14,4356
2013,Број,centar_sarajevo,Оба пола, 10-14,2392
2013,Број,capljina,Оба пола, 10-14,1627
2013,Број,celic,Оба пола, 10-14,687
2013,Број,citluk,Оба пола, 10-14,1290
2013,Број,doboj-istok,Оба пола, 10-14,607
2013,Број,doboj-jug,Оба пола, 10-14,259
2013,Број,dobretici,Оба пола, 10-14,56
2013,Број,domaljevac-samac,Оба пола, 10-14,272
2013,Број,donji_vakuf,Оба пола, 10-14,958
2013,Број,drvar,Оба пола, 10-14,268
2013,Број,foca-fbih,Оба пола, 10-14,85
2013,Број,fojnica,Оба пола, 10-14,738
2013,Број,glamoc,Оба пола, 10-14,177
2013,Број,gorazde,Оба пола, 10-14,1086
2013,Број,gornji_vakuf-uskoplje,Оба пола, 10-14,1350
2013,Број,gracanica,Оба пола, 10-14,2542
2013,Број,gradacac,Оба пола, 10-14,2398
2013,Број,grude,Оба пола, 10-14,1096
2013,Број,hadzici,Оба пола, 10-14,1385
2013,Број,ilidza,Оба пола, 10-14,3675
2013,Број,ilijas,Оба пола, 10-14,1112
2013,Број,jablanica,Оба пола, 10-14,471
2013,Број,jajce,Оба пола, 10-14,1651
2013,Број,kakanj,Оба пола, 10-14,2211
2013,Број,kalesija,Оба пола, 10-14,2073
2013,Број,kiseljak,Оба пола, 10-14,1284
2013,Број,kladanj,Оба пола, 10-14,712
2013,Број,kljuc,Оба пола, 10-14,986
2013,Број,konjic,Оба пола, 10-14,1390
2013,Број,kresevo,Оба пола, 10-14,294
2013,Број,krupa_na_uni,Оба пола, 10-14,76
