Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,10179
2010,Број,Унско-сански кантон,Оба пола,996
2010,Број,Посавски кантон,Оба пола,117
2010,Број,Тузлански кантон,Оба пола,1865
2010,Број,Зеничко-добојски кантон,Оба пола,1032
2010,Број,Босанско-подрињски кантон,Оба пола,158
2010,Број,Средњобосански кантон,Оба пола,703
2010,Број,Херцеговачко-неретвански кантон,Оба пола,1445
2010,Број,Западнохерцеговчки кантон,Оба пола,679
2010,Број,Кантон Сарајево,Оба пола,2811
2010,Број,Кантон 10,Оба пола,373
2010,Број,Федерација Босне и Херцеговине,M,5359
2010,Број,Унско-сански кантон,M,534
2010,Број,Посавски кантон,M,55
2010,Број,Тузлански кантон,M,953
2010,Број,Зеничко-добојски кантон,M,563
2010,Број,Босанско-подрињски кантон,M,82
2010,Број,Средњобосански кантон,M,400
2010,Број,Херцеговачко-неретвански кантон,M,746
2010,Број,Западнохерцеговчки кантон,M,372
2010,Број,Кантон Сарајево,M,1456
2010,Број,Кантон 10,M,198
2010,Број,Федерација Босне и Херцеговине,Ж,4820
2010,Број,Унско-сански кантон,Ж,462
2010,Број,Посавски кантон,Ж,62
2010,Број,Тузлански кантон,Ж,912
2010,Број,Зеничко-добојски кантон,Ж,469
2010,Број,Босанско-подрињски кантон,Ж,76
2010,Број,Средњобосански кантон,Ж,303
2010,Број,Херцеговачко-неретвански кантон,Ж,699
2010,Број,Западнохерцеговчки кантон,Ж,307
2010,Број,Кантон Сарајево,Ж,1355
2010,Број,Кантон 10,Ж,175
2011,Број,Федерација Босне и Херцеговине,Оба пола,10179
2011,Број,Унско-сански кантон,Оба пола,996
2011,Број,Посавски кантон,Оба пола,117
2011,Број,Тузлански кантон,Оба пола,1865
2011,Број,Зеничко-добојски кантон,Оба пола,1032
2011,Број,Босанско-подрињски кантон,Оба пола,158
2011,Број,Средњобосански кантон,Оба пола,703
2011,Број,Херцеговачко-неретвански кантон,Оба пола,1445
2011,Број,Западнохерцеговчки кантон,Оба пола,679
2011,Број,Кантон Сарајево,Оба пола,2811
2011,Број,Кантон 10,Оба пола,373
2011,Број,Федерација Босне и Херцеговине,M,5359
2011,Број,Унско-сански кантон,M,534
2011,Број,Посавски кантон,M,55
2011,Број,Тузлански кантон,M,953
2011,Број,Зеничко-добојски кантон,M,563
2011,Број,Босанско-подрињски кантон,M,82
2011,Број,Средњобосански кантон,M,400
2011,Број,Херцеговачко-неретвански кантон,M,746
2011,Број,Западнохерцеговчки кантон,M,372
2011,Број,Кантон Сарајево,M,1456
2011,Број,Кантон 10,M,198
2011,Број,Федерација Босне и Херцеговине,Ж,4820
2011,Број,Унско-сански кантон,Ж,462
2011,Број,Посавски кантон,Ж,62
2011,Број,Тузлански кантон,Ж,912
2011,Број,Зеничко-добојски кантон,Ж,469
2011,Број,Босанско-подрињски кантон,Ж,76
2011,Број,Средњобосански кантон,Ж,303
2011,Број,Херцеговачко-неретвански кантон,Ж,699
2011,Број,Западнохерцеговчки кантон,Ж,307
2011,Број,Кантон Сарајево,Ж,1355
2011,Број,Кантон 10,Ж,175
2012,Број,Федерација Босне и Херцеговине,Оба пола,10969
2012,Број,Унско-сански кантон,Оба пола,1065
2012,Број,Посавски кантон,Оба пола,141
2012,Број,Тузлански кантон,Оба пола,2011
2012,Број,Зеничко-добојски кантон,Оба пола,1251
2012,Број,Босанско-подрињски кантон,Оба пола,192
2012,Број,Средњобосански кантон,Оба пола,656
2012,Број,Херцеговачко-неретвански кантон,Оба пола,1421
2012,Број,Западнохерцеговчки кантон,Оба пола,756
2012,Број,Кантон Сарајево,Оба пола,3101
2012,Број,Кантон 10,Оба пола,375
2012,Број,Федерација Босне и Херцеговине,M,5700
2012,Број,Унско-сански кантон,M,564
2012,Број,Посавски кантон,M,91
2012,Број,Тузлански кантон,M,1096
2012,Број,Зеничко-добојски кантон,M,651
2012,Број,Босанско-подрињски кантон,M,92
2012,Број,Средњобосански кантон,M,332
2012,Број,Херцеговачко-неретвански кантон,M,721
2012,Број,Западнохерцеговчки кантон,M,411
2012,Број,Кантон Сарајево,M,1550
2012,Број,Кантон 10,M,192
2012,Број,Федерација Босне и Херцеговине,Ж,5269
2012,Број,Унско-сански кантон,Ж,501
2012,Број,Посавски кантон,Ж,50
2012,Број,Тузлански кантон,Ж,915
2012,Број,Зеничко-добојски кантон,Ж,600
2012,Број,Босанско-подрињски кантон,Ж,100
2012,Број,Средњобосански кантон,Ж,324
2012,Број,Херцеговачко-неретвански кантон,Ж,700
2012,Број,Западнохерцеговчки кантон,Ж,345
2012,Број,Кантон Сарајево,Ж,1551
2012,Број,Кантон 10,Ж,183
2013,Број,Федерација Босне и Херцеговине,Оба пола,156
2013,Број,Унско-сански кантон,Оба пола,14
2013,Број,Посавски кантон,Оба пола,3
2013,Број,Тузлански кантон,Оба пола,21
2013,Број,Зеничко-добојски кантон,Оба пола,24
2013,Број,Босанско-подрињски кантон,Оба пола,2
2013,Број,Средњобосански кантон,Оба пола,12
2013,Број,Херцеговачко-неретвански кантон,Оба пола,22
2013,Број,Западнохерцеговчки кантон,Оба пола,12
2013,Број,Кантон Сарајево,Оба пола,40
2013,Број,Кантон 10,Оба пола,6
2013,Број,Федерација Босне и Херцеговине,M,6229
2013,Број,Унско-сански кантон,M,587
2013,Број,Посавски кантон,M,74
2013,Број,Тузлански кантон,M,1054
2013,Број,Зеничко-добојски кантон,M,711
2013,Број,Босанско-подрињски кантон,M,91
2013,Број,Средњобосански кантон,M,290
2013,Број,Херцеговачко-неретвански кантон,M,780
2013,Број,Западнохерцеговчки кантон,M,424
2013,Број,Кантон Сарајево,M,2028
2013,Број,Кантон 10,M,190
2013,Број,Федерација Босне и Херцеговине,Ж,5579
2013,Број,Унско-сански кантон,Ж,533
2013,Број,Посавски кантон,Ж,68
2013,Број,Тузлански кантон,Ж,858
2013,Број,Зеничко-добојски кантон,Ж,687
2013,Број,Босанско-подрињски кантон,Ж,80
2013,Број,Средњобосански кантон,Ж,318
2013,Број,Херцеговачко-неретвански кантон,Ж,739
2013,Број,Западнохерцеговчки кантон,Ж,371
2013,Број,Кантон Сарајево,Ж,1745
2013,Број,Кантон 10,Ж,180
2014,Број,Федерација Босне и Херцеговине,Оба пола,12737
2014,Број,Унско-сански кантон,Оба пола,1244
2014,Број,Посавски кантон,Оба пола,149
2014,Број,Тузлански кантон,Оба пола,2033
2014,Број,Зеничко-добојски кантон,Оба пола,1406
2014,Број,Босанско-подрињски кантон,Оба пола,139
2014,Број,Средњобосански кантон,Оба пола,821
2014,Број,Херцеговачко-неретвански кантон,Оба пола,1794
2014,Број,Западнохерцеговчки кантон,Оба пола,789
2014,Број,Кантон Сарајево,Оба пола,4003
2014,Број,Кантон 10,Оба пола,359
2014,Број,Федерација Босне и Херцеговине,M,6632
2014,Број,Унско-сански кантон,M,651
2014,Број,Посавски кантон,M,74
2014,Број,Тузлански кантон,M,1108
2014,Број,Зеничко-добојски кантон,M,731
2014,Број,Босанско-подрињски кантон,M,64
2014,Број,Средњобосански кантон,M,420
2014,Број,Херцеговачко-неретвански кантон,M,914
2014,Број,Западнохерцеговчки кантон,M,421
2014,Број,Кантон Сарајево,M,2070
2014,Број,Кантон 10,M,179
2014,Број,Федерација Босне и Херцеговине,Ж,6105
2014,Број,Унско-сански кантон,Ж,593
2014,Број,Посавски кантон,Ж,75
2014,Број,Тузлански кантон,Ж,925
2014,Број,Зеничко-добојски кантон,Ж,675
2014,Број,Босанско-подрињски кантон,Ж,75
2014,Број,Средњобосански кантон,Ж,401
2014,Број,Херцеговачко-неретвански кантон,Ж,880
2014,Број,Западнохерцеговчки кантон,Ж,368
2014,Број,Кантон Сарајево,Ж,1933
2014,Број,Кантон 10,Ж,180
2015,Број,Федерација Босне и Херцеговине,Оба пола,13268
2015,Број,Унско-сански кантон,Оба пола,1311
2015,Број,Посавски кантон,Оба пола,161
2015,Број,Тузлански кантон,Оба пола,2213
2015,Број,Зеничко-добојски кантон,Оба пола,1594
2015,Број,Босанско-подрињски кантон,Оба пола,141
2015,Број,Средњобосански кантон,Оба пола,889
2015,Број,Херцеговачко-неретвански кантон,Оба пола,1975
2015,Број,Западнохерцеговчки кантон,Оба пола,738
2015,Број,Кантон Сарајево,Оба пола,3856
2015,Број,Кантон 10,Оба пола,390
2015,Број,Федерација Босне и Херцеговине,M,6906
2015,Број,Унско-сански кантон,M,695
2015,Број,Посавски кантон,M,81
2015,Број,Тузлански кантон,M,1187
2015,Број,Зеничко-добојски кантон,M,835
2015,Број,Босанско-подрињски кантон,M,67
2015,Број,Средњобосански кантон,M,447
