Year,UNIT_MEASURE,Value
1996,Стопа наталитета на 1.000 становника,15.2
1997,Стопа наталитета на 1.000 становника,14.6
1998,Стопа наталитета на 1.000 становника,14.1
1999,Стопа наталитета на 1.000 становника,12.3
2000,Стопа наталитета на 1.000 становника,11.0
2001,Стопа наталитета на 1.000 становника,10.4
2002,Стопа наталитета на 1.000 становника,10.0
2003,Стопа наталитета на 1.000 становника,10.0
2004,Стопа наталитета на 1.000 становника,9.6
2005,Стопа наталитета на 1.000 становника,9.4
2006,Стопа наталитета на 1.000 становника,9.3
2007,Стопа наталитета на 1.000 становника,9.3
2008,Стопа наталитета на 1.000 становника,9.8
2009,Стопа наталитета на 1.000 становника,9.8
2010,Стопа наталитета на 1.000 становника,9.6
2011,Стопа наталитета на 1.000 становника,9.1
2012,Стопа наталитета на 1.000 становника,9.2
2013,Стопа наталитета на 1.000 становника,8.6
2014,Стопа наталитета на 1.000 становника,9.0
2015,Стопа наталитета на 1.000 становника,8.8
2016,Стопа наталитета на 1.000 становника,8.9
2017,Стопа наталитета на 1.000 становника,9.0
2018,Стопа наталитета на 1.000 становника,8.6
2019,Стопа наталитета на 1.000 становника,8.2
