Year,UNIT_MEASURE,Пол,Value
1981,Старосна доб,M,28.7
1991,Старосна доб,M,33.0
2004,Старосна доб,M,35.6
2007,Старосна доб,M,35.8
2011,Старосна доб,M,37.6
2013,Старосна доб,M,37.2
2015,Старосна доб,M,39.2
1981,Старосна доб,Ж,30.5
1991,Старосна доб,Ж,35.0
2004,Старосна доб,Ж,37.2
2007,Старосна доб,Ж,38.1
2011,Старосна доб,Ж,39.4
2013,Старосна доб,Ж,39.7
2015,Старосна доб,Ж,42.2
