Year,UNIT_MEASURE,Admin_Area,Врста школе,Value
2017,Број,zenica-doboj_canton,Гимназијe,
2017,Број,zenica-doboj_canton,Средње техничке школе,
2017,Број,zenica-doboj_canton,Средње стручне школе,
2017,Број,zenica-doboj_canton,Умјетничке школе,
2017,Број,zenica-doboj_canton,Вјерске школе,
2017,Број,zenica-doboj_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,zenica-doboj_canton,Гимназијe,
2018,Број,zenica-doboj_canton,Средње техничке школе,
2018,Број,zenica-doboj_canton,Средње стручне школе,
2018,Број,zenica-doboj_canton,Умјетничке школе,
2018,Број,zenica-doboj_canton,Вјерске школе,
2018,Број,zenica-doboj_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,zenica-doboj_canton,Гимназијe,
2019,Број,zenica-doboj_canton,Средње техничке школе,
2019,Број,zenica-doboj_canton,Средње стручне школе,
2019,Број,zenica-doboj_canton,Умјетничке школе,
2019,Број,zenica-doboj_canton,Вјерске школе,
2019,Број,zenica-doboj_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,zenica-doboj_canton,Гимназијe,
2020,Број,zenica-doboj_canton,Средње техничке школе,
2020,Број,zenica-doboj_canton,Средње стручне школе,
2020,Број,zenica-doboj_canton,Умјетничке школе,
2020,Број,zenica-doboj_canton,Вјерске школе,
2020,Број,zenica-doboj_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,bosnian-podrinje_canton,Гимназијe,
2016,Број,bosnian-podrinje_canton,Средње техничке школе,
2016,Број,bosnian-podrinje_canton,Средње стручне школе,
2016,Број,bosnian-podrinje_canton,Умјетничке школе,
2016,Број,bosnian-podrinje_canton,Вјерске школе,
2016,Број,bosnian-podrinje_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,bosnian-podrinje_canton,Гимназијe,
2017,Број,bosnian-podrinje_canton,Средње техничке школе,
2017,Број,bosnian-podrinje_canton,Средње стручне школе,
2017,Број,bosnian-podrinje_canton,Умјетничке школе,
2017,Број,bosnian-podrinje_canton,Вјерске школе,
2017,Број,bosnian-podrinje_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,bosnian-podrinje_canton,Гимназијe,
2018,Број,bosnian-podrinje_canton,Средње техничке школе,
2018,Број,bosnian-podrinje_canton,Средње стручне школе,
2018,Број,bosnian-podrinje_canton,Умјетничке школе,
2018,Број,bosnian-podrinje_canton,Вјерске школе,
2018,Број,bosnian-podrinje_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,bosnian-podrinje_canton,Гимназијe,
2019,Број,bosnian-podrinje_canton,Средње техничке школе,
2019,Број,bosnian-podrinje_canton,Средње стручне школе,
2019,Број,bosnian-podrinje_canton,Умјетничке школе,
2019,Број,bosnian-podrinje_canton,Вјерске школе,
2019,Број,bosnian-podrinje_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,bosnian-podrinje_canton,Гимназијe,
2020,Број,bosnian-podrinje_canton,Средње техничке школе,
2020,Број,bosnian-podrinje_canton,Средње стручне школе,
2020,Број,bosnian-podrinje_canton,Умјетничке школе,
2020,Број,bosnian-podrinje_canton,Вјерске школе,
2020,Број,bosnian-podrinje_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,central_bosnia_canton,Гимназијe,
2016,Број,central_bosnia_canton,Средње техничке школе,
2016,Број,central_bosnia_canton,Средње стручне школе,
2016,Број,central_bosnia_canton,Умјетничке школе,
2016,Број,central_bosnia_canton,Вјерске школе,
2016,Број,central_bosnia_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,central_bosnia_canton,Гимназијe,
2017,Број,central_bosnia_canton,Средње техничке школе,
2017,Број,central_bosnia_canton,Средње стручне школе,
2017,Број,central_bosnia_canton,Умјетничке школе,
2017,Број,central_bosnia_canton,Вјерске школе,
2017,Број,central_bosnia_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,central_bosnia_canton,Гимназијe,
2018,Број,central_bosnia_canton,Средње техничке школе,
2018,Број,central_bosnia_canton,Средње стручне школе,
2018,Број,central_bosnia_canton,Умјетничке школе,
2018,Број,central_bosnia_canton,Вјерске школе,
2018,Број,central_bosnia_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,central_bosnia_canton,Гимназијe,
2019,Број,central_bosnia_canton,Средње техничке школе,
2019,Број,central_bosnia_canton,Средње стручне школе,
2019,Број,central_bosnia_canton,Умјетничке школе,
2019,Број,central_bosnia_canton,Вјерске школе,
2019,Број,central_bosnia_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,central_bosnia_canton,Гимназијe,
2020,Број,central_bosnia_canton,Средње техничке школе,
2020,Број,central_bosnia_canton,Средње стручне школе,
2020,Број,central_bosnia_canton,Умјетничке школе,
2020,Број,central_bosnia_canton,Вјерске школе,
2020,Број,central_bosnia_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,herzegovina-neretva_canton,Гимназијe,
2016,Број,herzegovina-neretva_canton,Средње техничке школе,
2016,Број,herzegovina-neretva_canton,Средње стручне школе,
2016,Број,herzegovina-neretva_canton,Умјетничке школе,
2016,Број,herzegovina-neretva_canton,Вјерске школе,
2016,Број,herzegovina-neretva_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,herzegovina-neretva_canton,Гимназијe,
2017,Број,herzegovina-neretva_canton,Средње техничке школе,
2017,Број,herzegovina-neretva_canton,Средње стручне школе,
2017,Број,herzegovina-neretva_canton,Умјетничке школе,
2017,Број,herzegovina-neretva_canton,Вјерске школе,
2017,Број,herzegovina-neretva_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,herzegovina-neretva_canton,Гимназијe,
2018,Број,herzegovina-neretva_canton,Средње техничке школе,
2018,Број,herzegovina-neretva_canton,Средње стручне школе,
2018,Број,herzegovina-neretva_canton,Умјетничке школе,
2018,Број,herzegovina-neretva_canton,Вјерске школе,
2018,Број,herzegovina-neretva_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,herzegovina-neretva_canton,Гимназијe,
2019,Број,herzegovina-neretva_canton,Средње техничке школе,
2019,Број,herzegovina-neretva_canton,Средње стручне школе,
2019,Број,herzegovina-neretva_canton,Умјетничке школе,
2019,Број,herzegovina-neretva_canton,Вјерске школе,
2019,Број,herzegovina-neretva_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,herzegovina-neretva_canton,Гимназијe,
2020,Број,herzegovina-neretva_canton,Средње техничке школе,
2020,Број,herzegovina-neretva_canton,Средње стручне школе,
2020,Број,herzegovina-neretva_canton,Умјетничке школе,
2020,Број,herzegovina-neretva_canton,Вјерске школе,
2020,Број,herzegovina-neretva_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,west_herzegovina_canton,Гимназијe,
2016,Број,west_herzegovina_canton,Средње техничке школе,
2016,Број,west_herzegovina_canton,Средње стручне школе,
2016,Број,west_herzegovina_canton,Умјетничке школе,
2016,Број,west_herzegovina_canton,Вјерске школе,
2016,Број,west_herzegovina_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,west_herzegovina_canton,Гимназијe,
2017,Број,west_herzegovina_canton,Средње техничке школе,
2017,Број,west_herzegovina_canton,Средње стручне школе,
2017,Број,west_herzegovina_canton,Умјетничке школе,
2017,Број,west_herzegovina_canton,Вјерске школе,
2017,Број,west_herzegovina_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,west_herzegovina_canton,Гимназијe,
2018,Број,west_herzegovina_canton,Средње техничке школе,
2018,Број,west_herzegovina_canton,Средње стручне школе,
2018,Број,west_herzegovina_canton,Умјетничке школе,
2018,Број,west_herzegovina_canton,Вјерске школе,
2018,Број,west_herzegovina_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,west_herzegovina_canton,Гимназијe,
2019,Број,west_herzegovina_canton,Средње техничке школе,
2019,Број,west_herzegovina_canton,Средње стручне школе,
2019,Број,west_herzegovina_canton,Умјетничке школе,
2019,Број,west_herzegovina_canton,Вјерске школе,
2019,Број,west_herzegovina_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,west_herzegovina_canton,Гимназијe,
2020,Број,west_herzegovina_canton,Средње техничке школе,
2020,Број,west_herzegovina_canton,Средње стручне школе,
2020,Број,west_herzegovina_canton,Умјетничке школе,
2020,Број,west_herzegovina_canton,Вјерске школе,
2020,Број,west_herzegovina_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,sarajevo_canton,Гимназијe,
2016,Број,sarajevo_canton,Средње техничке школе,
2016,Број,sarajevo_canton,Средње стручне школе,
2016,Број,sarajevo_canton,Умјетничке школе,
2016,Број,sarajevo_canton,Вјерске школе,
2016,Број,sarajevo_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,sarajevo_canton,Гимназијe,
2017,Број,sarajevo_canton,Средње техничке школе,
2017,Број,sarajevo_canton,Средње стручне школе,
2017,Број,sarajevo_canton,Умјетничке школе,
2017,Број,sarajevo_canton,Вјерске школе,
2017,Број,sarajevo_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,sarajevo_canton,Гимназијe,
2018,Број,sarajevo_canton,Средње техничке школе,
2018,Број,sarajevo_canton,Средње стручне школе,
2018,Број,sarajevo_canton,Умјетничке школе,
2018,Број,sarajevo_canton,Вјерске школе,
2018,Број,sarajevo_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,sarajevo_canton,Гимназијe,
2019,Број,sarajevo_canton,Средње техничке школе,
2019,Број,sarajevo_canton,Средње стручне школе,
2019,Број,sarajevo_canton,Умјетничке школе,
2019,Број,sarajevo_canton,Вјерске школе,
2019,Број,sarajevo_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,sarajevo_canton,Гимназијe,
2020,Број,sarajevo_canton,Средње техничке школе,
2020,Број,sarajevo_canton,Средње стручне школе,
2020,Број,sarajevo_canton,Умјетничке школе,
2020,Број,sarajevo_canton,Вјерске школе,
2020,Број,sarajevo_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,canton_10,Гимназијe,
2016,Број,canton_10,Средње техничке школе,
2016,Број,canton_10,Средње стручне школе,
2016,Број,canton_10,Умјетничке школе,
2016,Број,canton_10,Вјерске школе,
2016,Број,canton_10,Средње школе за ученике са сметњама у развоју,
2017,Број,canton_10,Гимназијe,
2017,Број,canton_10,Средње техничке школе,
2017,Број,canton_10,Средње стручне школе,
2017,Број,canton_10,Умјетничке школе,
2017,Број,canton_10,Вјерске школе,
2017,Број,canton_10,Средње школе за ученике са сметњама у развоју,
2018,Број,canton_10,Гимназијe,
2018,Број,canton_10,Средње техничке школе,
2018,Број,canton_10,Средње стручне школе,
2018,Број,canton_10,Умјетничке школе,
2018,Број,canton_10,Вјерске школе,
2018,Број,canton_10,Средње школе за ученике са сметњама у развоју,
2019,Број,canton_10,Гимназијe,
2019,Број,canton_10,Средње техничке школе,
2019,Број,canton_10,Средње стручне школе,
2019,Број,canton_10,Умјетничке школе,
2019,Број,canton_10,Вјерске школе,
2019,Број,canton_10,Средње школе за ученике са сметњама у развоју,
2020,Број,canton_10,Гимназијe,
2020,Број,canton_10,Средње техничке школе,
2020,Број,canton_10,Средње стручне школе,
2020,Број,canton_10,Умјетничке школе,
2020,Број,canton_10,Вјерске школе,
2020,Број,canton_10,Средње школе за ученике са сметњама у развоју,
