Year,UNIT_MEASURE,Административна јединица,Пол,Value
2009,Број,Федерација Босне и Херцеговине,Оба пола,66
2010,Број,Федерација Босне и Херцеговине,Оба пола,108
2011,Број,Федерација Босне и Херцеговине,Оба пола,169
2012,Број,Федерација Босне и Херцеговине,Оба пола,419
2013,Број,Федерација Босне и Херцеговине,Оба пола,529
2014,Број,Федерација Босне и Херцеговине,Оба пола,630
2015,Број,Федерација Босне и Херцеговине,Оба пола,737
2016,Број,Федерација Босне и Херцеговине,Оба пола,779
2017,Број,Федерација Босне и Херцеговине,Оба пола,713
2018,Број,Федерација Босне и Херцеговине,Оба пола,841
2019,Број,Федерација Босне и Херцеговине,Оба пола,829
2020,Број,Федерација Босне и Херцеговине,Оба пола,1009
2021,Број,Федерација Босне и Херцеговине,Оба пола,999
2022,Број,Федерација Босне и Херцеговине,Оба пола,996
2009,Број,Федерација Босне и Херцеговине,M,37
2010,Број,Федерација Босне и Херцеговине,M,55
2011,Број,Федерација Босне и Херцеговине,M,90
2012,Број,Федерација Босне и Херцеговине,M,249
2013,Број,Федерација Босне и Херцеговине,M,335
2014,Број,Федерација Босне и Херцеговине,M,336
2015,Број,Федерација Босне и Херцеговине,M,420
2016,Број,Федерација Босне и Херцеговине,M,415
2017,Број,Федерација Босне и Херцеговине,M,406
2018,Број,Федерација Босне и Херцеговине,M,437
2019,Број,Федерација Босне и Херцеговине,M,404
2020,Број,Федерација Босне и Херцеговине,M,519
2021,Број,Федерација Босне и Херцеговине,M,491
2022,Број,Федерација Босне и Херцеговине,M,475
2009,Број,Федерација Босне и Херцеговине,Ж,29
2010,Број,Федерација Босне и Херцеговине,Ж,53
2011,Број,Федерација Босне и Херцеговине,Ж,79
2012,Број,Федерација Босне и Херцеговине,Ж,170
2013,Број,Федерација Босне и Херцеговине,Ж,194
2014,Број,Федерација Босне и Херцеговине,Ж,294
2015,Број,Федерација Босне и Херцеговине,Ж,317
2016,Број,Федерација Босне и Херцеговине,Ж,364
2017,Број,Федерација Босне и Херцеговине,Ж,307
2018,Број,Федерација Босне и Херцеговине,Ж,404
2019,Број,Федерација Босне и Херцеговине,Ж,425
2020,Број,Федерација Босне и Херцеговине,Ж,490
2021,Број,Федерација Босне и Херцеговине,Ж,508
2022,Број,Федерација Босне и Херцеговине,Ж,521
2017,Број,Унско-сански кантон,Оба пола,4
2018,Број,Унско-сански кантон,Оба пола,1
2019,Број,Унско-сански кантон,Оба пола,1
2020,Број,Унско-сански кантон,Оба пола,1
2021,Број,Унско-сански кантон,Оба пола,5
2017,Број,Унско-сански кантон,M,4
2018,Број,Унско-сански кантон,M,1
2019,Број,Унско-сански кантон,M,1
2020,Број,Унско-сански кантон,M,1
2021,Број,Унско-сански кантон,M,4
2021,Број,Унско-сански кантон,Ж,1
2014,Број,Тузлански кантон,Оба пола,31
2015,Број,Тузлански кантон,Оба пола,11
2016,Број,Тузлански кантон,Оба пола,135
2017,Број,Тузлански кантон,Оба пола,98
2018,Број,Тузлански кантон,Оба пола,226
2019,Број,Тузлански кантон,Оба пола,200
2020,Број,Тузлански кантон,Оба пола,189
2021,Број,Тузлански кантон,Оба пола,191
2022,Број,Тузлански кантон,Оба пола,207
2014,Број,Тузлански кантон,M,6
2015,Број,Тузлански кантон,M,9
2016,Број,Тузлански кантон,M,67
2017,Број,Тузлански кантон,M,43
2018,Број,Тузлански кантон,M,100
2019,Број,Тузлански кантон,M,104
2020,Број,Тузлански кантон,M,97
2021,Број,Тузлански кантон,M,89
2022,Број,Тузлански кантон,M,89
2014,Број,Тузлански кантон,Ж,25
2015,Број,Тузлански кантон,Ж,2
2016,Број,Тузлански кантон,Ж,68
2017,Број,Тузлански кантон,Ж,55
2018,Број,Тузлански кантон,Ж,126
2019,Број,Тузлански кантон,Ж,96
2020,Број,Тузлански кантон,Ж,92
2021,Број,Тузлански кантон,Ж,102
2022,Број,Тузлански кантон,Ж,118
2014,Број,Зеничко-добојски кантон,Оба пола,18
2017,Број,Зеничко-добојски кантон,Оба пола,12
2018,Број,Зеничко-добојски кантон,Оба пола,25
2019,Број,Зеничко-добојски кантон,Оба пола,15
2020,Број,Зеничко-добојски кантон,Оба пола,21
2021,Број,Зеничко-добојски кантон,Оба пола,33
2022,Број,Зеничко-добојски кантон,Оба пола,34
2014,Број,Зеничко-добојски кантон,M,11
2017,Број,Зеничко-добојски кантон,M,10
2018,Број,Зеничко-добојски кантон,M,16
2019,Број,Зеничко-добојски кантон,M,10
2020,Број,Зеничко-добојски кантон,M,13
2021,Број,Зеничко-добојски кантон,M,22
2022,Број,Зеничко-добојски кантон,M,19
2014,Број,Зеничко-добојски кантон,Ж,7
2017,Број,Зеничко-добојски кантон,Ж,2
2018,Број,Зеничко-добојски кантон,Ж,9
2019,Број,Зеничко-добојски кантон,Ж,5
2020,Број,Зеничко-добојски кантон,Ж,8
2021,Број,Зеничко-добојски кантон,Ж,11
2022,Број,Зеничко-добојски кантон,Ж,15
2016,Број,Босанско-подрињски кантон,Оба пола,5
2017,Број,Босанско-подрињски кантон,Оба пола,9
2019,Број,Босанско-подрињски кантон,Оба пола,2
2020,Број,Босанско-подрињски кантон,Оба пола,2
2021,Број,Босанско-подрињски кантон,Оба пола,2
2016,Број,Босанско-подрињски кантон,M,2
2017,Број,Босанско-подрињски кантон,M,6
2019,Број,Босанско-подрињски кантон,M,1
2020,Број,Босанско-подрињски кантон,M,1
2021,Број,Босанско-подрињски кантон,M,2
2016,Број,Босанско-подрињски кантон,Ж,3
2017,Број,Босанско-подрињски кантон,Ж,3
2019,Број,Босанско-подрињски кантон,Ж,1
2020,Број,Босанско-подрињски кантон,Ж,1
2012,Број,Средњобосански кантон,Оба пола,57
2013,Број,Средњобосански кантон,Оба пола,88
2014,Број,Средњобосански кантон,Оба пола,86
2015,Број,Средњобосански кантон,Оба пола,81
2016,Број,Средњобосански кантон,Оба пола,87
2017,Број,Средњобосански кантон,Оба пола,88
2018,Број,Средњобосански кантон,Оба пола,85
2019,Број,Средњобосански кантон,Оба пола,76
2020,Број,Средњобосански кантон,Оба пола,78
2021,Број,Средњобосански кантон,Оба пола,97
2022,Број,Средњобосански кантон,Оба пола,70
2012,Број,Средњобосански кантон,M,45
2013,Број,Средњобосански кантон,M,70
2014,Број,Средњобосански кантон,M,63
2015,Број,Средњобосански кантон,M,58
2016,Број,Средњобосански кантон,M,62
2017,Број,Средњобосански кантон,M,54
2018,Број,Средњобосански кантон,M,52
2019,Број,Средњобосански кантон,M,44
2020,Број,Средњобосански кантон,M,42
2021,Број,Средњобосански кантон,M,43
2022,Број,Средњобосански кантон,M,27
2012,Број,Средњобосански кантон,Ж,12
2013,Број,Средњобосански кантон,Ж,18
2014,Број,Средњобосански кантон,Ж,23
2015,Број,Средњобосански кантон,Ж,23
2016,Број,Средњобосански кантон,Ж,25
2017,Број,Средњобосански кантон,Ж,34
2018,Број,Средњобосански кантон,Ж,33
2019,Број,Средњобосански кантон,Ж,32
2020,Број,Средњобосански кантон,Ж,36
2021,Број,Средњобосански кантон,Ж,54
2022,Број,Средњобосански кантон,Ж,43
2011,Број,Херцеговачко-неретвански кантон,Оба пола,16
2012,Број,Херцеговачко-неретвански кантон,Оба пола,69
2013,Број,Херцеговачко-неретвански кантон,Оба пола,57
2014,Број,Херцеговачко-неретвански кантон,Оба пола,86
2015,Број,Херцеговачко-неретвански кантон,Оба пола,95
2016,Број,Херцеговачко-неретвански кантон,Оба пола,98
2017,Број,Херцеговачко-неретвански кантон,Оба пола,41
2018,Број,Херцеговачко-неретвански кантон,Оба пола,47
2019,Број,Херцеговачко-неретвански кантон,Оба пола,39
2020,Број,Херцеговачко-неретвански кантон,Оба пола,70
2021,Број,Херцеговачко-неретвански кантон,Оба пола,69
2022,Број,Херцеговачко-неретвански кантон,Оба пола,46
2011,Број,Херцеговачко-неретвански кантон,M,4
2012,Број,Херцеговачко-неретвански кантон,M,40
2013,Број,Херцеговачко-неретвански кантон,M,31
2014,Број,Херцеговачко-неретвански кантон,M,35
2015,Број,Херцеговачко-неретвански кантон,M,33
2016,Број,Херцеговачко-неретвански кантон,M,48
2017,Број,Херцеговачко-неретвански кантон,M,25
2018,Број,Херцеговачко-неретвански кантон,M,25
2019,Број,Херцеговачко-неретвански кантон,M,11
2020,Број,Херцеговачко-неретвански кантон,M,22
2021,Број,Херцеговачко-неретвански кантон,M,31
2022,Број,Херцеговачко-неретвански кантон,M,21
2011,Број,Херцеговачко-неретвански кантон,Ж,12
2012,Број,Херцеговачко-неретвански кантон,Ж,29
2013,Број,Херцеговачко-неретвански кантон,Ж,26
2014,Број,Херцеговачко-неретвански кантон,Ж,51
2015,Број,Херцеговачко-неретвански кантон,Ж,62
2016,Број,Херцеговачко-неретвански кантон,Ж,50
2017,Број,Херцеговачко-неретвански кантон,Ж,16
2018,Број,Херцеговачко-неретвански кантон,Ж,22
2019,Број,Херцеговачко-неретвански кантон,Ж,28
2020,Број,Херцеговачко-неретвански кантон,Ж,48
2021,Број,Херцеговачко-неретвански кантон,Ж,38
2022,Број,Херцеговачко-неретвански кантон,Ж,25
2009,Број,Западнохерцеговчки кантон,Оба пола,3
2010,Број,Западнохерцеговчки кантон,Оба пола,6
2011,Број,Западнохерцеговчки кантон,Оба пола,5
2012,Број,Западнохерцеговчки кантон,Оба пола,4
2010,Број,Западнохерцеговчки кантон,M,2
2011,Број,Западнохерцеговчки кантон,M,2
2012,Број,Западнохерцеговчки кантон,M,2
2009,Број,Западнохерцеговчки кантон,Ж,3
2010,Број,Западнохерцеговчки кантон,Ж,4
2011,Број,Западнохерцеговчки кантон,Ж,3
2012,Број,Западнохерцеговчки кантон,Ж,2
2009,Број,Кантон Сарајево,Оба пола,35
