Year,UNIT_MEASURE,Oпштина,No_of_births,Value
2013,Број,Босанско Грахово,one_child,124
2013,Број,Бреза,one_child,1122
2013,Број,Бугојно,one_child,1555
2013,Број,Бусовача,one_child,809
2013,Број,Бужим,one_child,955
2013,Број,Цазин,one_child,4067
2013,Број,centar_sarajevo,one_child,5078
2013,Број,Чапљина,one_child,1049
2013,Број,Челић,one_child,454
2013,Број,Читлук,one_child,650
2013,Број,doboj-istok,one_child,532
2013,Број,doboj-jug,one_child,239
2013,Број,Добретићи,one_child,32
2013,Број,domaljevac-samac,one_child,242
2013,Број,Доњи Вакуф,one_child,644
2013,Број,Дрвар,one_child,431
2013,Број,foca-fbih,one_child,73
2013,Број,Фојница,one_child,579
2013,Број,Гламоч,one_child,135
2013,Број,Горажде,one_child,1198
2013,Број,gornji_vakuf-uskoplje,one_child,807
2013,Број,Грачаница,one_child,2947
2013,Број,Градачац,one_child,2256
2013,Број,Груде,one_child,543
2013,Број,hadzici,one_child,1429
2013,Број,ilidza,one_child,4309
2013,Број,ilijas,one_child,1196
2013,Број,Јабланица,one_child,508
2013,Број,Јајце,one_child,1109
2013,Број,Какањ,one_child,1964
2013,Број,Калесија,one_child,1684
2013,Број,Кисељак,one_child,1078
2013,Број,Кладањ,one_child,665
2013,Број,Кључ,one_child,732
2013,Број,Коњиц,one_child,1285
2013,Број,Крешево,one_child,244
2013,Број,kupres-fbih,one_child,169
2013,Број,Ливно,one_child,1226
2013,Број,Лукавац,one_child,3691
2013,Број,Љубушки,one_child,1040
2013,Број,Маглај,one_child,1424
2013,Број,Мостар,one_child,5896
2013,Број,Неум,one_child,168
2013,Број,novi_grad_sarajevo,one_child,9593
2013,Број,Нови Травник,one_child,1255
2013,Број,novo_sarajevo,one_child,6222
2013,Број,Оџак,one_child,982
2013,Број,Олово,one_child,502
2013,Број,Орашје,one_child,1055
2013,Број,pale-fbih,one_child,31
2013,Број,Посушје,one_child,624
2013,Број,Прозор,one_child,442
2013,Број,Равно,one_child,142
2013,Број,Сански Мост,one_child,2179
2013,Број,Сапна,one_child,384
2013,Број,Сребреник,one_child,2307
2013,Број,stari_grad_sarajevo,one_child,2934
2013,Број,Столац,one_child,530
2013,Број,Широки Бријег,one_child,1014
2013,Број,Теочак,one_child,343
2013,Број,Тешањ,one_child,2357
2013,Број,Томиславград,one_child,958
2013,Број,Травник,one_child,2740
2013,Број,trnovo-fbih,one_child,46
2013,Број,Тузла,one_child,9432
2013,Број,Усора,one_child,262
2013,Број,Вареш,one_child,583
2013,Број,Велика Кладуша,one_child,2536
2013,Број,Високо,one_child,2463
2013,Број,Витез,one_child,1216
2013,Број,vogosca,one_child,1875
2013,Број,Завидовићи,one_child,1989
2013,Број,Зеница,one_child,7711
2013,Број,Жепче,one_child,1297
2013,Број,Живинице,one_child,3423
2013,Број,Бановићи,two_children,3796
2013,Број,Бихаћ,two_children,7800
2013,Број,Босанска Крупа,two_children,3162
2013,Број,Босански Петровац,two_children,1240
2013,Број,Босанско Грахово,two_children,393
2013,Број,Бреза,two_children,2555
2013,Број,Бугојно,two_children,3747
2013,Број,Бусовача,two_children,1928
2013,Број,Бужим,two_children,1620
2013,Број,Цазин,two_children,7242
2013,Број,centar_sarajevo,two_children,9471
2013,Број,Чапљина,two_children,3066
2013,Број,Челић,two_children,1396
2013,Број,Читлук,two_children,1475
2013,Број,doboj-istok,two_children,1632
2013,Број,doboj-jug,two_children,611
2013,Број,Добретићи,two_children,83
2013,Број,domaljevac-samac,two_children,565
2013,Број,Доњи Вакуф,two_children,1613
2013,Број,Дрвар,two_children,1399
2013,Број,foca-fbih,two_children,262
2013,Број,Фојница,two_children,1407
2013,Број,Гламоч,two_children,504
2013,Број,Горажде,two_children,3406
2013,Број,gornji_vakuf-uskoplje,two_children,1882
2013,Број,Грачаница,two_children,7975
2013,Број,Градачац,two_children,6590
2013,Број,Груде,two_children,1418
2013,Број,hadzici,two_children,3632
2013,Број,ilidza,two_children,10263
2013,Број,ilijas,two_children,2935
2013,Број,Јабланица,two_children,1359
2013,Број,Јајце,two_children,2867
2013,Број,Какањ,two_children,4863
2013,Број,Калесија,two_children,4778
2013,Број,Кисељак,two_children,2656
2013,Број,Кладањ,two_children,1870
2013,Број,Кључ,two_children,2122
2013,Број,Коњиц,two_children,3411
2013,Број,Крешево,two_children,662
2013,Број,kupres-fbih,two_children,422
2013,Број,Ливно,two_children,3551
2013,Број,Лукавац,two_children,8198
2013,Број,Љубушки,two_children,2573
2013,Број,Маглај,two_children,3455
2013,Број,Мостар,two_children,15128
2013,Број,Неум,two_children,420
2013,Број,novi_grad_sarajevo,two_children,19695
2013,Број,Нови Травник,two_children,2665
2013,Број,novo_sarajevo,two_children,10864
2013,Број,Оџак,two_children,2750
2013,Број,Олово,two_children,1433
2013,Број,Орашје,two_children,2252
2013,Број,pale-fbih,two_children,120
2013,Број,Посушје,two_children,1144
2013,Број,Прозор,two_children,963
2013,Број,Равно,two_children,380
2013,Број,Сански Мост,two_children,5604
2013,Број,Сапна,two_children,1252
2013,Број,Сребреник,two_children,6408
2013,Број,stari_grad_sarajevo,two_children,6147
2013,Број,Столац,two_children,1441
2013,Број,Широки Бријег,two_children,2439
2013,Број,Теочак,two_children,962
2013,Број,Тешањ,two_children,5994
2013,Број,Томиславград,two_children,2226
2013,Број,Травник,two_children,6351
2013,Број,trnovo-fbih,two_children,272
2013,Број,Тузла,two_children,20193
2013,Број,Усора,two_children,802
2013,Број,Вареш,two_children,1407
2013,Број,Велика Кладуша,two_children,4053
2013,Број,Високо,two_children,6277
2013,Број,Витез,two_children,2923
2013,Број,vogosca,two_children,4293
2013,Број,Завидовићи,two_children,5195
2013,Број,Зеница,two_children,16230
2013,Број,Жепче,two_children,3010
2013,Број,Живинице,two_children,8890
2013,Број,Бановићи,three_children,1175
2013,Број,Бихаћ,three_children,3481
2013,Број,Босанска Крупа,three_children,1698
2013,Број,Босански Петровац,three_children,506
2013,Број,Босанско Грахово,three_children,200
2013,Број,Бреза,three_children,674
2013,Број,Бугојно,three_children,2269
2013,Број,Бусовача,three_children,1281
2013,Број,Бужим,three_children,1132
2013,Број,Цазин,three_children,3984
2013,Број,centar_sarajevo,three_children,2228
2013,Број,Чапљина,three_children,2266
2013,Број,Челић,three_children,776
2013,Број,Читлук,three_children,1462
2013,Број,doboj-istok,three_children,673
2013,Број,doboj-jug,three_children,285
2013,Број,Добретићи,three_children,86
2013,Број,domaljevac-samac,three_children,350
2013,Број,Доњи Вакуф,three_children,1024
2013,Број,Дрвар,three_children,465
2013,Број,foca-fbih,three_children,158
2013,Број,Фојница,three_children,848
2013,Број,Гламоч,three_children,363
2013,Број,Горажде,three_children,1424
2013,Број,gornji_vakuf-uskoplje,three_children,1504
2013,Број,Грачаница,three_children,2763
2013,Број,Градачац,three_children,2626
2013,Број,Груде,three_children,1375
2013,Број,hadzici,three_children,1445
2013,Број,ilidza,three_children,3666
2013,Број,ilijas,three_children,1253
2013,Број,Јабланица,three_children,659
2013,Број,Јајце,three_children,1923
2013,Број,Какањ,three_children,2545
2013,Број,Калесија,three_children,2177
2013,Број,Кисељак,three_children,1594
2013,Број,Кладањ,three_children,829
2013,Број,Кључ,three_children,1164
2013,Број,Коњиц,three_children,1794
2013,Број,Крешево,three_children,408
2013,Број,kupres-fbih,three_children,365
2013,Број,Ливно,three_children,2986
2013,Број,Лукавац,three_children,2140
2013,Број,Љубушки,three_children,2364
2013,Број,Маглај,three_children,1449
2013,Број,Мостар,three_children,7025
2013,Број,Неум,three_children,391
2013,Број,novi_grad_sarajevo,three_children,5446
2013,Број,Нови Травник,three_children,1666
2013,Број,novo_sarajevo,three_children,2461
2013,Број,Оџак,three_children,1278
2013,Број,Олово,three_children,701
2013,Број,Орашје,three_children,1289
2013,Број,pale-fbih,three_children,81
2013,Број,Посушје,three_children,1381
2013,Број,Прозор,three_children,980
2013,Број,Равно,three_children,250
2013,Број,Сански Мост,three_children,2676
2013,Број,Сапна,three_children,861
2013,Број,Сребреник,three_children,2583
2013,Број,stari_grad_sarajevo,three_children,1872
2013,Број,Столац,three_children,1128
2013,Број,Широки Бријег,three_children,2251
2013,Број,Теочак,three_children,570
2013,Број,Тешањ,three_children,3056
2013,Број,Томиславград,three_children,2425
2013,Број,Травник,three_children,3736
2013,Број,trnovo-fbih,three_children,127
2013,Број,Тузла,three_children,4790
2013,Број,Усора,three_children,496
2013,Број,Вареш,three_children,667
2013,Број,Велика Кладуша,three_children,2370
2013,Број,Високо,three_children,2483
2013,Број,Витез,three_children,2000
2013,Број,vogosca,three_children,1423
2013,Број,Завидовићи,three_children,2375
2013,Број,Зеница,three_children,6404
2013,Број,Жепче,three_children,2067
2013,Број,Живинице,three_children,3494
2013,Број,Бановићи,four_children,393
2013,Број,Бихаћ,four_children,1419
2013,Број,Босанска Крупа,four_children,797
2013,Број,Босански Петровац,four_children,162
2013,Број,Босанско Грахово,four_children,70
2013,Број,Бреза,four_children,189
2013,Број,Бугојно,four_children,952
2013,Број,Бусовача,four_children,598
2013,Број,Бужим,four_children,619
2013,Број,Цазин,four_children,1811
2013,Број,centar_sarajevo,four_children,549
2013,Број,Чапљина,four_children,864
2013,Број,Челић,four_children,305
2013,Број,Читлук,four_children,792
2013,Број,doboj-istok,four_children,239
2013,Број,doboj-jug,four_children,83
2013,Број,Добретићи,four_children,53
2013,Број,domaljevac-samac,four_children,130
2013,Број,Доњи Вакуф,four_children,466
2013,Број,Дрвар,four_children,102
2013,Број,foca-fbih,four_children,81
2013,Број,Фојница,four_children,377
2013,Број,Гламоч,four_children,148
2013,Број,Горажде,four_children,484
2013,Број,gornji_vakuf-uskoplje,four_children,770
2013,Број,Грачаница,four_children,953
2013,Број,Градачац,four_children,805
2013,Број,Груде,four_children,735
2013,Број,hadzici,four_children,475
