Year,UNIT_MEASURE,Admin_Area,Пол,Value
2010,Број,federation_of_bih,Оба пола,1230
2010,Број,una-sana_canton,Оба пола,168
2010,Број,posavina_canton,Оба пола,18
2010,Број,tuzla_canton,Оба пола,246
2010,Број,zenica-doboj_canton,Оба пола,144
2010,Број,bosnian-podrinje_canton,Оба пола,30
2010,Број,central_bosnia_canton,Оба пола,78
2010,Број,herzegovina-neretva_canton,Оба пола,162
2010,Број,west_herzegovina_canton,Оба пола,72
2010,Број,sarajevo_canton,Оба пола,251
2010,Број,canton_10,Оба пола,61
2010,Број,federation_of_bih,M,76
2010,Број,una-sana_canton,M,14
2010,Број,posavina_canton,M,2
2010,Број,tuzla_canton,M,31
2010,Број,zenica-doboj_canton,M,9
2010,Број,bosnian-podrinje_canton,M,2
2010,Број,central_bosnia_canton,M,4
2010,Број,herzegovina-neretva_canton,M,2
2010,Број,west_herzegovina_canton,M,3
2010,Број,sarajevo_canton,M,6
2010,Број,canton_10,M,3
2010,Број,federation_of_bih,Ж,1154
2010,Број,una-sana_canton,Ж,154
2010,Број,posavina_canton,Ж,16
2010,Број,tuzla_canton,Ж,215
2010,Број,zenica-doboj_canton,Ж,135
2010,Број,bosnian-podrinje_canton,Ж,28
2010,Број,central_bosnia_canton,Ж,74
2010,Број,herzegovina-neretva_canton,Ж,160
2010,Број,west_herzegovina_canton,Ж,69
2010,Број,sarajevo_canton,Ж,245
2010,Број,canton_10,Ж,58
2011,Број,federation_of_bih,Оба пола,1441
2011,Број,una-sana_canton,Оба пола,170
2011,Број,posavina_canton,Оба пола,18
2011,Број,tuzla_canton,Оба пола,260
2011,Број,zenica-doboj_canton,Оба пола,189
2011,Број,bosnian-podrinje_canton,Оба пола,37
2011,Број,central_bosnia_canton,Оба пола,78
2011,Број,herzegovina-neretva_canton,Оба пола,198
2011,Број,west_herzegovina_canton,Оба пола,86
2011,Број,sarajevo_canton,Оба пола,342
2011,Број,canton_10,Оба пола,63
2011,Број,federation_of_bih,M,96
2011,Број,una-sana_canton,M,14
2011,Број,posavina_canton,M,2
2011,Број,tuzla_canton,M,32
2011,Број,zenica-doboj_canton,M,17
2011,Број,bosnian-podrinje_canton,M,2
2011,Број,central_bosnia_canton,M,4
2011,Број,herzegovina-neretva_canton,M,7
2011,Број,west_herzegovina_canton,M,4
2011,Број,sarajevo_canton,M,11
2011,Број,canton_10,M,3
2011,Број,federation_of_bih,Ж,1345
2011,Број,una-sana_canton,Ж,156
2011,Број,posavina_canton,Ж,16
2011,Број,tuzla_canton,Ж,228
2011,Број,zenica-doboj_canton,Ж,172
2011,Број,bosnian-podrinje_canton,Ж,35
2011,Број,central_bosnia_canton,Ж,74
2011,Број,herzegovina-neretva_canton,Ж,191
2011,Број,west_herzegovina_canton,Ж,82
2011,Број,sarajevo_canton,Ж,331
2011,Број,canton_10,Ж,60
2012,Број,federation_of_bih,Оба пола,1450
2012,Број,una-sana_canton,Оба пола,163
2012,Број,posavina_canton,Оба пола,21
2012,Број,tuzla_canton,Оба пола,258
2012,Број,zenica-doboj_canton,Оба пола,177
2012,Број,bosnian-podrinje_canton,Оба пола,36
2012,Број,central_bosnia_canton,Оба пола,97
2012,Број,herzegovina-neretva_canton,Оба пола,186
2012,Број,west_herzegovina_canton,Оба пола,92
2012,Број,sarajevo_canton,Оба пола,356
2012,Број,canton_10,Оба пола,64
2012,Број,federation_of_bih,M,85
2012,Број,una-sana_canton,M,11
2012,Број,posavina_canton,M,1
2012,Број,tuzla_canton,M,30
2012,Број,zenica-doboj_canton,M,9
2012,Број,bosnian-podrinje_canton,M,4
2012,Број,central_bosnia_canton,M,6
2012,Број,herzegovina-neretva_canton,M,4
2012,Број,west_herzegovina_canton,M,3
2012,Број,sarajevo_canton,M,15
2012,Број,canton_10,M,2
2012,Број,federation_of_bih,Ж,1365
2012,Број,una-sana_canton,Ж,152
2012,Број,posavina_canton,Ж,20
2012,Број,tuzla_canton,Ж,228
2012,Број,zenica-doboj_canton,Ж,168
2012,Број,bosnian-podrinje_canton,Ж,32
2012,Број,central_bosnia_canton,Ж,91
2012,Број,herzegovina-neretva_canton,Ж,182
2012,Број,west_herzegovina_canton,Ж,89
2012,Број,sarajevo_canton,Ж,341
2012,Број,canton_10,Ж,62
2013,Број,federation_of_bih,Оба пола,1537
2013,Број,una-sana_canton,Оба пола,185
2013,Број,posavina_canton,Оба пола,22
2013,Број,tuzla_canton,Оба пола,225
2013,Број,zenica-doboj_canton,Оба пола,214
2013,Број,bosnian-podrinje_canton,Оба пола,31
2013,Број,central_bosnia_canton,Оба пола,82
2013,Број,herzegovina-neretva_canton,Оба пола,187
2013,Број,west_herzegovina_canton,Оба пола,90
2013,Број,sarajevo_canton,Оба пола,447
2013,Број,canton_10,Оба пола,54
2013,Број,federation_of_bih,M,95
2013,Број,una-sana_canton,M,16
2013,Број,posavina_canton,M,1
2013,Број,tuzla_canton,M,26
2013,Број,zenica-doboj_canton,M,11
2013,Број,bosnian-podrinje_canton,M,4
2013,Број,central_bosnia_canton,M,5
