Year,UNIT_MEASURE,Value
2020,Стопа наталитета на 1.000 становника,8.8
2025,Стопа наталитета на 1.000 становника,8.2
2030,Стопа наталитета на 1.000 становника,7.6
2035,Стопа наталитета на 1.000 становника,7.0
2040,Стопа наталитета на 1.000 становника,6.7
2045,Стопа наталитета на 1.000 становника,6.5
2050,Стопа наталитета на 1.000 становника,6.4
2055,Стопа наталитета на 1.000 становника,6.3
2060,Стопа наталитета на 1.000 становника,6.2
2065,Стопа наталитета на 1.000 становника,6.1
2070,Стопа наталитета на 1.000 становника,6.1
