Year,UNIT_MEASURE,Пол,Value
2006,Број,M,39.5
2007,Број,M,39.0
2008,Број,M,38.8
2009,Број,M,39.6
2010,Број,M,40.3
2011,Број,M,41.4
2012,Број,M,42.3
2013,Број,M,39.1
2014,Број,M,40.1
2015,Број,M,40.0
2016,Број,M,40.3
2017,Број,M,40.8
2018,Број,M,40.1
2019,Број,M,40.8
2020,Број,M,40.6
2021,Број,M,40.5
2022,Број,M,41.4
2006,Број,Ж,35.7
2007,Број,Ж,35.5
2008,Број,Ж,35.4
2009,Број,Ж,35.8
2010,Број,Ж,36.6
2011,Број,Ж,39.2
2012,Број,Ж,36.8
2013,Број,Ж,35.3
2014,Број,Ж,35.6
2015,Број,Ж,36.2
2016,Број,Ж,36.5
2017,Број,Ж,37.0
2018,Број,Ж,36.4
2019,Број,Ж,36.9
2020,Број,Ж,36.6
2021,Број,Ж,36.7
2022,Број,Ж,37.8
