Year,UNIT_MEASURE,Пол,Value
2020,%,Оба пола,23.7
2020,%,M,21.8
2020,%,Ж,25.6
2021,%,Оба пола,20.8
2021,%,M,19.6
2021,%,Ж,22.0
2022,%,Оба пола,18.6
2022,%,M,17.8
2022,%,Ж,19.5
