Year,UNIT_MEASURE,Municipality,Пол,Disabilities,Value
2013,Број,zivinice,M,T,2550
2013,Број,banovici,Ж,T,1077
2013,Број,bihac,Ж,T,2639
2013,Број,bosanska_krupa,Ж,T,1197
2013,Број,bosanski_petrovac,Ж,T,356
2013,Број,bosansko_grahovo,Ж,T,183
2013,Број,breza,Ж,T,703
2013,Број,bugojno,Ж,T,1306
2013,Број,busovaca,Ж,T,652
2013,Број,buzim,Ж,T,468
2013,Број,cazin,Ж,T,2223
2013,Број,centar_sarajevo,Ж,T,2886
2013,Број,capljina,Ж,T,873
2013,Број,celic,Ж,T,633
2013,Број,citluk,Ж,T,585
2013,Број,doboj-istok,Ж,T,579
2013,Број,doboj-jug,Ж,T,164
2013,Број,dobretici,Ж,T,79
2013,Број,domaljevac-samac,Ж,T,239
2013,Број,donji_vakuf,Ж,T,620
2013,Број,drvar,Ж,T,583
2013,Број,foca-fbih,Ж,T,114
2013,Број,fojnica,Ж,T,863
2013,Број,glamoc,Ж,T,281
2013,Број,gorazde,Ж,T,1286
2013,Број,gornji_vakuf-uskoplje,Ж,T,733
2013,Број,gracanica,Ж,T,2018
2013,Број,gradacac,Ж,T,1715
2013,Број,grude,Ж,T,499
2013,Број,hadzici,Ж,T,1209
2013,Број,ilidza,Ж,T,2885
2013,Број,ilijas,Ж,T,977
2013,Број,jablanica,Ж,T,408
2013,Број,jajce,Ж,T,1143
2013,Број,kakanj,Ж,T,1430
2013,Број,kalesija,Ж,T,1654
2013,Број,kiseljak,Ж,T,854
2013,Број,kladanj,Ж,T,551
2013,Број,kljuc,Ж,T,602
2013,Број,konjic,Ж,T,1144
2013,Број,kresevo,Ж,T,274
2013,Број,kupres-fbih,Ж,T,167
2013,Број,livno,Ж,T,955
2013,Број,lukavac,Ж,T,2931
2013,Број,ljubuski,Ж,T,958
2013,Број,maglaj,Ж,T,1200
2013,Број,mostar,Ж,T,3925
2013,Број,neum,Ж,T,152
2013,Број,novi_grad_sarajevo,Ж,T,5900
2013,Број,novi_travnik,Ж,T,961
2013,Број,novo_sarajevo,Ж,T,3154
2013,Број,odzak,Ж,T,636
2013,Број,olovo,Ж,T,644
2013,Број,orasje,Ж,T,927
2013,Број,pale-fbih,Ж,T,69
2013,Број,posusje,Ж,T,512
2013,Број,prozor,Ж,T,358
2013,Број,ravno,Ж,T,78
2013,Број,sanski_most,Ж,T,1183
2013,Број,sapna,Ж,T,316
