Year,UNIT_MEASURE,Пол,Value
2003,Старост,Оба пола,
2003,Старост,M,
2003,Старост,Ж,
2004,Старост,Оба пола,
2004,Старост,M,
2004,Старост,Ж,
2005,Старост,Оба пола,
2005,Старост,M,
2005,Старост,Ж,
2006,Старост,Оба пола,
2006,Старост,M,
2006,Старост,Ж,
2007,Старост,Оба пола,
2007,Старост,M,
2007,Старост,Ж,
2008,Старост,Оба пола,
2008,Старост,M,
2008,Старост,Ж,
2009,Старост,Оба пола,
2009,Старост,M,
2009,Старост,Ж,
2010,Старост,Оба пола,
2010,Старост,M,
2010,Старост,Ж,
2011,Старост,Оба пола,
2011,Старост,M,
2011,Старост,Ж,
2012,Старост,Оба пола,
2012,Старост,M,
2012,Старост,Ж,
2013,Старост,Оба пола,
2013,Старост,M,
2013,Старост,Ж,
2014,Старост,Оба пола,
2014,Старост,M,
2014,Старост,Ж,
2015,Старост,Оба пола,
2015,Старост,M,
2015,Старост,Ж,
2016,Старост,Оба пола,
2016,Старост,M,
2016,Старост,Ж,
2017,Старост,Оба пола,
2017,Старост,M,
2017,Старост,Ж,
2018,Старост,Оба пола,
2018,Старост,M,
2018,Старост,Ж,
2019,Старост,Оба пола,
2019,Старост,M,
2019,Старост,Ж,
2020,Старост,Оба пола,
2020,Старост,M,
2020,Старост,Ж,
