Year,UNIT_MEASURE,Value
1996,Стопа морталитета,6.3
1997,Стопа морталитета,6.9
1998,Стопа морталитета,7.3
1999,Стопа морталитета,7.1
2000,Стопа морталитета,7.4
2001,Стопа морталитета,7.3
2002,Стопа морталитета,7.4
2003,Стопа морталитета,7.9
2004,Стопа морталитета,7.9
2005,Стопа морталитета,8.3
2006,Стопа морталитета,8.0
2007,Стопа морталитета,8.7
2008,Стопа морталитета,8.3
2009,Стопа морталитета,8.3
2010,Стопа морталитета,8.6
2011,Стопа морталитета,8.8
2012,Стопа морталитета,8.7
2013,Стопа морталитета,8.9
2014,Стопа морталитета,8.7
2015,Стопа морталитета,9.8
2016,Стопа морталитета,9.6
2017,Стопа морталитета,9.9
2018,Стопа морталитета,9.8
2019,Стопа морталитета,10.1
