Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,535
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,1157
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,1595
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,2316
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,2355
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,2564
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,2959
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,2927
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,2641
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,2823
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,2718
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,3116
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,2795
2010,Number,Federation of Bosnia and Herzegovina,M,201
2011,Number,Federation of Bosnia and Herzegovina,M,393
2012,Number,Federation of Bosnia and Herzegovina,M,557
2013,Number,Federation of Bosnia and Herzegovina,M,862
2014,Number,Federation of Bosnia and Herzegovina,M,837
2015,Number,Federation of Bosnia and Herzegovina,M,962
2016,Number,Federation of Bosnia and Herzegovina,M,1070
2017,Number,Federation of Bosnia and Herzegovina,M,1038
2018,Number,Federation of Bosnia and Herzegovina,M,980
2019,Number,Federation of Bosnia and Herzegovina,M,1026
2020,Number,Federation of Bosnia and Herzegovina,M,950
2021,Number,Federation of Bosnia and Herzegovina,M,1064
2022,Number,Federation of Bosnia and Herzegovina,M,992
2010,Number,Federation of Bosnia and Herzegovina,F,334
2011,Number,Federation of Bosnia and Herzegovina,F,764
2012,Number,Federation of Bosnia and Herzegovina,F,1038
2013,Number,Federation of Bosnia and Herzegovina,F,1454
2014,Number,Federation of Bosnia and Herzegovina,F,1518
2015,Number,Federation of Bosnia and Herzegovina,F,1602
2016,Number,Federation of Bosnia and Herzegovina,F,1889
2017,Number,Federation of Bosnia and Herzegovina,F,1889
2018,Number,Federation of Bosnia and Herzegovina,F,1661
2019,Number,Federation of Bosnia and Herzegovina,F,1797
2020,Number,Federation of Bosnia and Herzegovina,F,1768
2021,Number,Federation of Bosnia and Herzegovina,F,2052
2022,Number,Federation of Bosnia and Herzegovina,F,1803
2010,Number,Una-Sana Canton,Both sexes,1
2013,Number,Una-Sana Canton,Both sexes,1
2014,Number,Una-Sana Canton,Both sexes,9
2015,Number,Una-Sana Canton,Both sexes,19
2016,Number,Una-Sana Canton,Both sexes,27
2017,Number,Una-Sana Canton,Both sexes,29
2018,Number,Una-Sana Canton,Both sexes,22
2019,Number,Una-Sana Canton,Both sexes,22
2020,Number,Una-Sana Canton,Both sexes,15
2021,Number,Una-Sana Canton,Both sexes,18
2022,Number,Una-Sana Canton,Both sexes,11
2013,Number,Una-Sana Canton,M,1
2014,Number,Una-Sana Canton,M,5
2015,Number,Una-Sana Canton,M,13
2016,Number,Una-Sana Canton,M,13
2017,Number,Una-Sana Canton,M,18
2018,Number,Una-Sana Canton,M,16
2019,Number,Una-Sana Canton,M,9
2020,Number,Una-Sana Canton,M,6
2021,Number,Una-Sana Canton,M,7
2022,Number,Una-Sana Canton,M,3
2010,Number,Una-Sana Canton,F,1
2014,Number,Una-Sana Canton,F,4
2015,Number,Una-Sana Canton,F,6
2016,Number,Una-Sana Canton,F,14
2017,Number,Una-Sana Canton,F,11
2018,Number,Una-Sana Canton,F,6
2019,Number,Una-Sana Canton,F,13
