Year,UNIT_MEASURE,Value
2003,Number,8
2004,Number,10
2005,Number,11
2006,Number,12
2007,Number,4
2008,Number,7
2009,Number,4
2010,Number,3
2011,Number,20
2012,Number,17
2013,Number,16
2014,Number,15
2015,Number,10
2016,Number,16
2017,Number,7
2018,Number,19
2019,Number,21
