Year,UNIT_MEASURE,Administrativna oblast,Vrsta obrazovanja,Spol,Value
2020,Broj,Unsko-sanski kanton,masters_of_science,Ž,
2016,Broj,Unsko-sanski kanton,masters,Oba spola,
2016,Broj,Unsko-sanski kanton,masters,M,
2016,Broj,Unsko-sanski kanton,masters,Ž,
2017,Broj,Unsko-sanski kanton,masters,Oba spola,
2017,Broj,Unsko-sanski kanton,masters,M,
2017,Broj,Unsko-sanski kanton,masters,Ž,
2018,Broj,Unsko-sanski kanton,masters,Oba spola,
2018,Broj,Unsko-sanski kanton,masters,M,
2018,Broj,Unsko-sanski kanton,masters,Ž,
2019,Broj,Unsko-sanski kanton,masters,Oba spola,
2019,Broj,Unsko-sanski kanton,masters,M,
2019,Broj,Unsko-sanski kanton,masters,Ž,
2020,Broj,Unsko-sanski kanton,masters,Oba spola,
2020,Broj,Unsko-sanski kanton,masters,M,
2020,Broj,Unsko-sanski kanton,masters,Ž,
2016,Broj,Unsko-sanski kanton,specialists,Oba spola,
2016,Broj,Unsko-sanski kanton,specialists,M,
2016,Broj,Unsko-sanski kanton,specialists,Ž,
2017,Broj,Unsko-sanski kanton,specialists,Oba spola,
2017,Broj,Unsko-sanski kanton,specialists,M,
2017,Broj,Unsko-sanski kanton,specialists,Ž,
2018,Broj,Unsko-sanski kanton,specialists,Oba spola,
2018,Broj,Unsko-sanski kanton,specialists,M,
2018,Broj,Unsko-sanski kanton,specialists,Ž,
2019,Broj,Unsko-sanski kanton,specialists,Oba spola,
2019,Broj,Unsko-sanski kanton,specialists,M,
2019,Broj,Unsko-sanski kanton,specialists,Ž,
2020,Broj,Unsko-sanski kanton,specialists,Oba spola,
2020,Broj,Unsko-sanski kanton,specialists,M,
2020,Broj,Unsko-sanski kanton,specialists,Ž,
2016,Broj,Zeničko-dobojski kanton,masters_of_science,Oba spola,
2016,Broj,Zeničko-dobojski kanton,masters_of_science,M,
2016,Broj,Zeničko-dobojski kanton,masters_of_science,Ž,
2017,Broj,Zeničko-dobojski kanton,masters_of_science,Oba spola,
2017,Broj,Zeničko-dobojski kanton,masters_of_science,M,
2017,Broj,Zeničko-dobojski kanton,masters_of_science,Ž,
2018,Broj,Zeničko-dobojski kanton,masters_of_science,Oba spola,
2018,Broj,Zeničko-dobojski kanton,masters_of_science,M,
2018,Broj,Zeničko-dobojski kanton,masters_of_science,Ž,
2019,Broj,Zeničko-dobojski kanton,masters_of_science,Oba spola,
2019,Broj,Zeničko-dobojski kanton,masters_of_science,M,
2019,Broj,Zeničko-dobojski kanton,masters_of_science,Ž,
2020,Broj,Zeničko-dobojski kanton,masters_of_science,Oba spola,
2020,Broj,Zeničko-dobojski kanton,masters_of_science,M,
2020,Broj,Zeničko-dobojski kanton,masters_of_science,Ž,
2016,Broj,Zeničko-dobojski kanton,masters,Oba spola,
2016,Broj,Zeničko-dobojski kanton,masters,M,
2016,Broj,Zeničko-dobojski kanton,masters,Ž,
2017,Broj,Zeničko-dobojski kanton,masters,Oba spola,
2017,Broj,Zeničko-dobojski kanton,masters,M,
2017,Broj,Zeničko-dobojski kanton,masters,Ž,
2018,Broj,Zeničko-dobojski kanton,masters,Oba spola,
2018,Broj,Zeničko-dobojski kanton,masters,M,
2018,Broj,Zeničko-dobojski kanton,masters,Ž,
2019,Broj,Zeničko-dobojski kanton,masters,Oba spola,
2019,Broj,Zeničko-dobojski kanton,masters,M,
2019,Broj,Zeničko-dobojski kanton,masters,Ž,
2020,Broj,Zeničko-dobojski kanton,masters,Oba spola,
2020,Broj,Zeničko-dobojski kanton,masters,M,
2020,Broj,Zeničko-dobojski kanton,masters,Ž,
2016,Broj,Zeničko-dobojski kanton,specialists,Oba spola,
2016,Broj,Zeničko-dobojski kanton,specialists,M,
2016,Broj,Zeničko-dobojski kanton,specialists,Ž,
2017,Broj,Zeničko-dobojski kanton,specialists,Oba spola,
2017,Broj,Zeničko-dobojski kanton,specialists,M,
2017,Broj,Zeničko-dobojski kanton,specialists,Ž,
2018,Broj,Zeničko-dobojski kanton,specialists,Oba spola,
2018,Broj,Zeničko-dobojski kanton,specialists,M,
2018,Broj,Zeničko-dobojski kanton,specialists,Ž,
2019,Broj,Zeničko-dobojski kanton,specialists,Oba spola,
2019,Broj,Zeničko-dobojski kanton,specialists,M,
2019,Broj,Zeničko-dobojski kanton,specialists,Ž,
2020,Broj,Zeničko-dobojski kanton,specialists,Oba spola,
2020,Broj,Zeničko-dobojski kanton,specialists,M,
2020,Broj,Zeničko-dobojski kanton,specialists,Ž,
2016,Broj,Bosansko-podrinjski kanton,masters_of_science,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,masters_of_science,M,
2016,Broj,Bosansko-podrinjski kanton,masters_of_science,Ž,
2017,Broj,Bosansko-podrinjski kanton,masters_of_science,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,masters_of_science,M,
2017,Broj,Bosansko-podrinjski kanton,masters_of_science,Ž,
2018,Broj,Bosansko-podrinjski kanton,masters_of_science,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,masters_of_science,M,
2018,Broj,Bosansko-podrinjski kanton,masters_of_science,Ž,
2019,Broj,Bosansko-podrinjski kanton,masters_of_science,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,masters_of_science,M,
2019,Broj,Bosansko-podrinjski kanton,masters_of_science,Ž,
2020,Broj,Bosansko-podrinjski kanton,masters_of_science,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,masters_of_science,M,
2020,Broj,Bosansko-podrinjski kanton,masters_of_science,Ž,
2016,Broj,Bosansko-podrinjski kanton,masters,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,masters,M,
2016,Broj,Bosansko-podrinjski kanton,masters,Ž,
2017,Broj,Bosansko-podrinjski kanton,masters,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,masters,M,
2017,Broj,Bosansko-podrinjski kanton,masters,Ž,
2018,Broj,Bosansko-podrinjski kanton,masters,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,masters,M,
2018,Broj,Bosansko-podrinjski kanton,masters,Ž,
2019,Broj,Bosansko-podrinjski kanton,masters,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,masters,M,
2019,Broj,Bosansko-podrinjski kanton,masters,Ž,
2020,Broj,Bosansko-podrinjski kanton,masters,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,masters,M,
2020,Broj,Bosansko-podrinjski kanton,masters,Ž,
2016,Broj,Bosansko-podrinjski kanton,specialists,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,specialists,M,
2016,Broj,Bosansko-podrinjski kanton,specialists,Ž,
2017,Broj,Bosansko-podrinjski kanton,specialists,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,specialists,M,
2017,Broj,Bosansko-podrinjski kanton,specialists,Ž,
