Year,UNIT_MEASURE,Административна јединица,Врста школе,Value
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Зеничко-добојски кантон,Гимназија,
2016,Број,Зеничко-добојски кантон,Техничке школе,
2016,Број,Зеничко-добојски кантон,Стручне школe,
2016,Број,Зеничко-добојски кантон,Умјетничке школе,
2016,Број,Зеничко-добојски кантон,Вјерске школе,
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Зеничко-добојски кантон,Гимназија,
2017,Број,Зеничко-добојски кантон,Техничке школе,
2017,Број,Зеничко-добојски кантон,Стручне школe,
2017,Број,Зеничко-добојски кантон,Умјетничке школе,
2017,Број,Зеничко-добојски кантон,Вјерске школе,
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Зеничко-добојски кантон,Гимназија,
2018,Број,Зеничко-добојски кантон,Техничке школе,
2018,Број,Зеничко-добојски кантон,Стручне школe,
2018,Број,Зеничко-добојски кантон,Умјетничке школе,
2018,Број,Зеничко-добојски кантон,Вјерске школе,
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Зеничко-добојски кантон,Гимназија,
2019,Број,Зеничко-добојски кантон,Техничке школе,
2019,Број,Зеничко-добојски кантон,Стручне школe,
2019,Број,Зеничко-добојски кантон,Умјетничке школе,
2019,Број,Зеничко-добојски кантон,Вјерске школе,
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Зеничко-добојски кантон,Гимназија,
2020,Број,Зеничко-добојски кантон,Техничке школе,
2020,Број,Зеничко-добојски кантон,Стручне школe,
2020,Број,Зеничко-добојски кантон,Умјетничке школе,
2020,Број,Зеничко-добојски кантон,Вјерске школе,
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Босанско-подрињски кантон,Гимназија,
2016,Број,Босанско-подрињски кантон,Техничке школе,
2016,Број,Босанско-подрињски кантон,Стручне школe,
2016,Број,Босанско-подрињски кантон,Умјетничке школе,
2016,Број,Босанско-подрињски кантон,Вјерске школе,
2016,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Босанско-подрињски кантон,Гимназија,
2017,Број,Босанско-подрињски кантон,Техничке школе,
2017,Број,Босанско-подрињски кантон,Стручне школe,
2017,Број,Босанско-подрињски кантон,Умјетничке школе,
2017,Број,Босанско-подрињски кантон,Вјерске школе,
2017,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Босанско-подрињски кантон,Гимназија,
2018,Број,Босанско-подрињски кантон,Техничке школе,
2018,Број,Босанско-подрињски кантон,Стручне школe,
2018,Број,Босанско-подрињски кантон,Умјетничке школе,
2018,Број,Босанско-подрињски кантон,Вјерске школе,
2018,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Босанско-подрињски кантон,Гимназија,
2019,Број,Босанско-подрињски кантон,Техничке школе,
2019,Број,Босанско-подрињски кантон,Стручне школe,
2019,Број,Босанско-подрињски кантон,Умјетничке школе,
2019,Број,Босанско-подрињски кантон,Вјерске школе,
2019,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Босанско-подрињски кантон,Гимназија,
2020,Број,Босанско-подрињски кантон,Техничке школе,
2020,Број,Босанско-подрињски кантон,Стручне школe,
2020,Број,Босанско-подрињски кантон,Умјетничке школе,
2020,Број,Босанско-подрињски кантон,Вјерске школе,
2020,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Средњобосански кантон,Гимназија,
2016,Број,Средњобосански кантон,Техничке школе,
2016,Број,Средњобосански кантон,Стручне школe,
2016,Број,Средњобосански кантон,Умјетничке школе,
2016,Број,Средњобосански кантон,Вјерске школе,
2016,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Средњобосански кантон,Гимназија,
2017,Број,Средњобосански кантон,Техничке школе,
2017,Број,Средњобосански кантон,Стручне школe,
2017,Број,Средњобосански кантон,Умјетничке школе,
2017,Број,Средњобосански кантон,Вјерске школе,
2017,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Средњобосански кантон,Гимназија,
2018,Број,Средњобосански кантон,Техничке школе,
2018,Број,Средњобосански кантон,Стручне школe,
2018,Број,Средњобосански кантон,Умјетничке школе,
2018,Број,Средњобосански кантон,Вјерске школе,
2018,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Средњобосански кантон,Гимназија,
2019,Број,Средњобосански кантон,Техничке школе,
2019,Број,Средњобосански кантон,Стручне школe,
2019,Број,Средњобосански кантон,Умјетничке школе,
2019,Број,Средњобосански кантон,Вјерске школе,
2019,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Средњобосански кантон,Гимназија,
