Year,UNIT_MEASURE,Value
2005,БАМ,5152
2006,БАМ,5840
2007,БАМ,6556
2008,БАМ,7367
2009,БАМ,7172
2010,БАМ,7388
2011,БАМ,7604
2012,БАМ,7655
2013,БАМ,7831
2014,БАМ,8045
2015,БАМ,8452
2016,БАМ,8857
2017,БАМ,9331
2018,БАМ,10010
2019,БАМ,10584
2020,БАМ,10187
2021,БАМ,11634
2022,БАМ,13660
2005,ЕУР,2634
2006,ЕУР,2986
2007,ЕУР,3352
2008,ЕУР,3767
2009,ЕУР,3667
2010,ЕУР,3777
2011,ЕУР,3888
2012,ЕУР,3914
2013,ЕУР,4004
2014,ЕУР,4113
2015,ЕУР,4322
2016,ЕУР,4528
2017,ЕУР,4771
2018,ЕУР,5118
2019,ЕУР,5411
2020,ЕУР,5209
2021,ЕУР,5949
2022,ЕУР,6984
2005,УСД,3276
2006,УСД,3745
2007,УСД,4586
2008,УСД,5512
2009,УСД,5098
2010,УСД,5002
2011,УСД,5408
2012,УСД,5027
2013,УСД,5314
2014,УСД,5458
2015,УСД,4795
2016,УСД,5009
2017,УСД,5377
2018,УСД,6039
2019,УСД,6057
2020,УСД,5934
2021,УСД,7034
2022,УСД,7316
