Year,UNIT_MEASURE,Пол,Value
2018,Број,Оба пола,193
2019,Број,Оба пола,166
2020,Број,Оба пола,148
2018,Број,M,106
2019,Број,M,97
2020,Број,M,90
2018,Број,Ж,87
2019,Број,Ж,69
2020,Број,Ж,58
