Year,UNIT_MEASURE,Vrsta ustanove,Value
2016,Broj,Ukupno,
2016,Broj,Javna,
2016,Broj,Privatna,
2017,Broj,Ukupno,
2017,Broj,Javna,
2017,Broj,Privatna,
2018,Broj,Ukupno,
2018,Broj,Javna,
2018,Broj,Privatna,
2019,Broj,Ukupno,
2019,Broj,Javna,
2019,Broj,Privatna,
2020,Broj,Ukupno,
2020,Broj,Javna,
2020,Broj,Privatna,
