Year,UNIT_MEASURE,Sex,Value
1996,Number,Both sexes,210
1997,Number,Both sexes,167
1998,Number,Both sexes,146
1999,Number,Both sexes,154
2000,Number,Both sexes,107
2001,Number,Both sexes,116
2002,Number,Both sexes,98
2003,Number,Both sexes,109
2004,Number,Both sexes,123
2005,Number,Both sexes,110
2006,Number,Both sexes,105
2007,Number,Both sexes,130
2008,Number,Both sexes,129
2009,Number,Both sexes,90
2010,Number,Both sexes,85
2011,Number,Both sexes,76
2012,Number,Both sexes,68
2013,Number,Both sexes,60
2014,Number,Both sexes,53
2015,Number,Both sexes,97
2016,Number,Both sexes,95
2017,Number,Both sexes,84
2018,Number,Both sexes,68
2019,Number,Both sexes,69
2020,Number,Both sexes,53
2021,Number,Both sexes,66
2022,Number,Both sexes,69
2023,Number,Both sexes,53
1996,Number,M,107
1997,Number,M,98
1998,Number,M,76
1999,Number,M,88
2000,Number,M,59
2001,Number,M,60
2002,Number,M,60
2003,Number,M,72
2004,Number,M,70
2005,Number,M,69
2006,Number,M,62
2007,Number,M,73
2008,Number,M,79
2009,Number,M,52
2010,Number,M,55
2011,Number,M,39
2012,Number,M,36
2013,Number,M,27
2014,Number,M,32
2015,Number,M,48
2016,Number,M,54
2017,Number,M,41
2018,Number,M,37
2019,Number,M,36
2020,Number,M,28
2021,Number,M,28
2022,Number,M,36
2023,Number,M,21
1996,Number,F,103
1997,Number,F,69
1998,Number,F,70
1999,Number,F,66
2000,Number,F,48
2001,Number,F,56
2002,Number,F,38
2003,Number,F,37
2004,Number,F,53
2005,Number,F,41
2006,Number,F,43
2007,Number,F,57
2008,Number,F,50
2009,Number,F,38
2010,Number,F,30
2011,Number,F,37
2012,Number,F,32
2013,Number,F,33
2014,Number,F,21
2015,Number,F,49
2016,Number,F,41
2017,Number,F,43
2018,Number,F,31
2019,Number,F,33
2020,Number,F,25
2021,Number,F,38
2022,Number,F,35
2023,Number,F,32
