Year,UNIT_MEASURE,Starosna dob,Spol,Administrativna oblast,Value
2013,Broj, 45-49,Ž,Hercegovačko-neretvanski kanton,8123
2013,Broj, 50-54,Ž,Hercegovačko-neretvanski kanton,8786
2013,Broj, 55-59,Ž,Hercegovačko-neretvanski kanton,7912
2013,Broj, 60-64,Ž,Hercegovačko-neretvanski kanton,6765
2013,Broj, 65-69,Ž,Hercegovačko-neretvanski kanton,4917
2013,Broj, 70-74,Ž,Hercegovačko-neretvanski kanton,5449
2013,Broj, 75-79,Ž,Hercegovačko-neretvanski kanton,4886
2013,Broj, 80-84,Ž,Hercegovačko-neretvanski kanton,3124
2013,Broj,85+,Ž,Hercegovačko-neretvanski kanton,1869
2013,Broj,Ukupno,Ž,Zapadno-hercegovački kanton,47587
2013,Broj,0-4,Ž,Zapadno-hercegovački kanton,2422
2013,Broj, 5-9,Ž,Zapadno-hercegovački kanton,2656
2013,Broj, 10-14,Ž,Zapadno-hercegovački kanton,3140
2013,Broj, 15-19,Ž,Zapadno-hercegovački kanton,3600
2013,Broj, 20-24,Ž,Zapadno-hercegovački kanton,3395
2013,Broj, 25-29,Ž,Zapadno-hercegovački kanton,3235
2013,Broj, 30-34,Ž,Zapadno-hercegovački kanton,2875
2013,Broj, 35-39,Ž,Zapadno-hercegovački kanton,3024
2013,Broj,40-44,Ž,Zapadno-hercegovački kanton,3201
2013,Broj, 45-49,Ž,Zapadno-hercegovački kanton,3404
2013,Broj, 50-54,Ž,Zapadno-hercegovački kanton,3238
2013,Broj, 55-59,Ž,Zapadno-hercegovački kanton,2715
2013,Broj, 60-64,Ž,Zapadno-hercegovački kanton,2160
2013,Broj, 65-69,Ž,Zapadno-hercegovački kanton,1713
2013,Broj, 70-74,Ž,Zapadno-hercegovački kanton,2167
2013,Broj, 75-79,Ž,Zapadno-hercegovački kanton,2110
2013,Broj, 80-84,Ž,Zapadno-hercegovački kanton,1421
2013,Broj,85+,Ž,Zapadno-hercegovački kanton,1111
2013,Broj,Ukupno,Ž,Kanton Sarajevo,218432
2013,Broj,0-4,Ž,Kanton Sarajevo,10904
2013,Broj, 5-9,Ž,Kanton Sarajevo,9954
2013,Broj, 10-14,Ž,Kanton Sarajevo,9939
2013,Broj, 15-19,Ž,Kanton Sarajevo,12892
2013,Broj, 20-24,Ž,Kanton Sarajevo,12639
2013,Broj, 25-29,Ž,Kanton Sarajevo,16397
2013,Broj, 30-34,Ž,Kanton Sarajevo,17439
2013,Broj, 35-39,Ž,Kanton Sarajevo,15625
2013,Broj,40-44,Ž,Kanton Sarajevo,14083
2013,Broj, 45-49,Ž,Kanton Sarajevo,15181
2013,Broj, 50-54,Ž,Kanton Sarajevo,16706
2013,Broj, 55-59,Ž,Kanton Sarajevo,16895
2013,Broj, 60-64,Ž,Kanton Sarajevo,15242
2013,Broj, 65-69,Ž,Kanton Sarajevo,10211
2013,Broj, 70-74,Ž,Kanton Sarajevo,9141
2013,Broj, 75-79,Ž,Kanton Sarajevo,8267
2013,Broj, 80-84,Ž,Kanton Sarajevo,4677
2013,Broj,85+,Ž,Kanton Sarajevo,2240
2013,Broj,Ukupno,Ž,Kanton 10,41784
2013,Broj,0-4,Ž,Kanton 10,1663
2013,Broj, 5-9,Ž,Kanton 10,1850
2013,Broj, 10-14,Ž,Kanton 10,2230
2013,Broj, 15-19,Ž,Kanton 10,2865
2013,Broj, 20-24,Ž,Kanton 10,2589
2013,Broj, 25-29,Ž,Kanton 10,2508
2013,Broj, 30-34,Ž,Kanton 10,2561
2013,Broj, 35-39,Ž,Kanton 10,2695
2013,Broj,40-44,Ž,Kanton 10,2955
2013,Broj, 45-49,Ž,Kanton 10,2984
2013,Broj, 50-54,Ž,Kanton 10,2927
2013,Broj, 55-59,Ž,Kanton 10,2841
2013,Broj, 60-64,Ž,Kanton 10,2489
2013,Broj, 65-69,Ž,Kanton 10,2050
2013,Broj, 70-74,Ž,Kanton 10,2269
2013,Broj, 75-79,Ž,Kanton 10,2094
2013,Broj, 80-84,Ž,Kanton 10,1387
2013,Broj,85+,Ž,Kanton 10,827
