Year,UNIT_MEASURE,Value
1996,Стопа наталитета,15.2
1997,Стопа наталитета,14.6
1998,Стопа наталитета,14.1
1999,Стопа наталитета,12.3
2000,Стопа наталитета,11.0
2001,Стопа наталитета,10.4
2002,Стопа наталитета,10.0
2003,Стопа наталитета,10.0
2004,Стопа наталитета,9.6
2005,Стопа наталитета,9.4
2006,Стопа наталитета,9.3
2007,Стопа наталитета,9.3
2008,Стопа наталитета,9.8
2009,Стопа наталитета,9.8
2010,Стопа наталитета,9.6
2011,Стопа наталитета,9.1
2012,Стопа наталитета,9.2
2013,Стопа наталитета,8.6
2014,Стопа наталитета,9.0
2015,Стопа наталитета,8.8
2016,Стопа наталитета,8.9
2017,Стопа наталитета,9.0
2018,Стопа наталитета,8.6
2019,Стопа наталитета,8.2
