Year,UNIT_MEASURE,Spol,Value
1997,Broj na 1000 živorođenih,Oba spola,13.0
1998,Broj na 1000 živorođenih,Oba spola,12.1
1999,Broj na 1000 živorođenih,Oba spola,11.2
2000,Broj na 1000 živorođenih,Oba spola,11.0
2001,Broj na 1000 živorođenih,Oba spola,8.9
2002,Broj na 1000 živorođenih,Oba spola,10.5
2003,Broj na 1000 živorođenih,Oba spola,8.7
2004,Broj na 1000 živorođenih,Oba spola,8.5
2005,Broj na 1000 živorođenih,Oba spola,8.8
2006,Broj na 1000 živorođenih,Oba spola,9.5
2007,Broj na 1000 živorođenih,Oba spola,8.9
2008,Broj na 1000 živorođenih,Oba spola,8.5
2009,Broj na 1000 živorođenih,Oba spola,7.6
2010,Broj na 1000 živorođenih,Oba spola,7.7
2011,Broj na 1000 živorođenih,Oba spola,6.6
2012,Broj na 1000 živorođenih,Oba spola,6.5
2013,Broj na 1000 živorođenih,Oba spola,7.3
2014,Broj na 1000 živorođenih,Oba spola,6.4
2015,Broj na 1000 živorođenih,Oba spola,8.0
2016,Broj na 1000 živorođenih,Oba spola,7.5
2017,Broj na 1000 živorođenih,Oba spola,8.2
2018,Broj na 1000 živorođenih,Oba spola,8.4
2019,Broj na 1000 živorođenih,Oba spola,9.3
1997,Broj na 1000 živorođenih,M,15.4
1998,Broj na 1000 živorođenih,M,14.4
1999,Broj na 1000 živorođenih,M,12.2
2000,Broj na 1000 živorođenih,M,12.5
2001,Broj na 1000 živorođenih,M,9.6
2002,Broj na 1000 živorođenih,M,11.6
2003,Broj na 1000 živorođenih,M,10.1
2004,Broj na 1000 živorođenih,M,9.3
2005,Broj na 1000 živorođenih,M,10.0
2006,Broj na 1000 živorođenih,M,11.3
2007,Broj na 1000 živorođenih,M,10.1
2008,Broj na 1000 živorođenih,M,9.4
2009,Broj na 1000 živorođenih,M,7.3
2010,Broj na 1000 živorođenih,M,9.1
2011,Broj na 1000 živorođenih,M,7.7
2012,Broj na 1000 živorođenih,M,7.6
2013,Broj na 1000 živorođenih,M,8.5
2014,Broj na 1000 živorođenih,M,6.2
2015,Broj na 1000 živorođenih,M,8.5
2016,Broj na 1000 živorođenih,M,8.5
2017,Broj na 1000 živorođenih,M,8.5
2018,Broj na 1000 živorođenih,M,8.3
2019,Broj na 1000 živorođenih,M,9.5
1997,Broj na 1000 živorođenih,Ž,10.3
1998,Broj na 1000 živorođenih,Ž,9.7
1999,Broj na 1000 živorođenih,Ž,10.1
2000,Broj na 1000 živorođenih,Ž,9.5
2001,Broj na 1000 živorođenih,Ž,8.2
2002,Broj na 1000 živorođenih,Ž,9.5
2003,Broj na 1000 živorođenih,Ž,7.2
2004,Broj na 1000 živorođenih,Ž,7.7
2005,Broj na 1000 živorođenih,Ž,7.6
2006,Broj na 1000 živorođenih,Ž,7.5
2007,Broj na 1000 živorođenih,Ž,7.6
2008,Broj na 1000 živorođenih,Ž,7.5
2009,Broj na 1000 živorođenih,Ž,7.8
2010,Broj na 1000 živorođenih,Ž,6.2
2011,Broj na 1000 živorođenih,Ž,5.5
2012,Broj na 1000 živorođenih,Ž,5.2
2013,Broj na 1000 živorođenih,Ž,6.2
2014,Broj na 1000 živorođenih,Ž,6.6
2015,Broj na 1000 živorođenih,Ž,7.4
2016,Broj na 1000 živorođenih,Ž,6.4
2017,Broj na 1000 živorođenih,Ž,7.8
2018,Broj na 1000 živorođenih,Ž,8.4
2019,Broj na 1000 živorođenih,Ž,9.0
