Year,UNIT_MEASURE,Admin_Area,Врста образовања,Пол,Value
2018,Број,zenica-doboj_canton,specialists,Оба пола,
2018,Број,zenica-doboj_canton,specialists,M,
2018,Број,zenica-doboj_canton,specialists,Ж,
2019,Број,zenica-doboj_canton,specialists,Оба пола,
2019,Број,zenica-doboj_canton,specialists,M,
2019,Број,zenica-doboj_canton,specialists,Ж,
2020,Број,zenica-doboj_canton,specialists,Оба пола,
2020,Број,zenica-doboj_canton,specialists,M,
2020,Број,zenica-doboj_canton,specialists,Ж,
2016,Број,bosnian-podrinje_canton,masters_of_science,Оба пола,
2016,Број,bosnian-podrinje_canton,masters_of_science,M,
2016,Број,bosnian-podrinje_canton,masters_of_science,Ж,
2017,Број,bosnian-podrinje_canton,masters_of_science,Оба пола,
2017,Број,bosnian-podrinje_canton,masters_of_science,M,
2017,Број,bosnian-podrinje_canton,masters_of_science,Ж,
2018,Број,bosnian-podrinje_canton,masters_of_science,Оба пола,
2018,Број,bosnian-podrinje_canton,masters_of_science,M,
2018,Број,bosnian-podrinje_canton,masters_of_science,Ж,
2019,Број,bosnian-podrinje_canton,masters_of_science,Оба пола,
2019,Број,bosnian-podrinje_canton,masters_of_science,M,
2019,Број,bosnian-podrinje_canton,masters_of_science,Ж,
2020,Број,bosnian-podrinje_canton,masters_of_science,Оба пола,
2020,Број,bosnian-podrinje_canton,masters_of_science,M,
2020,Број,bosnian-podrinje_canton,masters_of_science,Ж,
2016,Број,bosnian-podrinje_canton,masters,Оба пола,
2016,Број,bosnian-podrinje_canton,masters,M,
2016,Број,bosnian-podrinje_canton,masters,Ж,
2017,Број,bosnian-podrinje_canton,masters,Оба пола,
2017,Број,bosnian-podrinje_canton,masters,M,
2017,Број,bosnian-podrinje_canton,masters,Ж,
2018,Број,bosnian-podrinje_canton,masters,Оба пола,
2018,Број,bosnian-podrinje_canton,masters,M,
2018,Број,bosnian-podrinje_canton,masters,Ж,
2019,Број,bosnian-podrinje_canton,masters,Оба пола,
2019,Број,bosnian-podrinje_canton,masters,M,
2019,Број,bosnian-podrinje_canton,masters,Ж,
2020,Број,bosnian-podrinje_canton,masters,Оба пола,
2020,Број,bosnian-podrinje_canton,masters,M,
2020,Број,bosnian-podrinje_canton,masters,Ж,
2016,Број,bosnian-podrinje_canton,specialists,Оба пола,
2016,Број,bosnian-podrinje_canton,specialists,M,
2016,Број,bosnian-podrinje_canton,specialists,Ж,
2017,Број,bosnian-podrinje_canton,specialists,Оба пола,
2017,Број,bosnian-podrinje_canton,specialists,M,
2017,Број,bosnian-podrinje_canton,specialists,Ж,
2018,Број,bosnian-podrinje_canton,specialists,Оба пола,
2018,Број,bosnian-podrinje_canton,specialists,M,
2018,Број,bosnian-podrinje_canton,specialists,Ж,
2019,Број,bosnian-podrinje_canton,specialists,Оба пола,
2019,Број,bosnian-podrinje_canton,specialists,M,
2019,Број,bosnian-podrinje_canton,specialists,Ж,
2020,Број,bosnian-podrinje_canton,specialists,Оба пола,
2020,Број,bosnian-podrinje_canton,specialists,M,
2020,Број,bosnian-podrinje_canton,specialists,Ж,
2016,Број,central_bosnia_canton,masters_of_science,Оба пола,
2016,Број,central_bosnia_canton,masters_of_science,M,
2016,Број,central_bosnia_canton,masters_of_science,Ж,
2017,Број,central_bosnia_canton,masters_of_science,Оба пола,
2017,Број,central_bosnia_canton,masters_of_science,M,
2017,Број,central_bosnia_canton,masters_of_science,Ж,
2018,Број,central_bosnia_canton,masters_of_science,Оба пола,
2018,Број,central_bosnia_canton,masters_of_science,M,
2018,Број,central_bosnia_canton,masters_of_science,Ж,
2019,Број,central_bosnia_canton,masters_of_science,Оба пола,
2019,Број,central_bosnia_canton,masters_of_science,M,
2019,Број,central_bosnia_canton,masters_of_science,Ж,
2020,Број,central_bosnia_canton,masters_of_science,Оба пола,
2020,Број,central_bosnia_canton,masters_of_science,M,
2020,Број,central_bosnia_canton,masters_of_science,Ж,
2016,Број,central_bosnia_canton,masters,Оба пола,
2016,Број,central_bosnia_canton,masters,M,
2016,Број,central_bosnia_canton,masters,Ж,
2017,Број,central_bosnia_canton,masters,Оба пола,
2017,Број,central_bosnia_canton,masters,M,
2017,Број,central_bosnia_canton,masters,Ж,
2018,Број,central_bosnia_canton,masters,Оба пола,
2018,Број,central_bosnia_canton,masters,M,
2018,Број,central_bosnia_canton,masters,Ж,
2019,Број,central_bosnia_canton,masters,Оба пола,
2019,Број,central_bosnia_canton,masters,M,
2019,Број,central_bosnia_canton,masters,Ж,
2020,Број,central_bosnia_canton,masters,Оба пола,
2020,Број,central_bosnia_canton,masters,M,
2020,Број,central_bosnia_canton,masters,Ж,
2016,Број,central_bosnia_canton,specialists,Оба пола,
2016,Број,central_bosnia_canton,specialists,M,
2016,Број,central_bosnia_canton,specialists,Ж,
2017,Број,central_bosnia_canton,specialists,Оба пола,
2017,Број,central_bosnia_canton,specialists,M,
2017,Број,central_bosnia_canton,specialists,Ж,
2018,Број,central_bosnia_canton,specialists,Оба пола,
2018,Број,central_bosnia_canton,specialists,M,
2018,Број,central_bosnia_canton,specialists,Ж,
2019,Број,central_bosnia_canton,specialists,Оба пола,
2019,Број,central_bosnia_canton,specialists,M,
2019,Број,central_bosnia_canton,specialists,Ж,
2020,Број,central_bosnia_canton,specialists,Оба пола,
2020,Број,central_bosnia_canton,specialists,M,
2020,Број,central_bosnia_canton,specialists,Ж,
2016,Број,herzegovina-neretva_canton,masters_of_science,Оба пола,
2016,Број,herzegovina-neretva_canton,masters_of_science,M,
2016,Број,herzegovina-neretva_canton,masters_of_science,Ж,
2017,Број,herzegovina-neretva_canton,masters_of_science,Оба пола,
2017,Број,herzegovina-neretva_canton,masters_of_science,M,
2017,Број,herzegovina-neretva_canton,masters_of_science,Ж,
2018,Број,herzegovina-neretva_canton,masters_of_science,Оба пола,
2018,Број,herzegovina-neretva_canton,masters_of_science,M,
2018,Број,herzegovina-neretva_canton,masters_of_science,Ж,
2019,Број,herzegovina-neretva_canton,masters_of_science,Оба пола,
2019,Број,herzegovina-neretva_canton,masters_of_science,M,
2019,Број,herzegovina-neretva_canton,masters_of_science,Ж,
2020,Број,herzegovina-neretva_canton,masters_of_science,Оба пола,
2020,Број,herzegovina-neretva_canton,masters_of_science,M,
2020,Број,herzegovina-neretva_canton,masters_of_science,Ж,
2016,Број,herzegovina-neretva_canton,masters,Оба пола,
2016,Број,herzegovina-neretva_canton,masters,M,
2016,Број,herzegovina-neretva_canton,masters,Ж,
2017,Број,herzegovina-neretva_canton,masters,Оба пола,
2017,Број,herzegovina-neretva_canton,masters,M,
2017,Број,herzegovina-neretva_canton,masters,Ж,
2018,Број,herzegovina-neretva_canton,masters,Оба пола,
2018,Број,herzegovina-neretva_canton,masters,M,
2018,Број,herzegovina-neretva_canton,masters,Ж,
2019,Број,herzegovina-neretva_canton,masters,Оба пола,
2019,Број,herzegovina-neretva_canton,masters,M,
2019,Број,herzegovina-neretva_canton,masters,Ж,
2020,Број,herzegovina-neretva_canton,masters,Оба пола,
2020,Број,herzegovina-neretva_canton,masters,M,
2020,Број,herzegovina-neretva_canton,masters,Ж,
2016,Број,herzegovina-neretva_canton,specialists,Оба пола,
2016,Број,herzegovina-neretva_canton,specialists,M,
2016,Број,herzegovina-neretva_canton,specialists,Ж,
2017,Број,herzegovina-neretva_canton,specialists,Оба пола,
2017,Број,herzegovina-neretva_canton,specialists,M,
2017,Број,herzegovina-neretva_canton,specialists,Ж,
2018,Број,herzegovina-neretva_canton,specialists,Оба пола,
2018,Број,herzegovina-neretva_canton,specialists,M,
2018,Број,herzegovina-neretva_canton,specialists,Ж,
2019,Број,herzegovina-neretva_canton,specialists,Оба пола,
2019,Број,herzegovina-neretva_canton,specialists,M,
2019,Број,herzegovina-neretva_canton,specialists,Ж,
2020,Број,herzegovina-neretva_canton,specialists,Оба пола,
2020,Број,herzegovina-neretva_canton,specialists,M,
2020,Број,herzegovina-neretva_canton,specialists,Ж,
2016,Број,sarajevo_canton,masters_of_science,Оба пола,
2016,Број,sarajevo_canton,masters_of_science,M,
2016,Број,sarajevo_canton,masters_of_science,Ж,
2017,Број,sarajevo_canton,masters_of_science,Оба пола,
2017,Број,sarajevo_canton,masters_of_science,M,
2017,Број,sarajevo_canton,masters_of_science,Ж,
2018,Број,sarajevo_canton,masters_of_science,Оба пола,
2018,Број,sarajevo_canton,masters_of_science,M,
2018,Број,sarajevo_canton,masters_of_science,Ж,
2019,Број,sarajevo_canton,masters_of_science,Оба пола,
2019,Број,sarajevo_canton,masters_of_science,M,
2019,Број,sarajevo_canton,masters_of_science,Ж,
2020,Број,sarajevo_canton,masters_of_science,Оба пола,
2020,Број,sarajevo_canton,masters_of_science,M,
2020,Број,sarajevo_canton,masters_of_science,Ж,
2016,Број,sarajevo_canton,masters,Оба пола,
2016,Број,sarajevo_canton,masters,M,
2016,Број,sarajevo_canton,masters,Ж,
2017,Број,sarajevo_canton,masters,Оба пола,
2017,Број,sarajevo_canton,masters,M,
2017,Број,sarajevo_canton,masters,Ж,
2018,Број,sarajevo_canton,masters,Оба пола,
2018,Број,sarajevo_canton,masters,M,
2018,Број,sarajevo_canton,masters,Ж,
2019,Број,sarajevo_canton,masters,Оба пола,
2019,Број,sarajevo_canton,masters,M,
2019,Број,sarajevo_canton,masters,Ж,
2020,Број,sarajevo_canton,masters,Оба пола,
2020,Број,sarajevo_canton,masters,M,
2020,Број,sarajevo_canton,masters,Ж,
2016,Број,sarajevo_canton,specialists,Оба пола,
2016,Број,sarajevo_canton,specialists,M,
2016,Број,sarajevo_canton,specialists,Ж,
2017,Број,sarajevo_canton,specialists,Оба пола,
2017,Број,sarajevo_canton,specialists,M,
2017,Број,sarajevo_canton,specialists,Ж,
2018,Број,sarajevo_canton,specialists,Оба пола,
2018,Број,sarajevo_canton,specialists,M,
2018,Број,sarajevo_canton,specialists,Ж,
2019,Број,sarajevo_canton,specialists,Оба пола,
2019,Број,sarajevo_canton,specialists,M,
2019,Број,sarajevo_canton,specialists,Ж,
2020,Број,sarajevo_canton,specialists,Оба пола,
2020,Број,sarajevo_canton,specialists,M,
2020,Број,sarajevo_canton,specialists,Ж,
