Year,UNIT_MEASURE,Старосна доб,Пол,Административно подручје,Value
2013,Број,0-4,Ж,Западнохерцеговчки кантон,2422
2013,Број, 5-9,Ж,Западнохерцеговчки кантон,2656
2013,Број, 10-14,Ж,Западнохерцеговчки кантон,3140
2013,Број, 15-19,Ж,Западнохерцеговчки кантон,3600
2013,Број, 20-24,Ж,Западнохерцеговчки кантон,3395
2013,Број, 25-29,Ж,Западнохерцеговчки кантон,3235
2013,Број, 30-34,Ж,Западнохерцеговчки кантон,2875
2013,Број, 35-39,Ж,Западнохерцеговчки кантон,3024
2013,Број,40-44,Ж,Западнохерцеговчки кантон,3201
2013,Број, 45-49,Ж,Западнохерцеговчки кантон,3404
2013,Број, 50-54,Ж,Западнохерцеговчки кантон,3238
2013,Број, 55-59,Ж,Западнохерцеговчки кантон,2715
2013,Број, 60-64,Ж,Западнохерцеговчки кантон,2160
2013,Број, 65-69,Ж,Западнохерцеговчки кантон,1713
2013,Број, 70-74,Ж,Западнохерцеговчки кантон,2167
2013,Број, 75-79,Ж,Западнохерцеговчки кантон,2110
2013,Број, 80-84,Ж,Западнохерцеговчки кантон,1421
2013,Број,85+,Ж,Западнохерцеговчки кантон,1111
2013,Број,Укупно,Ж,Кантон Сарајево,218432
2013,Број,0-4,Ж,Кантон Сарајево,10904
2013,Број, 5-9,Ж,Кантон Сарајево,9954
2013,Број, 10-14,Ж,Кантон Сарајево,9939
2013,Број, 15-19,Ж,Кантон Сарајево,12892
2013,Број, 20-24,Ж,Кантон Сарајево,12639
2013,Број, 25-29,Ж,Кантон Сарајево,16397
2013,Број, 30-34,Ж,Кантон Сарајево,17439
2013,Број, 35-39,Ж,Кантон Сарајево,15625
2013,Број,40-44,Ж,Кантон Сарајево,14083
2013,Број, 45-49,Ж,Кантон Сарајево,15181
2013,Број, 50-54,Ж,Кантон Сарајево,16706
2013,Број, 55-59,Ж,Кантон Сарајево,16895
2013,Број, 60-64,Ж,Кантон Сарајево,15242
2013,Број, 65-69,Ж,Кантон Сарајево,10211
2013,Број, 70-74,Ж,Кантон Сарајево,9141
2013,Број, 75-79,Ж,Кантон Сарајево,8267
2013,Број, 80-84,Ж,Кантон Сарајево,4677
2013,Број,85+,Ж,Кантон Сарајево,2240
2013,Број,Укупно,Ж,Кантон 10,41784
2013,Број,0-4,Ж,Кантон 10,1663
2013,Број, 5-9,Ж,Кантон 10,1850
2013,Број, 10-14,Ж,Кантон 10,2230
2013,Број, 15-19,Ж,Кантон 10,2865
2013,Број, 20-24,Ж,Кантон 10,2589
2013,Број, 25-29,Ж,Кантон 10,2508
2013,Број, 30-34,Ж,Кантон 10,2561
2013,Број, 35-39,Ж,Кантон 10,2695
2013,Број,40-44,Ж,Кантон 10,2955
2013,Број, 45-49,Ж,Кантон 10,2984
2013,Број, 50-54,Ж,Кантон 10,2927
2013,Број, 55-59,Ж,Кантон 10,2841
2013,Број, 60-64,Ж,Кантон 10,2489
2013,Број, 65-69,Ж,Кантон 10,2050
2013,Број, 70-74,Ж,Кантон 10,2269
2013,Број, 75-79,Ж,Кантон 10,2094
2013,Број, 80-84,Ж,Кантон 10,1387
2013,Број,85+,Ж,Кантон 10,827
