Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,federation_of_bih,Oba spola,10179
2010,Broj,una-sana_canton,Oba spola,996
2010,Broj,posavina_canton,Oba spola,117
2010,Broj,tuzla_canton,Oba spola,1865
2010,Broj,zenica-doboj_canton,Oba spola,1032
2010,Broj,bosnian-podrinje_canton,Oba spola,158
2010,Broj,central_bosnia_canton,Oba spola,703
2010,Broj,herzegovina-neretva_canton,Oba spola,1445
2010,Broj,west_herzegovina_canton,Oba spola,679
2010,Broj,sarajevo_canton,Oba spola,2811
2010,Broj,canton_10,Oba spola,373
2010,Broj,federation_of_bih,M,5359
2010,Broj,una-sana_canton,M,534
2010,Broj,posavina_canton,M,55
2010,Broj,tuzla_canton,M,953
2010,Broj,zenica-doboj_canton,M,563
2010,Broj,bosnian-podrinje_canton,M,82
2010,Broj,central_bosnia_canton,M,400
2010,Broj,herzegovina-neretva_canton,M,746
2010,Broj,west_herzegovina_canton,M,372
2010,Broj,sarajevo_canton,M,1456
2010,Broj,canton_10,M,198
2010,Broj,federation_of_bih,Ž,4820
2010,Broj,una-sana_canton,Ž,462
2010,Broj,posavina_canton,Ž,62
2010,Broj,tuzla_canton,Ž,912
2010,Broj,zenica-doboj_canton,Ž,469
2010,Broj,bosnian-podrinje_canton,Ž,76
2010,Broj,central_bosnia_canton,Ž,303
2010,Broj,herzegovina-neretva_canton,Ž,699
2010,Broj,west_herzegovina_canton,Ž,307
2010,Broj,sarajevo_canton,Ž,1355
2010,Broj,canton_10,Ž,175
2011,Broj,federation_of_bih,Oba spola,10179
2011,Broj,una-sana_canton,Oba spola,996
2011,Broj,posavina_canton,Oba spola,117
2011,Broj,tuzla_canton,Oba spola,1865
2011,Broj,zenica-doboj_canton,Oba spola,1032
2011,Broj,bosnian-podrinje_canton,Oba spola,158
2011,Broj,central_bosnia_canton,Oba spola,703
2011,Broj,herzegovina-neretva_canton,Oba spola,1445
2011,Broj,west_herzegovina_canton,Oba spola,679
2011,Broj,sarajevo_canton,Oba spola,2811
2011,Broj,canton_10,Oba spola,373
2011,Broj,federation_of_bih,M,5359
2011,Broj,una-sana_canton,M,534
2011,Broj,posavina_canton,M,55
2011,Broj,tuzla_canton,M,953
2011,Broj,zenica-doboj_canton,M,563
2011,Broj,bosnian-podrinje_canton,M,82
2011,Broj,central_bosnia_canton,M,400
2011,Broj,herzegovina-neretva_canton,M,746
2011,Broj,west_herzegovina_canton,M,372
2011,Broj,sarajevo_canton,M,1456
2011,Broj,canton_10,M,198
2011,Broj,federation_of_bih,Ž,4820
2011,Broj,una-sana_canton,Ž,462
2011,Broj,posavina_canton,Ž,62
2011,Broj,tuzla_canton,Ž,912
2011,Broj,zenica-doboj_canton,Ž,469
2011,Broj,bosnian-podrinje_canton,Ž,76
2011,Broj,central_bosnia_canton,Ž,303
2011,Broj,herzegovina-neretva_canton,Ž,699
2011,Broj,west_herzegovina_canton,Ž,307
2011,Broj,sarajevo_canton,Ž,1355
2011,Broj,canton_10,Ž,175
2012,Broj,federation_of_bih,Oba spola,10969
2012,Broj,una-sana_canton,Oba spola,1065
2012,Broj,posavina_canton,Oba spola,141
2012,Broj,tuzla_canton,Oba spola,2011
2012,Broj,zenica-doboj_canton,Oba spola,1251
2012,Broj,bosnian-podrinje_canton,Oba spola,192
2012,Broj,central_bosnia_canton,Oba spola,656
2012,Broj,herzegovina-neretva_canton,Oba spola,1421
2012,Broj,west_herzegovina_canton,Oba spola,756
2012,Broj,sarajevo_canton,Oba spola,3101
2012,Broj,canton_10,Oba spola,375
2012,Broj,federation_of_bih,M,5700
2012,Broj,una-sana_canton,M,564
2012,Broj,posavina_canton,M,91
2012,Broj,tuzla_canton,M,1096
2012,Broj,zenica-doboj_canton,M,651
2012,Broj,bosnian-podrinje_canton,M,92
2012,Broj,central_bosnia_canton,M,332
2012,Broj,herzegovina-neretva_canton,M,721
2012,Broj,west_herzegovina_canton,M,411
2012,Broj,sarajevo_canton,M,1550
2012,Broj,canton_10,M,192
2012,Broj,federation_of_bih,Ž,5269
2012,Broj,una-sana_canton,Ž,501
2012,Broj,posavina_canton,Ž,50
2012,Broj,tuzla_canton,Ž,915
2012,Broj,zenica-doboj_canton,Ž,600
2012,Broj,bosnian-podrinje_canton,Ž,100
2012,Broj,central_bosnia_canton,Ž,324
2012,Broj,herzegovina-neretva_canton,Ž,700
2012,Broj,west_herzegovina_canton,Ž,345
2012,Broj,sarajevo_canton,Ž,1551
2012,Broj,canton_10,Ž,183
2013,Broj,federation_of_bih,Oba spola,156
2013,Broj,una-sana_canton,Oba spola,14
2013,Broj,posavina_canton,Oba spola,3
2013,Broj,tuzla_canton,Oba spola,21
2013,Broj,zenica-doboj_canton,Oba spola,24
2013,Broj,bosnian-podrinje_canton,Oba spola,2
2013,Broj,central_bosnia_canton,Oba spola,12
2013,Broj,herzegovina-neretva_canton,Oba spola,22
2013,Broj,west_herzegovina_canton,Oba spola,12
2013,Broj,sarajevo_canton,Oba spola,40
2013,Broj,canton_10,Oba spola,6
2013,Broj,federation_of_bih,M,6229
2013,Broj,una-sana_canton,M,587
2013,Broj,posavina_canton,M,74
2013,Broj,tuzla_canton,M,1054
2013,Broj,zenica-doboj_canton,M,711
2013,Broj,bosnian-podrinje_canton,M,91
2013,Broj,central_bosnia_canton,M,290
2013,Broj,herzegovina-neretva_canton,M,780
2013,Broj,west_herzegovina_canton,M,424
2013,Broj,sarajevo_canton,M,2028
2013,Broj,canton_10,M,190
2013,Broj,federation_of_bih,Ž,5579
2013,Broj,una-sana_canton,Ž,533
2013,Broj,posavina_canton,Ž,68
2013,Broj,tuzla_canton,Ž,858
2013,Broj,zenica-doboj_canton,Ž,687
2013,Broj,bosnian-podrinje_canton,Ž,80
2013,Broj,central_bosnia_canton,Ž,318
2013,Broj,herzegovina-neretva_canton,Ž,739
2013,Broj,west_herzegovina_canton,Ž,371
2013,Broj,sarajevo_canton,Ž,1745
2013,Broj,canton_10,Ž,180
2014,Broj,federation_of_bih,Oba spola,12737
2014,Broj,una-sana_canton,Oba spola,1244
2014,Broj,posavina_canton,Oba spola,149
2014,Broj,tuzla_canton,Oba spola,2033
2014,Broj,zenica-doboj_canton,Oba spola,1406
2014,Broj,bosnian-podrinje_canton,Oba spola,139
2014,Broj,central_bosnia_canton,Oba spola,821
2014,Broj,herzegovina-neretva_canton,Oba spola,1794
2014,Broj,west_herzegovina_canton,Oba spola,789
2014,Broj,sarajevo_canton,Oba spola,4003
2014,Broj,canton_10,Oba spola,359
2014,Broj,federation_of_bih,M,6632
2014,Broj,una-sana_canton,M,651
2014,Broj,posavina_canton,M,74
2014,Broj,tuzla_canton,M,1108
2014,Broj,zenica-doboj_canton,M,731
2014,Broj,bosnian-podrinje_canton,M,64
2014,Broj,central_bosnia_canton,M,420
2014,Broj,herzegovina-neretva_canton,M,914
2014,Broj,west_herzegovina_canton,M,421
2014,Broj,sarajevo_canton,M,2070
2014,Broj,canton_10,M,179
2014,Broj,federation_of_bih,Ž,6105
2014,Broj,una-sana_canton,Ž,593
2014,Broj,posavina_canton,Ž,75
2014,Broj,tuzla_canton,Ž,925
2014,Broj,zenica-doboj_canton,Ž,675
2014,Broj,bosnian-podrinje_canton,Ž,75
