Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,32569
2011,Број,Федерација Босне и Херцеговине,Оба пола,35353
2012,Број,Федерација Босне и Херцеговине,Оба пола,28573
2013,Број,Федерација Босне и Херцеговине,Оба пола,21136
2014,Број,Федерација Босне и Херцеговине,Оба пола,24237
2015,Број,Федерација Босне и Херцеговине,Оба пола,23972
2016,Број,Федерација Босне и Херцеговине,Оба пола,23499
2017,Број,Федерација Босне и Херцеговине,Оба пола,24693
2018,Број,Федерација Босне и Херцеговине,Оба пола,20156
2019,Број,Федерација Босне и Херцеговине,Оба пола,20818
2020,Број,Федерација Босне и Херцеговине,Оба пола,19934
2021,Број,Федерација Босне и Херцеговине,Оба пола,19416
2022,Број,Федерација Босне и Херцеговине,Оба пола,18992
2010,Број,Федерација Босне и Херцеговине,M,16593
2011,Број,Федерација Босне и Херцеговине,M,18197
2012,Број,Федерација Босне и Херцеговине,M,14815
2013,Број,Федерација Босне и Херцеговине,M,10772
2014,Број,Федерација Босне и Херцеговине,M,12206
2015,Број,Федерација Босне и Херцеговине,M,12303
2016,Број,Федерација Босне и Херцеговине,M,11999
2017,Број,Федерација Босне и Херцеговине,M,12619
2018,Број,Федерација Босне и Херцеговине,M,10328
2019,Број,Федерација Босне и Херцеговине,M,10715
2020,Број,Федерација Босне и Херцеговине,M,10216
2021,Број,Федерација Босне и Херцеговине,M,9933
2022,Број,Федерација Босне и Херцеговине,M,9880
2010,Број,Федерација Босне и Херцеговине,Ж,15976
2011,Број,Федерација Босне и Херцеговине,Ж,17156
2012,Број,Федерација Босне и Херцеговине,Ж,13758
2013,Број,Федерација Босне и Херцеговине,Ж,10364
2014,Број,Федерација Босне и Херцеговине,Ж,12031
2015,Број,Федерација Босне и Херцеговине,Ж,11669
2016,Број,Федерација Босне и Херцеговине,Ж,11500
2017,Број,Федерација Босне и Херцеговине,Ж,12074
2018,Број,Федерација Босне и Херцеговине,Ж,9828
2019,Број,Федерација Босне и Херцеговине,Ж,10103
2020,Број,Федерација Босне и Херцеговине,Ж,9718
2021,Број,Федерација Босне и Херцеговине,Ж,9483
2022,Број,Федерација Босне и Херцеговине,Ж,9112
2010,Број,Унско-сански кантон,Оба пола,3170
2011,Број,Унско-сански кантон,Оба пола,4752
2012,Број,Унско-сански кантон,Оба пола,3840
2013,Број,Унско-сански кантон,Оба пола,2231
2014,Број,Унско-сански кантон,Оба пола,3546
2015,Број,Унско-сански кантон,Оба пола,2997
2016,Број,Унско-сански кантон,Оба пола,2877
2017,Број,Унско-сански кантон,Оба пола,2676
2018,Број,Унско-сански кантон,Оба пола,2552
2019,Број,Унско-сански кантон,Оба пола,2375
2020,Број,Унско-сански кантон,Оба пола,2241
2021,Број,Унско-сански кантон,Оба пола,2021
2022,Број,Унско-сански кантон,Оба пола,1957
2010,Број,Унско-сански кантон,M,1679
2011,Број,Унско-сански кантон,M,2453
2012,Број,Унско-сански кантон,M,1999
2013,Број,Унско-сански кантон,M,1115
2014,Број,Унско-сански кантон,M,1772
2015,Број,Унско-сански кантон,M,1551
2016,Број,Унско-сански кантон,M,1426
2017,Број,Унско-сански кантон,M,1394
2018,Број,Унско-сански кантон,M,1272
2019,Број,Унско-сански кантон,M,1234
2020,Број,Унско-сански кантон,M,1119
2021,Број,Унско-сански кантон,M,1036
2022,Број,Унско-сански кантон,M,1022
2010,Број,Унско-сански кантон,Ж,1491
2011,Број,Унско-сански кантон,Ж,2299
2012,Број,Унско-сански кантон,Ж,1841
2013,Број,Унско-сански кантон,Ж,1116
2014,Број,Унско-сански кантон,Ж,1774
2015,Број,Унско-сански кантон,Ж,1446
2016,Број,Унско-сански кантон,Ж,1451
2017,Број,Унско-сански кантон,Ж,1282
2018,Број,Унско-сански кантон,Ж,1280
2019,Број,Унско-сански кантон,Ж,1141
2020,Број,Унско-сански кантон,Ж,1122
2021,Број,Унско-сански кантон,Ж,985
2022,Број,Унско-сански кантон,Ж,935
2010,Број,Посавски кантон,Оба пола,482
2011,Број,Посавски кантон,Оба пола,459
2012,Број,Посавски кантон,Оба пола,499
2013,Број,Посавски кантон,Оба пола,399
2014,Број,Посавски кантон,Оба пола,428
2015,Број,Посавски кантон,Оба пола,310
2016,Број,Посавски кантон,Оба пола,344
2017,Број,Посавски кантон,Оба пола,286
2018,Број,Посавски кантон,Оба пола,291
2019,Број,Посавски кантон,Оба пола,278
2020,Број,Посавски кантон,Оба пола,236
2021,Број,Посавски кантон,Оба пола,231
2022,Број,Посавски кантон,Оба пола,229
2010,Број,Посавски кантон,M,262
2011,Број,Посавски кантон,M,225
2012,Број,Посавски кантон,M,255
2013,Број,Посавски кантон,M,200
2014,Број,Посавски кантон,M,223
2015,Број,Посавски кантон,M,170
2016,Број,Посавски кантон,M,181
2017,Број,Посавски кантон,M,139
2018,Број,Посавски кантон,M,150
2019,Број,Посавски кантон,M,139
2020,Број,Посавски кантон,M,119
2021,Број,Посавски кантон,M,123
2022,Број,Посавски кантон,M,125
2010,Број,Посавски кантон,Ж,220
2011,Број,Посавски кантон,Ж,234
