Year,UNIT_MEASURE,ADMIN_AREA,Literacy,Sex,Value
2013,NUMBER,jablanica,unknown,F,37
2013,NUMBER,jajce,unknown,F,298
2013,NUMBER,kakanj,unknown,F,210
2013,NUMBER,kalesija,unknown,F,286
2013,NUMBER,kiseljak,unknown,F,135
2013,NUMBER,kladanj,unknown,F,66
2013,NUMBER,kljuc,unknown,F,102
2013,NUMBER,konjic,unknown,F,222
2013,NUMBER,kresevo,unknown,F,35
2013,NUMBER,kupres-fbih,unknown,F,34
2013,NUMBER,livno,unknown,F,215
2013,NUMBER,lukavac,unknown,F,225
2013,NUMBER,ljubuski,unknown,F,197
2013,NUMBER,maglaj,unknown,F,167
2013,NUMBER,mostar,unknown,F,594
2013,NUMBER,neum,unknown,F,27
2013,NUMBER,novi_grad_sarajevo,unknown,F,425
2013,NUMBER,novi_travnik,unknown,F,222
2013,NUMBER,novo_sarajevo,unknown,F,153
2013,NUMBER,odzak,unknown,F,171
2013,NUMBER,olovo,unknown,F,101
2013,NUMBER,orasje,unknown,F,153
2013,NUMBER,pale-fbih,unknown,F,3
2013,NUMBER,posusje,unknown,F,142
2013,NUMBER,prozor,unknown,F,194
2013,NUMBER,ravno,unknown,F,24
2013,NUMBER,sanski_most,unknown,F,321
2013,NUMBER,sapna,unknown,F,67
2013,NUMBER,srebrenik,unknown,F,329
2013,NUMBER,stari_grad_sarajevo,unknown,F,124
2013,NUMBER,stolac,unknown,F,100
2013,NUMBER,siroki_brijeg,unknown,F,261
2013,NUMBER,teocak,unknown,F,36
2013,NUMBER,tesanj,unknown,F,220
2013,NUMBER,tomislavgrad,unknown,F,222
2013,NUMBER,travnik,unknown,F,538
2013,NUMBER,trnovo-fbih,unknown,F,4
2013,NUMBER,tuzla,unknown,F,432
2013,NUMBER,usora,unknown,F,36
2013,NUMBER,vares,unknown,F,53
2013,NUMBER,velika_kladusa,unknown,F,222
2013,NUMBER,visoko,unknown,F,155
2013,NUMBER,vitez,unknown,F,235
2013,NUMBER,vogosca,unknown,F,92
2013,NUMBER,zavidovici,unknown,F,237
2013,NUMBER,zenica,unknown,F,438
2013,NUMBER,zepce,unknown,F,186
2013,NUMBER,zivinice,unknown,F,266
