Year,UNIT_MEASURE,Административно подручје,Пол,Value
2010,Број,federation_of_bih,Оба пола,223304.0
2011,Број,federation_of_bih,Оба пола,208491.0
2012,Број,federation_of_bih,Оба пола,199569.0
2013,Број,federation_of_bih,Оба пола,198840.0
2014,Број,federation_of_bih,Оба пола,194867.0
2015,Број,federation_of_bih,Оба пола,191210.0
2016,Број,federation_of_bih,Оба пола,189019.0
2017,Број,federation_of_bih,Оба пола,185605.0
2018,Број,federation_of_bih,Оба пола,184053.0
2010,Број,federation_of_bih,M,114717.0
2011,Број,federation_of_bih,M,107015.0
2012,Број,federation_of_bih,M,102236.0
2013,Број,federation_of_bih,M,101958.0
2014,Број,federation_of_bih,M,100034.0
2015,Број,federation_of_bih,M,98504.0
2016,Број,federation_of_bih,M,97635.0
2017,Број,federation_of_bih,M,95408.0
2018,Број,federation_of_bih,M,94664.0
2010,Број,federation_of_bih,Ж,108587.0
2011,Број,federation_of_bih,Ж,101476.0
2012,Број,federation_of_bih,Ж,97333.0
2013,Број,federation_of_bih,Ж,96882.0
2014,Број,federation_of_bih,Ж,94833.0
2015,Број,federation_of_bih,Ж,92706.0
2016,Број,federation_of_bih,Ж,91384.0
2017,Број,federation_of_bih,Ж,90197.0
2018,Број,federation_of_bih,Ж,89389.0
2010,Број,una-sana_canton,Оба пола,
2011,Број,una-sana_canton,Оба пола,
2012,Број,una-sana_canton,Оба пола,
2013,Број,una-sana_canton,Оба пола,
2014,Број,una-sana_canton,Оба пола,
2015,Број,una-sana_canton,Оба пола,
2016,Број,una-sana_canton,Оба пола,
2017,Број,una-sana_canton,Оба пола,
2018,Број,una-sana_canton,Оба пола,
2010,Број,una-sana_canton,M,
2011,Број,una-sana_canton,M,
2012,Број,una-sana_canton,M,
2013,Број,una-sana_canton,M,
2014,Број,una-sana_canton,M,
2015,Број,una-sana_canton,M,
2016,Број,una-sana_canton,M,
2017,Број,una-sana_canton,M,
2018,Број,una-sana_canton,M,
2010,Број,una-sana_canton,Ж,
2011,Број,una-sana_canton,Ж,
2012,Број,una-sana_canton,Ж,
2013,Број,una-sana_canton,Ж,
2014,Број,una-sana_canton,Ж,
2015,Број,una-sana_canton,Ж,
2016,Број,una-sana_canton,Ж,
2017,Број,una-sana_canton,Ж,
2018,Број,una-sana_canton,Ж,
2010,Број,posavina_canton,Оба пола,
2011,Број,posavina_canton,Оба пола,
2012,Број,posavina_canton,Оба пола,
2013,Број,posavina_canton,Оба пола,
2014,Број,posavina_canton,Оба пола,
2015,Број,posavina_canton,Оба пола,
2016,Број,posavina_canton,Оба пола,
2017,Број,posavina_canton,Оба пола,
2018,Број,posavina_canton,Оба пола,
2010,Број,posavina_canton,M,
2011,Број,posavina_canton,M,
2012,Број,posavina_canton,M,
2013,Број,posavina_canton,M,
2014,Број,posavina_canton,M,
2015,Број,posavina_canton,M,
2016,Број,posavina_canton,M,
2017,Број,posavina_canton,M,
2018,Број,posavina_canton,M,
2010,Број,posavina_canton,Ж,
2011,Број,posavina_canton,Ж,
2012,Број,posavina_canton,Ж,
2013,Број,posavina_canton,Ж,
2014,Број,posavina_canton,Ж,
2015,Број,posavina_canton,Ж,
2016,Број,posavina_canton,Ж,
2017,Број,posavina_canton,Ж,
2018,Број,posavina_canton,Ж,
2010,Број,tuzla_canton,Оба пола,
2011,Број,tuzla_canton,Оба пола,
2012,Број,tuzla_canton,Оба пола,
2013,Број,tuzla_canton,Оба пола,
2014,Број,tuzla_canton,Оба пола,
2015,Број,tuzla_canton,Оба пола,
2016,Број,tuzla_canton,Оба пола,
2017,Број,tuzla_canton,Оба пола,
2018,Број,tuzla_canton,Оба пола,
2010,Број,tuzla_canton,M,
2011,Број,tuzla_canton,M,
2012,Број,tuzla_canton,M,
2013,Број,tuzla_canton,M,
2014,Број,tuzla_canton,M,
2015,Број,tuzla_canton,M,
2016,Број,tuzla_canton,M,
2017,Број,tuzla_canton,M,
2018,Број,tuzla_canton,M,
2010,Број,tuzla_canton,Ж,
2011,Број,tuzla_canton,Ж,
2012,Број,tuzla_canton,Ж,
2013,Број,tuzla_canton,Ж,
2014,Број,tuzla_canton,Ж,
2015,Број,tuzla_canton,Ж,
2016,Број,tuzla_canton,Ж,
2017,Број,tuzla_canton,Ж,
2018,Број,tuzla_canton,Ж,
2010,Број,zenica-doboj_canton,Оба пола,
2011,Број,zenica-doboj_canton,Оба пола,
2012,Број,zenica-doboj_canton,Оба пола,
2013,Број,zenica-doboj_canton,Оба пола,
2014,Број,zenica-doboj_canton,Оба пола,
2015,Број,zenica-doboj_canton,Оба пола,
2016,Број,zenica-doboj_canton,Оба пола,
2017,Број,zenica-doboj_canton,Оба пола,
2018,Број,zenica-doboj_canton,Оба пола,
2010,Број,zenica-doboj_canton,M,
2011,Број,zenica-doboj_canton,M,
2012,Број,zenica-doboj_canton,M,
2013,Број,zenica-doboj_canton,M,
2014,Број,zenica-doboj_canton,M,
2015,Број,zenica-doboj_canton,M,
2016,Број,zenica-doboj_canton,M,
2017,Број,zenica-doboj_canton,M,
2018,Број,zenica-doboj_canton,M,
2010,Број,zenica-doboj_canton,Ж,
2011,Број,zenica-doboj_canton,Ж,
2012,Број,zenica-doboj_canton,Ж,
2013,Број,zenica-doboj_canton,Ж,
2014,Број,zenica-doboj_canton,Ж,
2015,Број,zenica-doboj_canton,Ж,
2016,Број,zenica-doboj_canton,Ж,
2017,Број,zenica-doboj_canton,Ж,
2018,Број,zenica-doboj_canton,Ж,
2010,Број,bosnian-podrinje_canton,Оба пола,
2011,Број,bosnian-podrinje_canton,Оба пола,
2012,Број,bosnian-podrinje_canton,Оба пола,
2013,Број,bosnian-podrinje_canton,Оба пола,
2014,Број,bosnian-podrinje_canton,Оба пола,
2015,Број,bosnian-podrinje_canton,Оба пола,
2016,Број,bosnian-podrinje_canton,Оба пола,
2017,Број,bosnian-podrinje_canton,Оба пола,
2018,Број,bosnian-podrinje_canton,Оба пола,
2010,Број,bosnian-podrinje_canton,M,
2011,Број,bosnian-podrinje_canton,M,
2012,Број,bosnian-podrinje_canton,M,
2013,Број,bosnian-podrinje_canton,M,
2014,Број,bosnian-podrinje_canton,M,
2015,Број,bosnian-podrinje_canton,M,
2016,Број,bosnian-podrinje_canton,M,
2017,Број,bosnian-podrinje_canton,M,
2018,Број,bosnian-podrinje_canton,M,
2010,Број,bosnian-podrinje_canton,Ж,
2011,Број,bosnian-podrinje_canton,Ж,
2012,Број,bosnian-podrinje_canton,Ж,
2013,Број,bosnian-podrinje_canton,Ж,
2014,Број,bosnian-podrinje_canton,Ж,
2015,Број,bosnian-podrinje_canton,Ж,
2016,Број,bosnian-podrinje_canton,Ж,
2017,Број,bosnian-podrinje_canton,Ж,
2018,Број,bosnian-podrinje_canton,Ж,
2010,Број,central_bosnia_canton,Оба пола,
2011,Број,central_bosnia_canton,Оба пола,
2012,Број,central_bosnia_canton,Оба пола,
2013,Број,central_bosnia_canton,Оба пола,
2014,Број,central_bosnia_canton,Оба пола,
2015,Број,central_bosnia_canton,Оба пола,
2016,Број,central_bosnia_canton,Оба пола,
2017,Број,central_bosnia_canton,Оба пола,
2018,Број,central_bosnia_canton,Оба пола,
2010,Број,central_bosnia_canton,M,
2011,Број,central_bosnia_canton,M,
2012,Број,central_bosnia_canton,M,
2013,Број,central_bosnia_canton,M,
2014,Број,central_bosnia_canton,M,
2015,Број,central_bosnia_canton,M,
2016,Број,central_bosnia_canton,M,
2017,Број,central_bosnia_canton,M,
2018,Број,central_bosnia_canton,M,
2010,Број,central_bosnia_canton,Ж,
2011,Број,central_bosnia_canton,Ж,
2012,Број,central_bosnia_canton,Ж,
2013,Број,central_bosnia_canton,Ж,
2014,Број,central_bosnia_canton,Ж,
2015,Број,central_bosnia_canton,Ж,
2016,Број,central_bosnia_canton,Ж,
2017,Број,central_bosnia_canton,Ж,
2018,Број,central_bosnia_canton,Ж,
2010,Број,herzegovina-neretva_canton,Оба пола,
2011,Број,herzegovina-neretva_canton,Оба пола,
2012,Број,herzegovina-neretva_canton,Оба пола,
2013,Број,herzegovina-neretva_canton,Оба пола,
2014,Број,herzegovina-neretva_canton,Оба пола,
2015,Број,herzegovina-neretva_canton,Оба пола,
2016,Број,herzegovina-neretva_canton,Оба пола,
2017,Број,herzegovina-neretva_canton,Оба пола,
2018,Број,herzegovina-neretva_canton,Оба пола,
2010,Број,herzegovina-neretva_canton,M,
2011,Број,herzegovina-neretva_canton,M,
2012,Број,herzegovina-neretva_canton,M,
2013,Број,herzegovina-neretva_canton,M,
2014,Број,herzegovina-neretva_canton,M,
2015,Број,herzegovina-neretva_canton,M,
2016,Број,herzegovina-neretva_canton,M,
2017,Број,herzegovina-neretva_canton,M,
2018,Број,herzegovina-neretva_canton,M,
2010,Број,herzegovina-neretva_canton,Ж,
2011,Број,herzegovina-neretva_canton,Ж,
2012,Број,herzegovina-neretva_canton,Ж,
2013,Број,herzegovina-neretva_canton,Ж,
2014,Број,herzegovina-neretva_canton,Ж,
2015,Број,herzegovina-neretva_canton,Ж,
2016,Број,herzegovina-neretva_canton,Ж,
2017,Број,herzegovina-neretva_canton,Ж,
2018,Број,herzegovina-neretva_canton,Ж,
2010,Број,west_herzegovina_canton,Оба пола,
2011,Број,west_herzegovina_canton,Оба пола,
2012,Број,west_herzegovina_canton,Оба пола,
2013,Број,west_herzegovina_canton,Оба пола,
2014,Број,west_herzegovina_canton,Оба пола,
2015,Број,west_herzegovina_canton,Оба пола,
2016,Број,west_herzegovina_canton,Оба пола,
2017,Број,west_herzegovina_canton,Оба пола,
2018,Број,west_herzegovina_canton,Оба пола,
2010,Број,west_herzegovina_canton,M,
2011,Број,west_herzegovina_canton,M,
2012,Број,west_herzegovina_canton,M,
2013,Број,west_herzegovina_canton,M,
2014,Број,west_herzegovina_canton,M,
2015,Број,west_herzegovina_canton,M,
2016,Број,west_herzegovina_canton,M,
2017,Број,west_herzegovina_canton,M,
2018,Број,west_herzegovina_canton,M,
2010,Број,west_herzegovina_canton,Ж,
2011,Број,west_herzegovina_canton,Ж,
2012,Број,west_herzegovina_canton,Ж,
2013,Број,west_herzegovina_canton,Ж,
2014,Број,west_herzegovina_canton,Ж,
2015,Број,west_herzegovina_canton,Ж,
2016,Број,west_herzegovina_canton,Ж,
2017,Број,west_herzegovina_canton,Ж,
2018,Број,west_herzegovina_canton,Ж,
2010,Број,sarajevo_canton,Оба пола,
2011,Број,sarajevo_canton,Оба пола,
2012,Број,sarajevo_canton,Оба пола,
2013,Број,sarajevo_canton,Оба пола,
2014,Број,sarajevo_canton,Оба пола,
