Year,UNIT_MEASURE,Пол,Старосна доб,Value
2021,%,Оба пола,15 - 89,
2021,%,Оба пола,15 - 24,
2021,%,Оба пола,25 - 49,
2021,%,Оба пола,50 - 64,
2021,%,Оба пола,15 - 64,
2021,%,Оба пола,20 - 64,
2021,%,Оба пола,25 - 34,
2021,%,Оба пола,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,Ж,15 - 89,
2021,%,Ж,15 - 24,
2021,%,Ж,25 - 49,
2021,%,Ж,50 - 64,
2021,%,Ж,15 - 64,
2021,%,Ж,20 - 64,
2021,%,Ж,25 - 34,
2021,%,Ж,15 - 74,
2021,%,Оба пола,15 - 89,
2021,%,Оба пола,15 - 24,
2021,%,Оба пола,25 - 49,
2021,%,Оба пола,50 - 64,
2021,%,Оба пола,15 - 64,
2021,%,Оба пола,20 - 64,
2021,%,Оба пола,25 - 34,
2021,%,Оба пола,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,Ж,15 - 89,
2021,%,Ж,15 - 24,
2021,%,Ж,25 - 49,
2021,%,Ж,50 - 64,
2021,%,Ж,15 - 64,
2021,%,Ж,20 - 64,
2021,%,Ж,25 - 34,
2021,%,Ж,15 - 74,
2021,%,Оба пола,15 - 89,
2021,%,Оба пола,15 - 24,
2021,%,Оба пола,25 - 49,
2021,%,Оба пола,50 - 64,
2021,%,Оба пола,15 - 64,
2021,%,Оба пола,20 - 64,
2021,%,Оба пола,25 - 34,
2021,%,Оба пола,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,Ж,15 - 89,
2021,%,Ж,15 - 24,
2021,%,Ж,25 - 49,
2021,%,Ж,50 - 64,
2021,%,Ж,15 - 64,
2021,%,Ж,20 - 64,
2021,%,Ж,25 - 34,
2021,%,Ж,15 - 74,
2021,%,Оба пола,15 - 89,
2021,%,Оба пола,15 - 24,
2021,%,Оба пола,25 - 49,
2021,%,Оба пола,50 - 64,
2021,%,Оба пола,15 - 64,
2021,%,Оба пола,20 - 64,
2021,%,Оба пола,25 - 34,
2021,%,Оба пола,15 - 74,
2021,%,M,15 - 89,
2021,%,M,15 - 24,
2021,%,M,25 - 49,
2021,%,M,50 - 64,
2021,%,M,15 - 64,
2021,%,M,20 - 64,
2021,%,M,25 - 34,
2021,%,M,15 - 74,
2021,%,Ж,15 - 89,
2021,%,Ж,15 - 24,
2021,%,Ж,25 - 49,
2021,%,Ж,50 - 64,
2021,%,Ж,15 - 64,
2021,%,Ж,20 - 64,
2021,%,Ж,25 - 34,
2021,%,Ж,15 - 74,
2022,%,Оба пола,15 - 89,
2022,%,Оба пола,15 - 24,
2022,%,Оба пола,25 - 49,
2022,%,Оба пола,50 - 64,
2022,%,Оба пола,15 - 64,
2022,%,Оба пола,20 - 64,
2022,%,Оба пола,25 - 34,
2022,%,Оба пола,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,Ж,15 - 89,
2022,%,Ж,15 - 24,
2022,%,Ж,25 - 49,
2022,%,Ж,50 - 64,
2022,%,Ж,15 - 64,
2022,%,Ж,20 - 64,
2022,%,Ж,25 - 34,
2022,%,Ж,15 - 74,
2022,%,Оба пола,15 - 89,
2022,%,Оба пола,15 - 24,
2022,%,Оба пола,25 - 49,
2022,%,Оба пола,50 - 64,
2022,%,Оба пола,15 - 64,
2022,%,Оба пола,20 - 64,
2022,%,Оба пола,25 - 34,
2022,%,Оба пола,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,Ж,15 - 89,
2022,%,Ж,15 - 24,
2022,%,Ж,25 - 49,
2022,%,Ж,50 - 64,
2022,%,Ж,15 - 64,
2022,%,Ж,20 - 64,
2022,%,Ж,25 - 34,
2022,%,Ж,15 - 74,
2022,%,Оба пола,15 - 89,
2022,%,Оба пола,15 - 24,
2022,%,Оба пола,25 - 49,
2022,%,Оба пола,50 - 64,
2022,%,Оба пола,15 - 64,
2022,%,Оба пола,20 - 64,
2022,%,Оба пола,25 - 34,
2022,%,Оба пола,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,Ж,15 - 89,
2022,%,Ж,15 - 24,
2022,%,Ж,25 - 49,
2022,%,Ж,50 - 64,
2022,%,Ж,15 - 64,
2022,%,Ж,20 - 64,
2022,%,Ж,25 - 34,
2022,%,Ж,15 - 74,
2022,%,Оба пола,15 - 89,
2022,%,Оба пола,15 - 24,
2022,%,Оба пола,25 - 49,
2022,%,Оба пола,50 - 64,
2022,%,Оба пола,15 - 64,
2022,%,Оба пола,20 - 64,
2022,%,Оба пола,25 - 34,
2022,%,Оба пола,15 - 74,
2022,%,M,15 - 89,
2022,%,M,15 - 24,
2022,%,M,25 - 49,
2022,%,M,50 - 64,
2022,%,M,15 - 64,
2022,%,M,20 - 64,
2022,%,M,25 - 34,
2022,%,M,15 - 74,
2022,%,Ж,15 - 89,
2022,%,Ж,15 - 24,
2022,%,Ж,25 - 49,
2022,%,Ж,50 - 64,
2022,%,Ж,15 - 64,
2022,%,Ж,20 - 64,
2022,%,Ж,25 - 34,
2022,%,Ж,15 - 74,
